state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.6694	2.2784	0.2828	0.4840	1.7512	0.5343	0.6056	0.4213	0.1888	0.1584	0.2314	3.3261E-3	6.6042E-4	3.3008E-3	0.2057	-4.3831E-3	1.805	73.659	27032.050
2000000	0.6996	2.3675	0.2940	0.4566	1.6974	0.4848	0.6268	0.4120	0.1963	0.1572	0.2345	3.3921E-3	7.2148E-4	3.4075E-3	0.2120	5.8559E-2	2.063	69.311	26759.970
3000000	0.7170	2.3679	0.2808	0.4336	1.6860	0.5146	0.6060	0.4088	0.1939	0.1587	0.2386	3.2814E-3	7.6996E-4	3.2943E-3	0.2338	2.1794E-2	2.800	78.147	27297.810
4000000	0.6922	2.3805	0.2720	0.4576	1.7115	0.4862	0.6031	0.4081	0.1981	0.1558	0.2379	3.2106E-3	7.6301E-4	3.2083E-3	0.2331	1.543E-2	2.614	74.192	27964.933
5000000	0.7016	2.3809	0.2898	0.4487	1.6525	0.5265	0.6163	0.4016	0.1980	0.1592	0.2411	3.1679E-3	7.3624E-4	3.1841E-3	0.2251	-3.7928E-2	3.084	79.907	28054.916
6000000	0.6843	2.3511	0.2776	0.4314	1.7225	0.5331	0.5955	0.4226	0.1941	0.1539	0.2293	3.1601E-3	8.0917E-4	3.1203E-3	0.2557	-2.2433E-2	3.672	72.530	28210.323
7000000	0.6736	2.3102	0.2972	0.4551	1.7368	0.5272	0.6158	0.4159	0.1956	0.1578	0.2307	3.2313E-3	7.5803E-4	3.1772E-3	0.2361	-1.3877E-2	2.052	77.516	27910.405
8000000	0.6934	2.4426	0.2888	0.4327	1.6314	0.5111	0.6092	0.3993	0.1964	0.1542	0.2501	3.1692E-3	7.8953E-4	3.161E-3	0.2549	1.6292E-2	1.904	79.476	28343.190
9000000	0.6695	2.3823	0.2869	0.4248	1.7298	0.5067	0.6209	0.4050	0.1986	0.1611	0.2353	3.1623E-3	6.33E-4	3.1624E-3	0.2002	1.0913E-2	4.578	79.613	28659.197
10000000	0.6754	2.4082	0.2823	0.4605	1.6662	0.5075	0.5961	0.4102	0.1975	0.1578	0.2345	3.3001E-3	7.1747E-4	3.2536E-3	0.2123	-1.1985E-2	2.510	77.551	27930.691
