state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
143000000	0.5810	1.7297	0.3503	0.3386	2.3888	0.6115	0.6634	0.4658	0.1922	0.1797	0.1623	4.8734E-3	1.3044E-3	4.9105E-3	0.2697	2.8276E-2	2.194	68.548	25455.034
144000000	0.5902	1.6517	0.3539	0.3513	2.4517	0.6012	0.6639	0.4680	0.1892	0.1874	0.1554	5.2292E-3	1.2653E-3	5.208E-3	0.2409	-3.2162E-2	3.051	69.058	24834.498
145000000	0.5946	1.6550	0.3435	0.3790	2.4300	0.5978	0.6727	0.4716	0.1819	0.1819	0.1646	4.6975E-3	1.0597E-3	4.688E-3	0.2243	-7.5291E-3	1.959	77.939	26766.667
146000000	0.5745	1.6446	0.3394	0.3614	2.4505	0.6296	0.6755	0.4720	0.1867	0.1830	0.1583	4.4152E-3	1.0935E-3	4.4298E-3	0.2507	-1.5909E-2	2.306	78.091	28344.117
147000000	0.5794	1.7124	0.3467	0.3606	2.3818	0.6191	0.6718	0.4639	0.1922	0.1827	0.1611	4.6558E-3	1.2509E-3	4.6449E-3	0.2669	3.9887E-2	1.632	81.296	27266.645
148000000	0.6019	1.6276	0.3407	0.3541	2.4767	0.5990	0.6718	0.4726	0.1860	0.1867	0.1548	4.7731E-3	1.1041E-3	4.6908E-3	0.2299	-4.3354E-3	3.089	74.576	27067.284
149000000	0.5639	1.6388	0.3539	0.3656	2.4553	0.6226	0.6776	0.4780	0.1845	0.1797	0.1578	4.5345E-3	1.106E-3	4.5444E-3	0.2469	9.065E-3	2.324	76.420	27366.341
150000000	0.5866	1.6222	0.3563	0.3503	2.4596	0.6250	0.6691	0.4762	0.1831	0.1814	0.1593	4.7657E-3	1.1161E-3	4.7718E-3	0.2319	-2.2344E-2	2.653	73.620	26361.023
151000000	0.5636	1.6604	0.3551	0.3429	2.4590	0.6190	0.6631	0.4777	0.1854	0.1833	0.1537	4.8033E-3	1.1103E-3	4.8126E-3	0.2364	2.265E-2	1.738	70.860	26635.224
152000000	0.5943	1.6525	0.3713	0.3277	2.4289	0.6253	0.6819	0.4666	0.1905	0.1822	0.1607	4.7295E-3	1.2344E-3	4.7498E-3	0.2658	1.1328E-2	0.612	70.360	26796.610
153000000	0.5844	1.6423	0.3532	0.3622	2.4577	0.6001	0.6717	0.4735	0.1862	0.1836	0.1567	4.7431E-3	1.2396E-3	4.667E-3	0.2574	-1.7637E-3	1.917	75.252	27156.074
154000000	0.5814	1.6827	0.3657	0.3790	2.4140	0.5771	0.6885	0.4660	0.1859	0.1868	0.1614	4.6178E-3	1.2521E-3	4.5803E-3	0.2664	2.9143E-2	2.408	75.353	27713.352
155000000	0.5860	1.6806	0.3513	0.3496	2.4294	0.6031	0.6868	0.4669	0.1837	0.1859	0.1634	4.6463E-3	1.1669E-3	4.617E-3	0.2435	2.8957E-3	1.320	75.339	27198.458
156000000	0.5648	1.6383	0.3621	0.3806	2.4373	0.6169	0.6675	0.4759	0.1826	0.1846	0.1570	4.629E-3	1.1385E-3	4.6428E-3	0.2448	4.6897E-2	1.943	74.751	27134.488
157000000	0.5908	1.7314	0.3337	0.3917	2.3482	0.6042	0.6712	0.4639	0.1883	0.1826	0.1652	4.6084E-3	1.1333E-3	4.5845E-3	0.2438	-8.3925E-3	3.020	72.880	27085.996
158000000	0.5800	1.6311	0.3688	0.3452	2.4742	0.6006	0.6854	0.4760	0.1805	0.1869	0.1566	4.5695E-3	1.1024E-3	4.4921E-3	0.2395	4.5193E-3	1.243	73.667	28000.175
159000000	0.5809	1.6128	0.3483	0.3535	2.4978	0.6066	0.6810	0.4744	0.1802	0.1865	0.1589	4.531E-3	1.0213E-3	4.5152E-3	0.2280	6.466E-2	2.598	72.712	27661.499
160000000	0.5712	1.6937	0.3608	0.3665	2.3890	0.6189	0.6700	0.4664	0.1900	0.1812	0.1624	4.5123E-3	1.1371E-3	4.485E-3	0.2432	-1.8399E-2	3.860	79.052	28214.804
161000000	0.5607	1.6330	0.3419	0.3634	2.4951	0.6059	0.6734	0.4781	0.1832	0.1827	0.1560	4.332E-3	1.1147E-3	4.3306E-3	0.2580	1.4636E-2	2.032	76.140	29218.809
162000000	0.5729	1.6186	0.3805	0.3463	2.4815	0.6001	0.6819	0.4691	0.1846	0.1934	0.1530	4.4632E-3	1.1331E-3	4.4382E-3	0.2571	1.0849E-3	1.830	78.623	28611.130
163000000	0.5695	1.6241	0.3684	0.3535	2.4457	0.6388	0.6688	0.4696	0.1870	0.1893	0.1540	4.5471E-3	1.1613E-3	4.4918E-3	0.2514	2.1412E-2	2.310	80.331	28389.644
164000000	0.5577	1.6586	0.3487	0.3599	2.4535	0.6215	0.6709	0.4721	0.1883	0.1813	0.1583	4.5296E-3	1.1172E-3	4.5293E-3	0.2485	8.6371E-3	1.652	77.468	28091.294
165000000	0.5860	1.6380	0.3504	0.3501	2.4607	0.6148	0.6793	0.4716	0.1815	0.1863	0.1605	4.4179E-3	1.0511E-3	4.3737E-3	0.2321	2.1764E-2	1.657	79.620	29012.800
166000000	0.5818	1.6649	0.3536	0.3799	2.3960	0.6239	0.6713	0.4735	0.1861	0.1794	0.1610	4.344E-3	1.1174E-3	4.3538E-3	0.2547	1.2501E-2	6.182	76.716	28945.916
167000000	0.5854	1.6901	0.3592	0.3432	2.3750	0.6471	0.6706	0.4654	0.1903	0.1840	0.1604	4.3319E-3	9.979E-4	4.3548E-3	0.2346	5.7109E-2	2.339	81.047	28912.793
168000000	0.5876	1.6418	0.3729	0.3536	2.4574	0.5867	0.6820	0.4743	0.1849	0.1851	0.1556	4.5067E-3	1.0523E-3	4.4982E-3	0.2366	1.8572E-2	1.436	77.033	27966.995
169000000	0.5783	1.6213	0.3591	0.3725	2.4652	0.6036	0.6919	0.4736	0.1860	0.1833	0.1572	4.4431E-3	1.0587E-3	4.4118E-3	0.2348	1.4776E-2	2.198	79.348	28663.965
170000000	0.5970	1.6878	0.3269	0.3509	2.4307	0.6066	0.6741	0.4691	0.1860	0.1812	0.1637	4.3335E-3	9.8476E-4	4.2926E-3	0.2305	1.6602E-2	2.901	79.654	29508.289
171000000	0.5743	1.5893	0.3493	0.3490	2.5246	0.6136	0.6736	0.4798	0.1818	0.1882	0.1502	4.2645E-3	1E-3	4.2885E-3	0.2389	1.3455E-2	4.440	85.492	29613.727
172000000	0.5734	1.6366	0.3699	0.3932	2.4589	0.5680	0.6719	0.4767	0.1847	0.1810	0.1576	4.2718E-3	1.0096E-3	4.2118E-3	0.2393	2.3931E-3	1.415	82.352	29807.318
173000000	0.5871	1.7008	0.3626	0.3581	2.3605	0.6309	0.6792	0.4685	0.1875	0.1835	0.1605	4.1641E-3	1.0664E-3	4.1816E-3	0.2559	5.7925E-2	4.488	86.716	30077.486
174000000	0.5756	1.5993	0.3579	0.3578	2.4925	0.6170	0.6830	0.4751	0.1864	0.1853	0.1531	4.307E-3	1.0122E-3	4.2695E-3	0.2367	6.5463E-3	2.842	82.085	29321.786
175000000	0.5787	1.6180	0.3438	0.3867	2.4854	0.5873	0.6764	0.4737	0.1812	0.1846	0.1605	4.5903E-3	1.1401E-3	4.6492E-3	0.2438	-7.0167E-4	1.135	77.944	27634.018
176000000	0.5550	1.6489	0.3454	0.3807	2.4734	0.5965	0.6800	0.4779	0.1875	0.1786	0.1559	4.2738E-3	1.0868E-3	4.3453E-3	0.2506	9.9062E-3	3.851	85.923	28815.195
177000000	0.5819	1.6520	0.3613	0.3747	2.4324	0.5977	0.6641	0.4733	0.1804	0.1869	0.1594	4.3706E-3	1.1E-3	4.3943E-3	0.2555	3.234E-2	2.276	80.075	28637.836
178000000	0.5777	1.5986	0.3505	0.3502	2.5187	0.6043	0.6810	0.4746	0.1842	0.1869	0.1542	4.5521E-3	1.1482E-3	4.5502E-3	0.2462	-1.4368E-2	2.716	77.365	28333.292
179000000	0.5745	1.7131	0.3584	0.3523	2.4145	0.5873	0.6680	0.4666	0.1892	0.1812	0.1630	4.6503E-3	1.1263E-3	4.5939E-3	0.2462	-3.7183E-2	1.165	75.328	27531.938
180000000	0.5809	1.6819	0.3632	0.3853	2.3976	0.5911	0.6818	0.4645	0.1887	0.1846	0.1622	4.6461E-3	1.0542E-3	4.6331E-3	0.2276	-1.2897E-2	2.112	75.826	27183.730
181000000	0.5600	1.6277	0.3415	0.3817	2.4799	0.6091	0.6780	0.4741	0.1865	0.1818	0.1576	4.6765E-3	1.1763E-3	4.6807E-3	0.2611	2.7177E-2	2.669	76.777	27284.139
