state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.6787	2.4032	0.2780	0.4473	1.6947	0.4981	0.6109	0.4044	0.1982	0.1550	0.2425	3.4808E-3	7.9461E-4	3.4334E-3	0.2340	1.1498E-2	3.296	74.066	26111.572
2000000	0.7091	2.3803	0.2882	0.4484	1.6935	0.4805	0.6007	0.4027	0.1953	0.1610	0.2410	3.2966E-3	7.3116E-4	3.2808E-3	0.2234	6.8228E-2	3.777	75.649	27114.780
3000000	0.6904	2.4035	0.2914	0.4248	1.6766	0.5133	0.6196	0.4073	0.1985	0.1584	0.2358	3.3789E-3	8.0564E-4	3.356E-3	0.2344	2.241E-2	5.181	74.376	26740.850
4000000	0.6888	2.2870	0.2905	0.4652	1.7611	0.5074	0.6071	0.4165	0.1927	0.1618	0.2289	3.2906E-3	7.5516E-4	3.2772E-3	0.2350	5.3001E-2	1.122	76.360	27543.731
5000000	0.6894	2.3381	0.2980	0.4610	1.7215	0.4920	0.6265	0.4105	0.1951	0.1597	0.2346	3.3438E-3	8.6801E-4	3.3201E-3	0.2594	3.9405E-2	1.706	77.818	27054.624
6000000	0.6690	2.3203	0.3098	0.4586	1.7376	0.5047	0.5942	0.4117	0.1961	0.1645	0.2277	3.2115E-3	7.8622E-4	3.1801E-3	0.2425	-4.2599E-3	1.183	77.932	28300.940
7000000	0.6664	2.4056	0.2845	0.4567	1.7111	0.4756	0.6023	0.4074	0.1989	0.1534	0.2402	3.2267E-3	7.7004E-4	3.1972E-3	0.2379	2.8384E-2	3.703	78.639	28117.460
8000000	0.6914	2.4261	0.2841	0.4361	1.6656	0.4968	0.6102	0.4061	0.1960	0.1521	0.2459	3.2349E-3	7.2015E-4	3.238E-3	0.2225	-8.6981E-3	2.395	79.150	27620.281
9000000	0.7049	2.3763	0.3016	0.4343	1.6809	0.5018	0.6128	0.4033	0.1967	0.1622	0.2378	3.1195E-3	7.631E-4	3.0931E-3	0.2404	1.0054E-2	2.891	80.245	29320.500
10000000	0.6871	2.3787	0.2761	0.4305	1.7094	0.5182	0.5933	0.4131	0.1964	0.1568	0.2338	3.2308E-3	7.0519E-4	3.1858E-3	0.2204	2.3659E-3	6.671	82.558	28172.545
11000000	0.6813	2.3507	0.2930	0.4401	1.7071	0.5277	0.6168	0.4062	0.1976	0.1612	0.2350	3.2094E-3	7.1776E-4	3.2092E-3	0.2224	-2.1653E-3	2.338	81.804	28156.991
12000000	0.6826	2.3273	0.2834	0.4204	1.7652	0.5211	0.6231	0.4127	0.1946	0.1629	0.2298	3.3242E-3	7.6349E-4	3.33E-3	0.2372	3.3857E-2	1.601	74.204	27360.411
13000000	0.6576	2.3842	0.2809	0.4527	1.7132	0.5114	0.6064	0.4155	0.1918	0.1504	0.2423	3.3212E-3	8.1337E-4	3.3131E-3	0.2376	-9.3499E-3	4.110	76.292	26620.735
14000000	0.6977	2.3048	0.2882	0.4607	1.7409	0.5076	0.6275	0.4028	0.1949	0.1652	0.2371	3.2282E-3	7.4748E-4	3.2345E-3	0.2364	5.4516E-2	1.542	81.642	28143.457
15000000	0.6708	2.4186	0.2892	0.4609	1.6520	0.5084	0.6086	0.3980	0.2046	0.1566	0.2407	3.194E-3	7.1538E-4	3.1772E-3	0.2238	-2.973E-3	0.975	77.317	28373.725
