state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
212000000	12.598	11.968	11.520	12.266	11.252	11.044	12.983	11.614	12.947	11.762	12.783	13.383	12.975	12.388	10.368	9.677	8.558	7.942	7.458	7.499	6.577	6.605	5.773	5.512	5.136	4.661	5.329	5.300	6.150	5.644	5.248	4.488	4.188	4.535	3.442	4.395	3.905	2.252	2.284	2.752	2.319	3.149	1.667	0.877	1.240	0.729	-0.736	0.475	-1.139	-2.204
213000000	13.567	13.911	12.495	12.226	11.730	12.293	12.577	12.081	12.886	12.948	13.567	12.558	11.806	11.474	10.920	9.321	8.916	8.502	7.811	7.411	6.892	6.900	5.715	5.928	5.560	5.391	5.475	4.714	5.235	5.158	5.426	4.562	3.752	3.257	4.313	3.500	2.686	2.245	2.305	2.542	2.469	1.734	1.360	1.832	1.626	0.748	0.961	0.364	-0.231	-0.609
214000000	13.892	12.701	11.179	11.477	12.745	12.638	11.573	11.908	12.084	13.031	11.848	11.401	11.930	11.193	10.086	9.120	8.993	8.234	7.728	7.154	6.819	6.089	5.880	5.260	4.957	4.863	5.423	5.000	5.189	5.465	5.629	4.597	3.832	3.559	3.938	4.079	3.733	2.884	3.208	2.611	3.066	3.490	3.102	3.243	3.673	3.569	4.282	3.799	3.986	4.529
215000000	13.620	13.405	12.575	12.262	10.820	10.854	11.255	11.912	12.170	12.162	11.628	12.336	12.483	11.708	10.329	9.664	8.710	8.530	7.558	7.189	6.718	6.241	5.777	5.826	5.007	5.439	5.026	5.185	4.900	4.748	4.537	4.938	5.973	5.391	4.383	3.776	3.498	3.298	2.891	2.583	2.900	3.339	3.747	3.472	3.103	3.747	3.311	3.659	3.715	4.215
216000000	12.015	11.353	11.527	11.665	11.499	11.854	11.386	11.738	11.716	12.753	12.491	12.552	12.010	11.621	10.979	9.494	9.024	8.435	8.016	8.334	7.390	6.668	5.971	5.831	5.114	5.750	4.838	5.349	5.256	4.682	5.447	4.647	4.668	4.764	3.847	4.269	4.329	4.918	3.994	3.602	2.857	2.295	2.087	2.792	1.764	1.735	3.524	2.549	2.272	1.369
217000000	12.205	12.706	12.588	12.286	11.612	12.016	12.012	13.156	13.176	12.950	12.185	11.748	11.739	11.949	10.520	9.390	8.711	8.496	8.083	7.544	6.765	6.741	6.042	5.990	6.003	5.662	5.417	5.566	5.465	4.802	5.142	5.207	4.928	4.663	2.843	3.949	3.667	4.176	2.681	2.906	2.592	3.031	1.665	0.709	1.641	0.623	0.236	0.121	-0.488	-0.246
218000000	13.351	12.871	13.167	12.733	12.412	11.818	12.053	12.874	12.309	11.596	11.849	11.236	11.499	11.210	10.692	10.030	9.095	9.063	8.175	7.691	7.414	6.877	6.444	6.486	5.818	5.202	5.493	5.474	4.951	5.150	4.628	4.736	4.703	3.325	3.676	3.732	2.758	3.785	3.220	1.917	1.422	0.815	1.230	1.378	1.422	1.444	1.174	1.671	1.733	1.979
219000000	13.820	13.026	13.186	11.574	11.417	11.737	11.427	11.648	12.119	11.926	12.342	12.023	11.189	10.903	10.714	10.337	8.846	8.554	8.215	8.019	7.356	7.123	6.674	5.735	5.560	5.911	5.132	5.461	4.861	4.923	4.691	4.822	4.378	4.622	4.561	4.118	2.810	2.806	2.871	2.374	1.956	1.236	0.611	1.662	1.881	2.111	1.760	1.175	1.758	1.368
220000000	11.525	12.276	12.166	11.786	11.626	11.611	11.899	11.412	11.775	13.145	13.047	13.403	12.439	11.710	11.033	10.879	9.327	8.907	8.506	7.920	7.823	7.001	7.119	6.197	6.150	5.719	5.396	5.196	5.274	5.440	5.042	4.882	4.759	5.359	4.462	4.424	4.594	4.205	3.758	4.013	3.454	2.744	3.062	1.758	1.573	1.480	-0.068	-0.691	-0.632	-1.483
221000000	11.513	10.912	11.368	11.644	11.733	11.509	12.324	12.163	12.002	12.132	12.196	12.171	12.328	11.788	11.251	10.256	8.846	8.651	8.218	7.728	7.483	6.913	6.702	5.689	6.162	5.595	5.107	5.143	4.904	4.870	4.918	4.805	4.641	4.767	4.687	4.128	3.388	2.817	2.621	2.090	2.627	3.049	3.085	2.177	1.666	1.573	1.647	1.212	0.666	1.432
222000000	13.117	12.837	12.417	12.941	12.293	11.438	11.472	11.980	12.109	12.113	12.214	12.364	12.726	12.707	11.655	10.772	9.297	8.791	8.991	8.496	7.590	7.582	7.133	6.537	5.699	5.926	5.810	5.530	5.577	5.209	4.932	4.716	5.806	5.163	4.769	4.466	3.883	2.772	2.996	3.076	2.739	2.663	2.208	2.604	2.917	2.699	2.294	2.860	2.386	2.083
223000000	12.586	12.096	11.376	11.092	11.736	11.782	11.516	11.616	11.732	12.641	12.139	12.663	12.372	11.761	10.860	10.247	9.464	9.230	8.926	8.134	7.912	7.250	6.873	6.509	6.077	5.825	5.502	5.605	5.435	5.602	5.620	5.384	5.024	4.758	5.316	5.016	4.240	3.733	4.013	3.981	3.595	3.412	3.078	1.936	1.921	1.469	0.964	0.747	0.201	0.633
224000000	12.634	12.231	12.070	11.679	11.272	11.005	12.936	12.714	13.365	11.805	11.952	11.748	13.278	12.579	11.328	10.343	9.325	9.189	8.206	8.345	7.696	7.047	6.898	6.400	6.104	5.692	5.058	5.885	4.792	5.042	5.520	5.298	3.980	3.799	3.441	3.348	4.568	2.815	3.133	3.597	3.963	2.851	3.012	4.322	2.976	3.185	2.742	2.754	2.674	2.217
225000000	11.644	12.413	12.346	11.537	12.389	12.906	12.657	11.926	11.940	12.043	11.994	11.753	11.698	11.560	11.478	10.963	9.468	9.137	8.511	7.866	7.711	7.095	7.316	6.384	6.175	5.777	5.501	5.723	4.930	5.394	5.459	5.335	5.047	4.958	4.417	4.216	3.558	3.346	3.570	3.028	2.991	3.163	2.055	2.328	1.765	1.480	0.902	1.205	0.580	0.864
226000000	12.789	12.312	12.399	11.807	12.421	12.033	11.734	12.064	12.122	12.198	11.794	11.587	11.981	11.395	10.604	10.444	9.604	9.113	8.566	8.233	7.305	7.175	7.179	6.260	5.998	5.418	5.625	5.302	5.054	5.167	4.859	5.148	5.141	4.764	4.526	4.856	4.546	4.286	3.754	3.014	3.088	3.767	2.893	3.021	2.304	2.253	1.702	2.082	2.392	2.735
227000000	11.252	11.653	10.847	11.245	11.847	12.844	11.778	11.193	11.921	12.601	11.957	12.429	12.652	11.207	10.781	10.335	9.894	8.532	8.278	7.983	7.926	7.296	7.196	6.281	5.878	5.029	5.820	5.000	5.642	5.182	4.690	5.650	4.794	4.737	4.193	4.373	3.274	3.099	3.380	2.899	2.614	2.191	1.358	0.938	0.274	0.817	2.087	2.421	2.496	1.474
228000000	13.559	13.342	12.764	12.908	12.649	11.578	12.254	12.611	12.168	12.288	12.617	11.956	12.197	10.835	10.239	9.764	9.281	8.140	7.936	7.808	7.130	6.582	6.239	5.569	5.590	5.441	4.961	4.685	4.665	4.514	4.557	4.738	4.592	4.430	3.759	3.769	4.387	4.466	3.605	3.184	2.663	2.258	2.365	1.959	1.861	2.538	1.898	1.743	2.594	2.914
229000000	10.720	10.570	11.264	11.648	12.121	11.996	12.115	11.493	11.838	11.716	12.565	11.928	11.540	11.684	11.034	10.214	9.013	8.680	8.282	7.630	6.967	7.082	6.477	5.843	5.283	5.182	5.170	4.859	4.845	4.420	4.696	4.080	3.774	3.970	3.182	2.577	2.095	0.616	0.982	1.425	2.953	3.554	2.668	2.203	2.064	2.323	1.655	1.117	-0.467	-0.600
230000000	12.124	12.154	12.241	11.905	12.481	12.017	11.606	11.525	12.197	13.002	12.593	11.719	12.188	12.135	11.774	9.983	8.950	8.578	8.362	7.545	7.446	7.059	6.919	5.927	6.251	5.899	5.023	5.440	4.723	4.719	4.892	4.327	4.303	4.253	5.179	4.741	4.312	4.186	2.504	2.843	1.487	1.567	0.698	1.608	1.064	0.926	1.295	0.623	-0.366	-0.531
231000000	13.936	12.431	11.965	11.741	11.390	11.730	12.031	11.997	12.462	13.224	13.022	12.504	12.726	12.108	11.103	10.055	9.401	8.940	8.169	7.696	7.562	7.075	6.645	5.890	6.551	5.952	5.834	5.457	4.887	4.980	5.044	5.181	4.533	4.469	4.750	4.619	4.774	4.438	3.312	2.788	2.308	2.669	2.518	1.655	1.044	1.941	2.018	2.726	2.211	2.295
232000000	11.025	11.567	11.186	11.962	11.112	11.522	11.950	11.860	11.983	12.008	12.122	11.654	11.808	10.786	10.238	9.887	9.332	9.096	8.419	7.774	7.188	6.997	6.492	6.099	5.857	5.551	4.967	5.209	5.187	4.817	4.620	4.796	4.360	4.957	3.963	3.270	3.983	3.783	3.674	3.624	2.981	3.107	3.308	3.503	3.156	3.513	3.830	3.747	3.511	4.124
