state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5946	2.5179	0.2697	0.4794	1.5869	0.5515	0.6251	0.4229	0.2054	0.1382	0.2335	3.2784E-3	7.1432E-4	3.2751E-3	0.2185	-1.8851E-2	2.870	84.667	29266.567
2000000	0.6222	2.5597	0.2607	0.4620	1.5941	0.5013	0.6329	0.4205	0.1988	0.1373	0.2434	3.3951E-3	7.7754E-4	3.3787E-3	0.2331	-1.6493E-2	3.194	75.618	28341.682
3000000	0.6205	2.5279	0.2650	0.5161	1.5343	0.5363	0.6383	0.4252	0.1973	0.1366	0.2409	3.2527E-3	7.615E-4	3.2598E-3	0.2312	9.3627E-3	2.925	78.893	28800.962
4000000	0.6021	2.5525	0.2631	0.4810	1.5484	0.5529	0.6501	0.4264	0.1975	0.1375	0.2387	3.2142E-3	7.7774E-4	3.2554E-3	0.2452	2.4464E-2	2.465	78.105	29139.302
5000000	0.6103	2.5456	0.2537	0.4667	1.5556	0.5681	0.6247	0.4270	0.2036	0.1340	0.2354	3.3067E-3	7.5556E-4	3.3413E-3	0.2279	-2.0007E-2	3.496	73.404	28372.563
6000000	0.6189	2.4527	0.2529	0.5165	1.6186	0.5404	0.6547	0.4275	0.1942	0.1390	0.2393	3.3108E-3	7.7625E-4	3.2964E-3	0.2288	-4.9305E-3	2.320	77.011	28931.997
7000000	0.6169	2.5143	0.2775	0.4698	1.5767	0.5448	0.6251	0.4218	0.1981	0.1421	0.2380	3.5654E-3	8.0186E-4	3.5681E-3	0.2278	-3.0134E-2	1.795	79.923	27179.239
8000000	0.6096	2.5776	0.2537	0.5004	1.5324	0.5264	0.6194	0.4162	0.2043	0.1333	0.2462	3.4749E-3	7.5182E-4	3.4403E-3	0.2171	6.0068E-2	4.046	78.967	27490.318
9000000	0.6126	2.5463	0.2529	0.5070	1.5349	0.5463	0.6295	0.4204	0.1992	0.1348	0.2456	3.4727E-3	8.2881E-4	3.4498E-3	0.2389	1.4741E-2	4.351	79.954	27332.174
10000000	0.6092	2.5546	0.2629	0.4628	1.5671	0.5433	0.6334	0.4157	0.2035	0.1345	0.2463	3.5784E-3	7.572E-4	3.5468E-3	0.2123	8.9922E-3	1.856	75.603	26875.727
