state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	1.056	-0.834	0.572	1.614	1.808	1.971	0.547	-0.334	0.404	0.632	0.929	-1.667	-2.503	-2.113	-3.540	-4.544	-4.843	-3.973	-3.414	-4.752
2000000	0.490	-0.833	0.342	1.568	1.542	1.602	0.161	-0.662	0.638	0.368	1.097	-2.219	-2.461	-2.270	-7.312	-6.975	-5.677	-4.245	-3.612	-1.994
3000000	-1.066	-1.304	0.737	1.553	1.585	1.716	0.559	-0.233	0.152	0.384	0.324	-1.524	-2.391	-2.528	-4.183	-4.047	-2.796	-4.307	-4.812	-5.374
4000000	-0.230	-1.521	0.340	2.133	1.421	1.908	0.427	-0.204	-0.112	0.236	1.070	-1.507	-2.451	-1.525	-3.018	-4.584	-4.640	-3.248	-3.128	-3.646
5000000	1.183	-0.874	0.186	2.129	1.717	1.892	0.497	-0.285	-0.122	0.326	2.073	-1.735	-3.636	-1.950	-2.056	-2.750	-4.260	-2.064	-1.986	-1.083
6000000	2.325	-1.055	0.486	2.792	1.536	2.323	0.783	-0.532	0.873	0.425	1.189	-1.644	-2.863	-0.611	-4.467	-4.570	-5.024	-8.442	-10.058	-6.931
7000000	0.979	-0.749	0.377	1.867	1.724	1.695	0.702	-0.738	-0.036	0.665	1.608	-2.220	-3.186	-1.034	-2.093	-2.678	-3.893	-3.584	-3.249	-3.189
8000000	2.095	-0.960	0.319	2.449	1.548	2.063	0.241	-0.200	0.150	0.685	0.361	-2.340	-4.014	-4.027	-3.663	-4.655	-7.749	-6.269	-5.261	-9.842
9000000	0.022	-1.386	0.420	1.573	1.628	1.956	0.462	-0.414	0.979	0.408	0.606	-1.733	-3.029	-0.507	0.067	-3.067	-4.603	-2.958	-5.572	-5.129
10000000	2.916	-0.114	-0.295	2.680	1.415	1.795	0.609	-0.567	-0.415	1.601	-0.347	-2.346	-3.703	-2.054	-1.530	-1.709	-1.189	-2.298	-5.993	-8.803
11000000	0.273	-0.978	0.138	1.702	1.864	1.766	0.878	-1.065	0.325	1.423	-0.128	-0.967	-3.072	-1.812	-2.313	-1.573	-3.733	-3.983	-3.812	-3.097
12000000	0.082	-0.275	0.127	2.896	1.244	2.631	0.518	-0.636	0.319	0.683	0.026	-2.178	-2.669	-1.742	-2.299	-4.598	-6.116	-5.144	-3.486	-2.096
13000000	3.335	-0.871	0.225	2.240	1.216	2.040	0.935	-0.781	0.066	0.677	1.344	-1.827	-3.014	-3.181	-3.185	-2.054	1.170	-0.628	-0.177	0.811
14000000	-1.070	-1.014	0.486	2.380	1.148	2.196	0.810	-0.272	-0.109	0.336	0.922	-2.199	-2.102	-1.398	-1.447	-3.495	-2.446	-4.658	-6.832	-7.224
15000000	1.174	-0.666	0.863	2.181	1.401	1.804	0.730	0.054	0.149	0.744	0.867	-1.447	-2.743	-3.376	-5.120	-3.602	-3.500	-2.981	-3.259	-2.037
