state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
56000000	5.6012	1.4757E-2	0.2955	0.1816	0.1902	0.3327	1.092E-3	0.448	0.401	35.104
57000000	6.1855	3.0635E-2	0.2952	0.1792	0.1914	0.3342	1.1999E-3	0.398	0.386	33.933
58000000	6.5813	1.0863E-2	0.2958	0.1788	0.1921	0.3333	1.0832E-3	0.242	0.372	34.331
59000000	6.0096	1.6733E-2	0.2957	0.1798	0.1905	0.3340	1.1127E-3	0.273	0.378	34.651
60000000	6.1144	5.0515E-2	0.2908	0.1858	0.1910	0.3324	1.0969E-3	0.586	0.375	35.316
61000000	5.6778	8.2251E-2	0.2916	0.1822	0.1907	0.3356	1.1904E-3	0.740	0.396	33.754
62000000	5.9679	4.4784E-2	0.2986	0.1788	0.1894	0.3332	1.1427E-3	1.032	0.398	34.055
63000000	6.2999	1.0203E-2	0.2970	0.1827	0.1909	0.3294	1.0691E-3	0.195	0.401	34.939
64000000	6.2742	4.4282E-2	0.2928	0.1775	0.1900	0.3397	1.0431E-3	0.464	0.416	36.992
65000000	6.3478	5.7291E-2	0.2893	0.1826	0.1911	0.3370	1.067E-3	0.295	0.421	35.877
66000000	5.6030	2.7949E-2	0.2930	0.1796	0.1935	0.3340	1.0416E-3	0.334	0.397	37.037
67000000	6.1896	2.2065E-2	0.2976	0.1761	0.1893	0.3371	1.1822E-3	1.190	0.367	32.739
68000000	5.8771	6.072E-2	0.2970	0.1819	0.1863	0.3348	1.1524E-3	0.455	0.423	32.478
69000000	5.9624	4.8944E-2	0.2915	0.1817	0.1873	0.3396	1.0797E-3	0.326	0.415	35.384
70000000	6.6756	7.8931E-3	0.2980	0.1754	0.1888	0.3378	1.0922E-3	0.357	0.398	35.522
71000000	5.9404	9.2437E-2	0.2901	0.1766	0.1924	0.3409	1.0722E-3	0.755	0.369	33.902
72000000	6.3622	4.794E-2	0.2968	0.1798	0.1892	0.3342	1.1226E-3	0.918	0.392	34.280
73000000	6.2714	4.5871E-2	0.2953	0.1826	0.1902	0.3318	1.0948E-3	0.779	0.428	35.457
74000000	5.5248	3.2147E-2	0.2974	0.1786	0.1912	0.3328	1.0897E-3	0.224	0.378	34.636
75000000	5.9933	4.7533E-2	0.2960	0.1785	0.1924	0.3331	1.1823E-3	0.282	0.397	33.556
76000000	6.4509	7.5857E-2	0.2962	0.1783	0.1893	0.3361	1.0573E-3	0.574	0.399	34.556
77000000	5.0424	7.1904E-2	0.2948	0.1820	0.1899	0.3333	1.1401E-3	0.463	0.441	33.427
78000000	5.2297	4.0621E-2	0.2937	0.1827	0.1928	0.3307	1.1405E-3	2.062	0.381	33.583
79000000	6.1154	5.9871E-2	0.2972	0.1783	0.1945	0.3300	1.0632E-3	0.661	0.386	33.890
80000000	5.4745	1.3361E-2	0.2928	0.1813	0.1920	0.3338	1.0762E-3	0.339	0.364	34.785
81000000	5.3808	8.0246E-3	0.2932	0.1832	0.1899	0.3336	1.1351E-3	0.728	0.399	33.263
82000000	5.1874	1.1719E-2	0.2925	0.1797	0.1907	0.3372	1.1253E-3	0.215	0.395	33.994
83000000	5.7657	5.1121E-3	0.2922	0.1802	0.1892	0.3383	1.0934E-3	0.328	0.399	34.301
84000000	6.1835	4.2957E-2	0.2934	0.1775	0.1921	0.3371	1.0635E-3	0.638	0.386	34.414
85000000	6.0505	6.8371E-2	0.2947	0.1833	0.1861	0.3359	1.0755E-3	0.223	0.397	33.766
86000000	6.6372	4.5656E-2	0.2956	0.1771	0.1922	0.3351	1.1424E-3	0.276	0.398	34.561
87000000	6.0951	9.5533E-3	0.2968	0.1833	0.1902	0.3296	1.053E-3	0.323	0.433	35.155
88000000	5.5385	8.6754E-3	0.2915	0.1787	0.1921	0.3378	1.0812E-3	0.356	0.446	34.867
89000000	6.5884	6.616E-2	0.2937	0.1807	0.1895	0.3361	1.1461E-3	0.755	0.406	33.007
90000000	6.2266	2.9173E-3	0.2929	0.1822	0.1908	0.3340	1.174E-3	0.673	0.369	34.292
91000000	5.9805	2.5946E-2	0.2905	0.1818	0.1916	0.3362	1.0711E-3	0.432	0.383	33.887
92000000	5.9146	8.6765E-3	0.2967	0.1787	0.1909	0.3337	1.1072E-3	0.469	0.408	35.349
93000000	6.2913	3.9383E-2	0.2941	0.1779	0.1918	0.3362	1.1584E-3	0.435	0.411	35.018
94000000	6.3202	1.2468E-2	0.2925	0.1809	0.1899	0.3368	1.01E-3	0.798	0.427	36.541
95000000	5.7976	2.3963E-2	0.2930	0.1786	0.1938	0.3346	1.1269E-3	0.420	0.430	33.047
96000000	6.0839	8.2734E-2	0.2942	0.1820	0.1928	0.3310	1.1247E-3	0.190	0.414	33.938
97000000	6.0375	7.9543E-2	0.2951	0.1828	0.1889	0.3332	1.0781E-3	1.346	0.410	36.259
98000000	5.1396	1.7978E-2	0.2923	0.1830	0.1921	0.3326	1.2265E-3	0.645	0.373	33.087
99000000	6.3560	5.1554E-2	0.2943	0.1771	0.1934	0.3352	1.0247E-3	0.660	0.415	36.013
100000000	5.5436	5.1344E-2	0.2948	0.1751	0.1913	0.3388	1.0377E-3	0.484	0.424	35.706
101000000	6.1773	8.692E-2	0.2913	0.1794	0.1901	0.3391	1.1007E-3	0.825	0.386	35.301
102000000	6.0436	4.039E-2	0.2896	0.1825	0.1894	0.3384	1.1603E-3	0.636	0.389	33.805
103000000	6.2933	2.9841E-2	0.2912	0.1815	0.1939	0.3333	1.1404E-3	0.435	0.387	32.797
104000000	5.9937	5.8857E-2	0.2920	0.1812	0.1914	0.3354	1.0778E-3	0.711	0.400	35.034
105000000	6.6886	7.5977E-2	0.2943	0.1763	0.1955	0.3339	1.0741E-3	1.018	0.388	34.479
106000000	4.9483	4.7233E-2	0.2860	0.1807	0.1941	0.3392	1.1113E-3	0.521	0.406	35.764
107000000	5.7831	5.2409E-2	0.2889	0.1793	0.1944	0.3373	1.0278E-3	0.345	0.412	34.505
108000000	6.0724	4.3579E-2	0.2899	0.1795	0.1892	0.3414	1.0582E-3	0.754	0.413	35.950
109000000	6.0855	4.2722E-2	0.2930	0.1801	0.1905	0.3363	1.1415E-3	0.437	0.386	32.874
110000000	6.4836	2.9482E-2	0.2989	0.1798	0.1914	0.3299	1.0665E-3	1.168	0.419	35.128
111000000	5.8158	6.8034E-2	0.2933	0.1802	0.1933	0.3331	1.1425E-3	0.646	0.400	33.979
112000000	6.5989	1.8697E-2	0.2944	0.1764	0.1968	0.3324	1.0841E-3	0.617	0.367	33.845
113000000	6.0560	9.6458E-2	0.2943	0.1796	0.1954	0.3308	1.0059E-3	0.801	0.531	36.427
114000000	6.2086	8.641E-3	0.2923	0.1835	0.1903	0.3338	1.1614E-3	0.465	0.373	33.576
115000000	5.3154	2.1928E-2	0.2964	0.1803	0.1896	0.3336	1.1105E-3	0.884	0.376	34.318
116000000	5.6617	3.7673E-2	0.2957	0.1807	0.1928	0.3308	1.0669E-3	0.607	0.495	35.391
117000000	5.7820	5.0732E-2	0.2931	0.1793	0.1911	0.3364	1.0165E-3	0.205	0.417	35.382
118000000	5.1637	5.1515E-2	0.2947	0.1772	0.1943	0.3338	1.1187E-3	0.499	0.400	34.611
