state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	5.4883	1.3297E-2	0.2961	0.1784	0.1920	0.3335	1.0665E-3	1.476	0.426	36.896
2000000	6.0126	7.0625E-3	0.2973	0.1795	0.1862	0.3370	1.0927E-3	1.136	0.428	36.594
3000000	6.3166	5.737E-2	0.2934	0.1812	0.1906	0.3348	1.0743E-3	0.291	0.417	35.232
4000000	5.3684	4.6889E-2	0.2944	0.1783	0.1931	0.3342	1.1171E-3	0.909	0.392	35.014
5000000	5.6604	3.3323E-2	0.2951	0.1827	0.1903	0.3319	1.0877E-3	0.756	0.422	34.192
6000000	5.6167	4.3963E-2	0.2969	0.1779	0.1917	0.3335	1.1306E-3	0.419	0.442	34.448
7000000	5.3914	7.5279E-2	0.2893	0.1821	0.1930	0.3356	1.1254E-3	0.406	0.433	35.858
8000000	5.6129	4.1351E-2	0.2940	0.1780	0.1922	0.3358	1.1542E-3	1.174	0.408	33.222
9000000	5.5881	4.1964E-2	0.2869	0.1806	0.1944	0.3381	1.1141E-3	0.446	0.376	33.914
10000000	5.9680	2.8923E-2	0.2965	0.1764	0.1903	0.3368	1.0587E-3	0.952	0.392	34.060
11000000	5.8209	2.4826E-2	0.2949	0.1814	0.1884	0.3354	1.0529E-3	0.266	0.404	36.996
12000000	5.6846	1.4367E-2	0.2924	0.1834	0.1910	0.3331	1.1284E-3	0.565	0.400	33.827
13000000	6.3830	1.4889E-2	0.2955	0.1800	0.1897	0.3348	1.1611E-3	0.761	0.423	33.581
14000000	5.2637	7.1029E-2	0.2890	0.1824	0.1934	0.3352	1.0547E-3	1.749	0.418	35.586
15000000	6.3050	3.5847E-2	0.2966	0.1794	0.1916	0.3324	1.1368E-3	0.894	0.379	34.141
16000000	5.5860	1.7023E-2	0.2912	0.1783	0.1889	0.3416	1.0364E-3	0.147	0.424	35.591
17000000	6.2549	1.1318E-2	0.2937	0.1806	0.1913	0.3343	1.0579E-3	1.448	0.500	35.968
18000000	6.0208	5.4007E-2	0.2936	0.1809	0.1932	0.3322	1.0319E-3	0.837	0.438	35.876
19000000	5.5883	2.0908E-2	0.2946	0.1798	0.1912	0.3344	1.0842E-3	1.543	0.395	35.849
20000000	6.5221	1.4327E-2	0.2955	0.1816	0.1886	0.3343	1.1356E-3	0.155	0.378	34.121
21000000	5.9048	8.184E-2	0.2952	0.1815	0.1902	0.3331	1.0341E-3	0.542	0.430	37.090
22000000	5.4750	3.156E-2	0.2875	0.1813	0.1957	0.3355	1.1524E-3	0.334	0.428	34.651
23000000	5.6494	6.5281E-2	0.2913	0.1823	0.1925	0.3339	9.9303E-4	0.859	0.402	38.675
24000000	5.6832	5.1008E-2	0.2942	0.1809	0.1905	0.3344	1.0133E-3	0.356	0.372	36.018
25000000	6.4816	4.7082E-2	0.3001	0.1799	0.1868	0.3332	1.0659E-3	0.521	0.390	35.590
26000000	5.8061	3.5454E-2	0.2968	0.1775	0.1954	0.3303	1.0346E-3	0.263	0.388	33.860
27000000	5.5631	1.202E-2	0.2933	0.1774	0.1913	0.3380	1.1664E-3	0.666	0.410	33.651
28000000	6.2730	8.1549E-2	0.2926	0.1780	0.1915	0.3378	1.1492E-3	0.591	0.390	33.838
29000000	6.0322	9.4518E-3	0.2958	0.1791	0.1902	0.3348	1.0484E-3	0.943	0.406	34.445
30000000	6.6983	2.3371E-2	0.2938	0.1804	0.1873	0.3385	1.0833E-3	0.813	0.370	34.593
31000000	6.1621	3.7415E-2	0.2931	0.1826	0.1929	0.3315	1.0743E-3	0.469	0.438	37.455
32000000	5.7858	4.1343E-3	0.2922	0.1810	0.1915	0.3352	1.1682E-3	0.352	0.385	33.328
33000000	5.9554	5.3144E-2	0.2902	0.1808	0.1908	0.3382	1.1423E-3	0.630	0.376	33.301
34000000	5.9278	1.9449E-2	0.2895	0.1792	0.1915	0.3398	1.0562E-3	0.496	0.402	37.074
35000000	5.7803	1.1744E-2	0.2913	0.1787	0.1920	0.3380	1.0827E-3	0.855	0.373	36.196
36000000	5.4489	3.6068E-2	0.2920	0.1797	0.1885	0.3398	1.0648E-3	0.169	0.367	35.742
37000000	5.7108	3.8341E-2	0.2872	0.1796	0.1919	0.3413	1.0642E-3	0.966	0.413	35.129
38000000	6.3386	6.5818E-2	0.2878	0.1772	0.1933	0.3417	1.0463E-3	0.792	0.376	34.353
39000000	5.0005	5.1698E-2	0.2943	0.1815	0.1907	0.3334	1.1299E-3	1.172	0.405	33.371
40000000	5.8585	5.7446E-2	0.2907	0.1808	0.1914	0.3370	1.1187E-3	0.729	0.413	35.123
41000000	6.0497	3.5612E-2	0.2913	0.1798	0.1893	0.3397	1.0332E-3	0.343	0.421	36.495
42000000	5.4512	7.1824E-2	0.2931	0.1759	0.1914	0.3396	1.0551E-3	0.697	0.406	34.725
43000000	6.1971	5.6893E-2	0.2950	0.1820	0.1880	0.3350	1.1728E-3	0.827	0.396	34.102
44000000	5.7201	3.3311E-2	0.2927	0.1831	0.1900	0.3341	1.0862E-3	0.742	0.435	34.216
45000000	6.2491	4.1151E-2	0.2908	0.1817	0.1921	0.3354	1.1823E-3	0.896	0.383	32.854
46000000	5.8452	3.4541E-2	0.2923	0.1786	0.1908	0.3383	1.1033E-3	1.122	0.409	34.890
47000000	5.4952	3.9142E-2	0.2928	0.1764	0.1921	0.3387	1.0822E-3	0.921	0.397	34.382
48000000	6.1198	0.1025	0.2885	0.1813	0.1928	0.3374	1.1241E-3	0.343	0.398	33.980
49000000	6.2793	1.7743E-2	0.2909	0.1806	0.1928	0.3358	1.1151E-3	0.478	0.376	33.135
50000000	6.0409	3.6565E-2	0.2925	0.1819	0.1918	0.3338	1.1047E-3	0.275	0.424	33.282
