state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	1.497	-0.935	0.182	1.965	1.584	1.923	0.536	-0.715	-0.127	1.104	0.588	-1.710	-2.595	-3.865	-4.216	-2.918	-3.023	-2.733	-1.572	-1.654
2000000	2.869	-0.627	0.636	2.244	1.150	2.007	0.339	-0.381	0.009	0.837	0.008	-1.928	-3.048	-2.739	-2.363	-3.485	-2.877	-2.738	-2.648	-1.780
3000000	4.608	-0.842	0.721	1.343	1.521	1.831	0.308	-0.744	0.774	0.291	1.325	-2.092	-2.688	-2.026	-5.933	-15.128	-15.324	-12.413	-7.013	-4.162
4000000	0.674	-0.660	0.326	2.302	1.349	1.966	0.278	-0.202	-0.116	0.567	1.048	-1.916	-3.004	-2.918	-2.059	-2.194	-3.912	-4.200	-5.287	-9.199
5000000	0.907	-1.035	0.700	2.550	1.446	2.219	0.739	-0.814	-0.216	1.076	0.403	-1.930	-3.271	-2.895	-4.500	-4.459	-4.602	-5.271	-5.442	-5.219
6000000	0.409	-1.216	0.089	1.925	1.552	1.793	0.527	-0.188	0.379	0.471	0.388	-3.025	-3.589	-2.114	-4.976	-3.299	-4.740	-4.440	-4.101	-2.830
7000000	1.364	-0.915	0.584	1.729	1.691	1.674	0.268	-0.349	0.258	0.045	-0.143	-2.114	-2.396	-1.927	-0.548	-2.224	-2.838	-2.413	-0.709	-2.870
8000000	1.894	-0.028	-0.276	1.891	1.435	1.524	0.304	-0.165	-0.343	0.953	0.508	-1.817	-3.245	-3.343	-3.579	-4.744	-5.934	-7.969	-6.779	-7.813
9000000	2.249	-0.322	-0.051	1.542	1.455	2.318	0.785	-0.439	-0.245	0.535	1.102	-2.190	-2.926	-4.098	-6.283	-6.123	-5.446	-4.521	-3.847	-4.447
10000000	0.475	-0.236	0.537	1.783	1.842	1.974	0.412	0.253	-0.084	0.863	0.020	-1.812	-2.944	-2.356	-4.067	-3.786	-0.826	-0.697	-2.316	-0.587
11000000	2.660	-0.772	0.272	2.085	1.591	1.840	0.930	-0.669	0.362	1.814	1.408	-1.946	-3.276	0.589	-4.857	-4.807	-8.732	-7.678	-7.854	-11.498
