state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
31000000	0.615	-0.691	0.515	1.860	1.913	2.270	0.347	-0.254	-0.073	0.527	0.075	-2.420	-1.821	-1.329	-3.227	-2.685	-3.500	-3.123	-1.899	-1.546
32000000	0.169	-0.904	0.244	1.885	1.691	1.951	0.644	-0.678	-0.217	0.990	0.521	-1.555	-2.820	-1.647	-2.638	-3.479	-4.959	-4.718	-7.579	-7.217
33000000	1.320	-0.852	0.176	2.115	1.329	1.790	0.540	-0.419	0.605	0.177	1.297	-2.073	-3.176	-3.090	-1.974	-4.147	-4.025	-4.252	-6.669	-5.211
34000000	0.810	-0.752	0.106	1.661	1.668	1.430	0.261	-0.448	0.351	0.170	-0.507	-0.730	-2.640	-2.745	-2.337	-1.135	-1.576	-1.997	-2.876	-2.091
35000000	0.899	-0.959	0.687	1.987	1.827	2.104	0.505	-0.316	0.989	0.144	1.784	-2.010	-2.665	-2.271	-1.708	-3.959	-1.361	0.343	-2.018	0.353
36000000	0.421	0.408	0.003	1.825	1.485	1.768	0.565	-0.784	0.129	0.215	0.291	-1.706	-2.370	-2.038	-1.606	-2.841	-3.796	-5.593	-4.893	-5.003
37000000	-0.489	-0.690	0.765	1.343	1.507	1.615	0.610	-0.223	-0.177	0.230	-0.416	-2.960	-2.967	-1.953	-3.508	-5.845	-5.575	-5.755	-5.321	-4.466
38000000	-0.139	-0.635	0.161	2.534	1.397	2.333	0.327	-0.603	0.196	1.235	0.414	-1.740	0.093	-1.856	-1.609	-2.091	-3.149	-4.429	-3.848	-5.933
39000000	0.356	-0.984	0.453	2.592	1.509	1.963	0.238	-0.552	-0.624	2.108	0.694	-1.859	-2.698	-0.822	0.424	-4.876	-4.098	-2.747	-4.070	-1.867
40000000	0.136	-0.356	0.031	2.451	1.385	1.969	0.593	-0.533	1.002	0.552	0.290	-2.533	-2.712	-1.779	-4.548	-3.751	-2.045	-2.785	-1.339	-2.624
41000000	1.146	-0.255	0.179	1.858	1.441	2.095	0.554	-0.579	-0.122	0.890	1.023	-1.821	-0.917	-2.538	-2.881	-3.909	-5.788	-4.779	-4.940	-4.049
42000000	-0.651	-0.551	0.131	2.066	1.822	1.686	0.227	-0.321	1.337	-0.027	0.676	-2.049	-2.864	-1.158	-2.065	-4.911	-2.512	0.056	4.487	3.365
43000000	2.180	-0.873	0.114	1.603	1.646	1.469	0.434	-0.191	0.463	1.482	0.749	-1.815	-2.523	-0.062	-1.426	-3.570	-3.923	-5.589	-5.221	-5.938
44000000	1.080	-0.380	0.478	1.988	1.674	1.507	0.754	-0.666	0.885	-0.061	0.878	-1.489	-1.592	-2.317	-2.675	-2.567	-1.104	-1.045	-0.777	-0.702
45000000	2.014	0.365	0.170	2.158	1.809	2.522	0.693	-0.671	1.297	0.650	-0.164	-2.616	-1.606	-2.609	-3.728	-4.492	-3.899	-4.679	-4.591	-2.701
46000000	1.501	-1.281	0.539	1.882	1.536	2.143	0.520	-0.675	0.857	-0.251	0.993	-2.329	-3.548	-1.794	-4.041	-3.440	-6.840	-6.646	-9.319	-8.990
47000000	0.789	-0.550	0.961	1.738	1.516	1.908	0.335	-0.196	0.223	0.889	0.630	-1.931	-2.894	-0.820	-2.449	-3.479	-5.762	-5.503	-5.529	-5.594
48000000	0.549	-0.936	0.430	1.940	1.433	1.852	0.072	-0.668	0.274	0.804	0.362	-2.667	-2.451	-1.918	-4.136	-4.928	-4.063	-4.449	-6.034	-7.577
49000000	1.574	-0.787	0.082	1.946	1.341	1.873	0.124	-0.591	0.060	0.418	0.052	-1.832	-2.356	-2.724	-3.972	-3.938	-4.086	-3.391	-1.526	-2.856
50000000	-0.656	-0.531	0.554	1.643	1.403	1.856	0.503	-0.485	-0.582	0.622	0.067	-1.978	-3.034	-2.261	-1.819	-1.077	-1.576	-1.241	-2.563	-1.611
51000000	1.221	-0.683	-0.054	1.953	1.581	1.833	0.218	-0.110	0.704	-0.146	0.040	-2.438	-3.233	-1.720	-2.532	-4.400	-4.708	-4.180	-1.775	0.322
52000000	0.893	-0.871	0.272	1.948	1.888	1.981	0.680	-0.239	0.346	0.843	0.107	-2.582	-2.947	-1.579	-0.623	-3.746	-4.816	-3.552	-0.957	-1.442
53000000	-0.960	0.097	-0.017	2.228	1.244	2.677	0.388	-0.557	0.247	0.541	0.200	-1.827	-3.031	-2.734	-3.202	-3.397	-1.311	-1.008	-2.661	-1.775
54000000	0.980	-0.871	0.367	2.214	1.336	1.851	0.239	-0.480	0.380	0.473	1.055	-1.538	-3.426	-2.374	-4.304	-5.366	-7.559	-6.044	-5.145	-1.283
