state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	2.512	-0.450	0.054	1.917	1.374	1.843	0.453	-0.796	0.329	0.216	0.756	-1.830	-2.765	-0.480	-2.617	-5.278	-7.043	-5.605	-3.457	-1.151
2000000	0.886	0.096	0.175	1.691	1.645	2.005	0.732	-0.711	-0.055	1.642	0.139	-2.125	-2.176	-3.020	-2.016	-1.215	-0.740	-0.167	-2.608	-2.301
3000000	1.180	-0.112	-0.035	2.733	1.545	2.307	0.291	-0.343	-0.195	2.395	0.817	-1.237	-1.723	-3.201	-1.324	-2.563	-4.211	-4.028	-5.789	-6.362
4000000	-0.226	-0.982	0.165	1.900	1.649	1.613	0.524	-0.694	0.616	1.933	0.363	-1.489	-2.573	-2.363	-4.758	-5.865	-3.998	-3.266	-3.533	-2.882
5000000	-0.022	-0.704	0.394	1.769	1.368	2.188	0.788	-0.544	-0.190	0.748	-0.106	-1.753	-2.945	-1.841	-3.121	-4.279	-2.690	-1.306	-1.181	-2.646
6000000	1.009	-0.588	0.193	1.883	1.668	2.000	0.269	-0.592	0.437	0.152	0.815	-1.317	-3.408	-3.293	-6.611	-5.163	-5.868	-8.651	-4.825	-3.526
7000000	2.520	-0.497	0.104	1.883	1.709	2.364	0.815	-0.645	0.513	0.956	0.278	-1.685	-3.154	0.509	-2.214	-3.412	-1.896	-6.327	-6.777	-11.679
8000000	0.417	-0.522	0.069	2.406	1.349	1.800	0.711	-0.320	0.686	0.488	-0.090	-1.715	-2.897	-1.949	-2.454	-2.232	-0.309	-1.010	-0.907	-0.617
9000000	0.008	-1.031	0.204	1.697	1.436	1.478	0.429	-0.556	0.984	0.441	0.485	-2.188	-2.840	-2.940	-4.805	-4.822	-4.831	-3.759	-3.855	-4.023
10000000	0.030	-0.972	0.741	1.928	1.607	1.980	0.435	-0.466	-0.207	0.247	0.165	-1.257	-2.022	-2.516	-1.420	-1.998	-0.827	-1.167	-0.293	-0.834
11000000	0.604	-1.236	-0.285	2.011	1.517	1.867	0.363	-0.414	0.490	-0.213	1.514	-1.037	-2.632	-1.414	-4.166	-3.292	0.306	0.581	2.229	-1.008
12000000	-0.847	-1.117	0.668	1.936	1.601	1.914	0.377	-0.689	0.211	0.984	0.828	-1.753	-2.310	-3.433	-2.758	-3.579	-2.932	-3.672	-1.455	-3.225
13000000	0.238	0.014	0.007	2.327	1.407	1.789	0.615	-0.241	0.138	1.025	0.794	-2.343	-1.840	-1.273	-0.134	-2.790	-5.409	-6.607	-4.576	-5.884
14000000	1.806	-0.890	0.595	2.349	1.357	2.077	0.677	-0.589	0.702	1.106	1.496	-2.029	-1.895	-1.415	-3.716	-0.989	-1.682	-2.343	-1.693	-0.416
15000000	0.575	-0.342	0.362	1.402	1.532	2.071	0.418	0.106	-0.270	0.799	0.658	-1.569	-1.774	-1.620	-1.338	-4.764	-3.975	-5.101	-4.746	-4.256
16000000	1.724	-0.647	-0.123	1.617	1.576	2.248	0.417	-0.663	0.313	1.963	0.741	-2.114	-2.305	-2.801	-2.846	-7.583	-10.880	-4.458	-6.863	-7.993
17000000	1.470	-0.892	0.143	2.820	1.703	1.679	0.515	-0.328	0.490	0.624	1.023	-2.807	-4.916	-2.337	-2.664	-4.588	-2.101	-0.321	-0.749	0.226
18000000	1.244	-0.618	0.446	1.799	1.793	1.949	0.788	-0.515	-0.130	1.934	0.401	-0.970	-3.198	-1.667	-4.750	-5.021	-7.952	-7.613	-5.811	-6.291
19000000	-0.657	-0.587	0.490	2.839	1.635	2.290	0.602	-0.686	-0.256	0.833	0.874	-2.382	-2.638	-2.763	-3.219	-1.604	0.947	-0.496	0.553	1.045
20000000	-0.413	-0.848	0.142	2.051	1.530	1.622	0.581	-0.482	0.211	0.563	0.924	-0.973	-3.112	-2.954	-2.704	-2.137	-2.860	-4.093	-4.545	-2.887
21000000	2.537	-0.729	0.315	1.952	1.745	1.645	0.577	-0.720	0.709	0.512	2.212	-1.991	-2.230	-1.213	-3.611	-4.007	-5.209	-7.517	-8.234	-8.358
22000000	0.639	-0.186	0.103	2.641	1.773	1.869	0.888	-0.653	2.055	0.796	1.470	-1.346	-3.383	-0.853	-2.259	-1.704	-2.501	-1.193	-2.549	-4.798
23000000	0.008	-0.606	0.163	1.827	1.637	2.434	0.917	-0.708	1.100	1.134	0.467	-2.539	-2.868	-1.210	-3.468	-2.557	-3.794	-3.627	-2.121	-0.747
24000000	0.835	-0.498	0.056	2.471	1.725	1.687	0.501	-0.430	0.083	0.233	0.323	-0.811	-1.565	-2.920	-2.894	-2.095	-1.792	-1.274	0.890	0.950
25000000	1.383	-0.332	0.342	1.985	1.512	1.729	0.334	-0.846	1.131	0.714	-0.491	-1.290	-4.088	-4.133	-3.825	-4.410	-2.387	-1.384	-2.291	-2.158
26000000	0.259	-0.400	0.271	1.519	1.979	1.485	0.377	-0.795	0.572	0.571	0.083	-1.447	-1.565	-2.991	-3.840	-2.751	-3.272	-2.781	-1.984	-3.705
27000000	1.929	-0.439	0.054	1.871	1.719	1.890	0.589	-0.412	0.106	0.766	1.462	-1.241	-2.649	0.453	-0.636	-1.926	-3.735	-3.636	-5.251	-4.591
28000000	-0.401	-0.437	0.751	2.136	1.426	2.194	0.512	-0.480	-0.044	1.073	0.307	-0.873	-1.672	-2.567	-3.148	-3.601	-4.781	-5.014	-4.587	-4.341
29000000	0.945	-0.548	0.547	1.362	1.651	1.953	0.779	-0.499	0.827	0.510	0.568	-1.672	-1.991	-2.248	-2.431	-3.932	-2.709	-3.533	-4.227	-4.607
30000000	1.299	-0.770	0.526	2.207	1.906	1.747	-0.022	-0.885	-0.089	1.499	0.598	-2.437	-2.459	-2.620	-3.854	-4.202	-3.225	-3.944	-3.703	-2.960
31000000	-0.069	-0.216	0.252	2.355	1.483	1.781	0.554	-0.972	-0.380	0.057	0.701	-1.687	-1.620	-2.154	-1.922	-2.914	-2.670	-1.744	-1.326	-1.085
32000000	1.282	0.098	0.500	2.078	1.265	2.479	0.720	-0.673	1.527	0.414	0.846	-0.462	-2.804	-4.062	-4.434	-2.999	-4.627	-2.634	0.336	-0.461
33000000	0.081	0.257	0.003	2.050	1.452	2.206	0.518	-0.565	0.157	0.603	0.845	-1.716	-2.568	-4.392	-4.611	-3.454	-4.705	-2.931	-3.330	-3.379
34000000	0.773	-0.860	0.390	1.893	1.362	1.669	0.444	-0.592	-0.351	1.037	-0.475	-1.605	-3.947	-3.928	-3.751	-1.730	-1.897	-2.201	-3.150	-3.052
35000000	1.280	-0.132	0.353	1.766	1.344	2.272	0.322	-0.622	0.867	0.630	-0.186	-1.422	-2.836	-2.207	-4.249	-3.609	-2.692	-2.650	-2.690	-3.474
36000000	1.601	-0.251	0.092	1.860	1.508	1.826	0.901	-0.831	1.301	0.364	0.094	-2.112	-2.193	-2.471	-1.705	-2.263	-2.537	-1.933	-2.678	-3.783
37000000	-0.053	-0.977	0.247	2.015	1.877	1.991	0.695	-0.898	1.758	0.364	1.239	-0.845	-3.521	-1.254	-3.733	-2.654	-1.023	0.145	0.813	-0.920
38000000	-0.113	-0.353	0.115	2.564	1.376	1.665	0.379	-0.967	1.103	0.497	1.677	-2.248	-2.061	-0.633	-3.074	-3.279	-1.400	-2.575	-0.500	2.217
