1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	2,3	2,4	2,5	2,6	2,7	2,8	2,9	3,4	3,5	3,6	3,7	3,8	3,9	4,5	4,6	4,7	4,8	4,9	5,6	5,7	5,8	5,9	6,7	6,8	6,9	7,8	7,9	8,9	2,1	3,1	4,1	5,1	6,1	7,1	8,1	9,1	3,2	4,2	5,2	6,2	7,2	8,2	9,2	4,3	5,3	6,3	7,3	8,3	9,3	5,4	6,4	7,4	8,4	9,4	6,5	7,5	8,5	9,5	7,6	8,6	9,6	8,7	9,7	9,8
rep1	3.959	3.52375	0.5845	4.524625	7.205	4.378125	2.49975	10.48625	2.3725	2.273125	5.763	1.484625	5.5705	14.081625	9.973125	9.794625	7.556875	0.165125	10.757	11.5015	6.384125	1.168	0.7865	39.694375	3.598375	2.92275	1.452125	4.717875	8.432125	7.9865	1.488625	2.563	10.916375	17.6795	6.78	11.06375	5.424	1.863375	2.332625	5.942	5.259875	6.071625	5.242	20.973	1.22475	0.264625	3.18075	2.059875	5.94575	12.911625	5.950125	10.31675	8.16275	0.398	17.1165	13.707875	6.415125	2.257875	0.1685	48.07575	3.435375	1.262875	3.35925	8.13625	9.042125	11.60625	2.16125	2.433875	22.93075	19.2805	8.809125	9.00825
rep2	4.0885	3.520625	0.607125	4.51075	7.25825	4.15875	2.334875	10.63	2.4265	2.350875	5.911375	1.59875	5.1735	13.8625	9.88375	9.35775	7.68	0.176875	11.053375	12.114	6.507125	1.060375	0.805625	40.172125	3.62575	2.970875	1.391625	4.583	8.83775	8.056625	1.52325	2.532125	10.995125	18.32475	6.871625	11.00125	5.1505	1.904125	2.419875	5.922875	5.238375	6.249875	5.228125	20.954	1.534875	0.367875	3.091875	1.740375	5.92725	12.461375	5.93075	10.386625	8.200125	0.386	17.405625	13.43725	6.40675	2.219375	0.185	48.209625	3.6315	1.22975	3.2965	8.094625	8.784375	11.6585	2.257875	2.394375	23.012	18.839375	8.81425	8.364875
rep3	3.868	3.5075	0.614375	4.538125	7.301375	4.334125	2.508375	10.60675	2.41475	2.38925	5.65675	1.5415	5.401625	14.155875	9.92275	9.15	7.78025	0.2285	10.95975	11.904	6.6545	1.20975	0.801	40.228625	3.461875	2.943375	1.31775	4.642875	8.65525	7.889875	1.48725	2.650375	11.047	18.123625	6.702625	11.209375	5.333125	1.910625	2.347	5.906125	5.28575	6.195125	5.27275	20.7835	1.482375	0.2695	3.17425	1.818375	5.962	12.64425	6.035	10.264125	8.0845	0.435125	17.50075	13.520625	6.49175	2.406125	0.182375	47.28625	3.491	1.2745	3.314875	8.287	8.919375	11.547375	2.158875	2.63525	23.29425	19.056125	8.7535	8.86525
rep4	3.92975	3.516125	0.584	4.5585	7.149125	4.520375	2.47175	10.524875	2.42525	2.344125	5.81275	1.610125	5.664875	14.178875	9.97925	9.76875	7.526	0.241875	11.315125	12.017375	6.57125	1.118375	0.82325	40.69825	3.7685	3.001625	1.430375	4.673125	8.786875	8.109875	1.433125	2.617375	11.10075	17.46225	6.499	11.053375	5.46075	1.900375	2.391	6.02825	5.3265	5.7565	5.26	20.914625	1.250375	0.294875	3.3645	1.81575	5.961	12.606875	6.09225	10.725625	8.223125	0.4145	16.516875	13.654125	6.353	2.274875	0.172125	46.852125	3.561625	1.27625	3.2895	8.019625	8.885125	11.64	2.069125	2.510375	22.935875	19.03	8.916625	8.626125
rep5	3.992	3.53025	0.562875	4.432125	7.17925	4.193875	2.364375	10.437625	2.48625	2.29675	6.161625	1.4765	5.33025	13.605	10.02175	9.201875	7.827375	0.244125	11.026625	12.6365	6.39475	1.277625	0.874	40.3065	3.587	3.0045	1.419875	4.647625	8.0335	7.942	1.436875	2.657	11.00425	18.270375	6.62475	11.023625	5.163375	1.846875	2.41475	5.801625	5.2515	6.152	5.228625	21.160125	1.587	0.320375	3.145125	1.868	5.968125	12.1515	5.928	10.378	8.25075	0.406875	17.1375	13.356	6.516875	2.455375	0.1745	46.925	3.525875	1.21475	3.34275	8.17375	8.306125	11.460625	1.995625	2.35325	22.803375	18.66525	8.88375	8.861375
rep6	3.992	3.499	0.6035	4.36	7.1125	4.4405	2.4325	10.213	2.567	2.214	6.673	1.622	5.567	13.824	10.137	9.6015	7.916	0.176	11.79	12.926	6.256	1.135	0.777	40.7785	3.9425	3.009	1.1825	4.5195	8.2235	7.962	1.567	2.438	10.855	17.951	6.9735	11.2225	5.358	1.8655	2.427	5.768	5.155	5.8015	5.503	21.1295	1.787	0.356	2.9515	1.5745	6.056	12.091	6.578	10.935	7.885	0.3765	17.223	13.061	6.63	2.426	0.1735	46.612	3.6135	1.374	3.3985	8.003	8.271	11.3735	2.2475	2.272	23.265	18.4105	8.907	8.6985
rep7	4.1135	3.571	0.5975	4.6165	7.1715	4.222	2.3705	10.6485	2.412	2.294	6	1.599	5.266	13.902	9.928	9.236	7.2155	0.1755	10.701	10.8715	6.655	1.039	0.798	40.931	3.869	2.9355	1.4685	4.7065	8.737	8.1895	1.5365	2.7735	11.198	17.7315	6.669	11.2975	5.0505	1.975	2.4365	5.994	5.189	6.1705	5.36	20.6475	1.275	0.2615	3.4165	1.9245	6.181	13.0885	6.108	10.268	8.0545	0.4445	17.445	13.6415	6.3395	2.154	0.2065	47.4295	3.5145	1.333	3.263	8.362	9.178	11.5365	2.188	2.4775	22.835	18.913	8.525	9.056
rep8	3.699	3.5785	0.5335	4.3845	7.286	4.222	2.068	10.488	2.32	2.24	5.314	1.532	5.623	14.328	9.89	9.186	7.465	0.1755	10.6015	11.6745	6.2515	1.4365	0.781	40.4145	3.758	2.9615	1.816	4.7215	8.825	8.214	1.5995	2.3855	11.13	17.511	6.6935	10.6545	5.2785	1.853	2.3255	6.0645	5.173	5.905	5.532	20.9525	1.223	0.332	4.0875	2.145	5.7975	12.645	6.453	10.324	8.2385	0.349	17.0595	13.705	6.2755	2.2995	0.153	47.402	3.0615	1.25	3.6825	7.601	8.873	11.732	2.1455	2.229	22.8895	19.273	8.912	8.9465
rep9	3.961	3.547	0.6565	4.589	7.176	4.3855	2.45	10.7995	2.4445	2.1175	5.874	1.489	5.487	13.581	9.9295	9.4455	7.143	0.1745	10.964	10.8495	6.339	1.117	0.794	40.2485	3.698	2.948	1.3415	4.724	8.718	8.138	1.355	2.7135	11.47	17.855	6.5625	10.9755	5.1805	1.833	2.4355	5.8645	5.3025	6.1025	5.3655	20.6805	1.1635	0.4065	3.093	2.071	6.066	13.4055	5.887	10.628	8.1335	0.4075	16.5415	13.885	6.245	2.195	0.1735	47.6565	3.501	1.3175	3.2275	7.9555	9.173	11.82	2.1685	2.3815	23.4925	19.7035	8.498	8.793
