state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.814	10.757	13.847	7.198	0.2959	2.3308E-2	0.8028	0.4290	0.5203	0.5124	1.3856	1.6290	0.3111	0.2205	0.2749	0.1936	0.3175	0.2306	0.1716	0.2803	0.2956	0.2187	0.1951	0.2906	0.3547	0.1862	0.1594	0.2996	1.2653E-3	9.6213E-4	1.1632E-3	0.7522	-1.292E-2	1.396	1.932	134.027
2000000	7.738	13.210	15.977	9.381	0.2225	0.1049	0.7025	0.3159	0.5100	0.5056	1.3893	1.6435	0.3034	0.2251	0.2865	0.1851	0.3229	0.2261	0.1758	0.2752	0.2914	0.2079	0.2022	0.2985	0.3391	0.1880	0.1631	0.3098	1.2038E-3	8.345E-4	1.1989E-3	0.6981	1.832E-2	1.991	1.935	129.214
3000000	8.812	10.018	14.495	7.795	0.2470	4.6846E-2	0.7653	0.4316	0.5122	0.5323	1.4489	1.5479	0.2990	0.2321	0.2762	0.1926	0.3101	0.2359	0.1830	0.2710	0.2898	0.2121	0.1982	0.2999	0.3469	0.1929	0.1685	0.2916	1.3114E-3	1.0542E-3	1.1916E-3	0.7669	7.6348E-3	2.778	1.941	127.665
4000000	9.385	12.275	14.326	8.048	0.3381	6.0868E-2	0.5978	0.4028	0.5108	0.4715	1.4518	1.6120	0.3126	0.2237	0.2753	0.1884	0.3219	0.2472	0.1651	0.2658	0.2915	0.2083	0.1821	0.3181	0.3424	0.1878	0.1610	0.3088	1.2267E-3	7.828E-4	1.1881E-3	0.6282	-3.1285E-3	2.655	1.925	126.982
5000000	6.454	10.701	13.955	8.305	8.7183E-2	1.1955E-2	0.5302	0.4459	0.5265	0.5547	1.4211	1.5381	0.2958	0.2316	0.2742	0.1984	0.3172	0.2418	0.1631	0.2779	0.2862	0.2121	0.1973	0.3044	0.3336	0.1978	0.1689	0.2997	1.2413E-3	8.349E-4	1.1955E-3	0.6867	7.706E-3	3.869	1.966	133.178
6000000	8.631	10.966	13.195	7.891	0.1231	2.5574E-2	0.5197	0.3320	0.5054	0.4965	1.4223	1.6226	0.2961	0.2310	0.2750	0.1979	0.3147	0.2373	0.1739	0.2741	0.2860	0.2156	0.1939	0.3046	0.3511	0.1916	0.1622	0.2951	1.2034E-3	8.2578E-4	1.149E-3	0.6894	2.8448E-2	1.296	1.885	134.312
7000000	9.728	17.057	16.302	8.798	9.7132E-2	1.7384E-2	0.6083	0.3511	0.4832	0.5289	1.4241	1.6096	0.3156	0.2302	0.2765	0.1777	0.3109	0.2388	0.1733	0.2770	0.2954	0.2088	0.1876	0.3083	0.3459	0.1953	0.1720	0.2869	1.2993E-3	1.0074E-3	1.209E-3	0.7629	-3.5843E-2	1.534	1.877	129.890
8000000	8.475	9.122	16.296	8.097	0.1844	2.9343E-2	0.5520	0.4361	0.5035	0.5093	1.4853	1.5427	0.2969	0.2293	0.2784	0.1954	0.3222	0.2288	0.1747	0.2743	0.3036	0.2180	0.1904	0.2880	0.3485	0.1957	0.1557	0.3000	1.2083E-3	7.5878E-4	1.1565E-3	0.6282	8.984E-4	1.771	2.007	134.022
9000000	9.029	14.071	13.485	7.935	0.3708	5.9568E-2	0.9123	0.3761	0.5390	0.5218	1.3683	1.6173	0.3039	0.2213	0.2830	0.1917	0.3137	0.2352	0.1672	0.2839	0.3025	0.2153	0.1869	0.2954	0.3450	0.1964	0.1662	0.2925	1.2574E-3	9.1595E-4	1.1739E-3	0.7429	3.7287E-3	2.408	1.949	131.296
10000000	9.224	13.334	13.175	8.227	0.1489	0.1033	0.6330	0.4951	0.5399	0.4998	1.3919	1.6147	0.3005	0.2318	0.2713	0.1963	0.3124	0.2473	0.1751	0.2652	0.2983	0.2149	0.1919	0.2950	0.3375	0.2016	0.1649	0.2961	1.2092E-3	8.441E-4	1.1747E-3	0.6985	1.8669E-2	2.863	1.987	131.133
11000000	8.762	11.671	14.248	8.993	0.1029	1.0197E-2	0.5168	0.3467	0.5227	0.5173	1.3850	1.6218	0.3033	0.2249	0.2759	0.1960	0.3170	0.2395	0.1723	0.2712	0.2930	0.2074	0.1909	0.3087	0.3390	0.1963	0.1662	0.2985	1.1776E-3	8.5377E-4	1.1583E-3	0.7118	-7.8112E-3	3.361	1.923	131.817
