state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	11.028	10.487	14.152	8.126	9.9565E-2	7.5036E-2	0.6400	0.3671	0.4987	0.4966	1.4548	1.5946	0.3118	0.2269	0.2703	0.1910	0.3155	0.2458	0.1712	0.2674	0.2962	0.2053	0.1920	0.3065	0.3330	0.1956	0.1608	0.3106	1.173E-3	7.5984E-4	1.1468E-3	0.6559	1.86E-2	1.722	2.015	130.541
2000000	11.833	10.476	14.138	7.295	0.1901	3.3165E-3	0.5296	0.2889	0.5395	0.4729	1.4069	1.6279	0.3023	0.2276	0.2806	0.1896	0.3151	0.2412	0.1658	0.2779	0.2884	0.2138	0.2006	0.2972	0.3483	0.1877	0.1527	0.3113	1.2641E-3	8.5486E-4	1.2096E-3	0.6853	-1.579E-3	2.009	1.947	130.223
3000000	8.866	10.134	11.606	9.883	0.1514	6.5878E-2	0.5465	0.3497	0.5053	0.5457	1.3831	1.6120	0.3052	0.2288	0.2758	0.1903	0.3056	0.2480	0.1658	0.2805	0.2970	0.2028	0.1952	0.3049	0.3416	0.1884	0.1652	0.3048	1.2284E-3	8.4193E-4	1.1617E-3	0.6910	-1.094E-2	2.319	1.910	132.555
4000000	9.563	12.588	11.793	8.861	0.2612	4.9053E-2	0.4921	0.3459	0.5651	0.5102	1.4029	1.5643	0.3158	0.2255	0.2615	0.1972	0.2968	0.2422	0.1698	0.2913	0.3008	0.2098	0.1944	0.2949	0.3638	0.1923	0.1518	0.2921	1.2016E-3	8.3174E-4	1.1448E-3	0.6958	-1.1457E-2	2.084	1.891	134.670
5000000	9.501	14.398	14.572	9.680	8.2267E-2	5.0851E-2	0.7220	0.3969	0.5638	0.5040	1.3348	1.6461	0.3041	0.2264	0.2722	0.1973	0.3138	0.2420	0.1641	0.2801	0.2967	0.2110	0.1882	0.3041	0.3391	0.1972	0.1644	0.2993	1.2461E-3	8.4149E-4	1.1712E-3	0.6707	1.8237E-2	1.900	1.976	130.226
6000000	7.246	10.636	13.440	9.060	0.1350	1.84E-2	0.5101	0.4077	0.5445	0.5250	1.4070	1.5661	0.3029	0.2326	0.2714	0.1932	0.3072	0.2389	0.1732	0.2807	0.2894	0.2119	0.1920	0.3067	0.3389	0.1875	0.1637	0.3098	1.1923E-3	7.6185E-4	1.1674E-3	0.6566	3.0134E-2	2.797	1.926	132.252
7000000	8.709	14.845	12.313	8.567	0.1118	0.1043	0.5561	0.3442	0.5446	0.4549	1.4397	1.6063	0.3125	0.2218	0.2724	0.1933	0.3187	0.2392	0.1727	0.2693	0.2904	0.2105	0.1932	0.3060	0.3457	0.1984	0.1613	0.2946	1.2151E-3	8.6802E-4	1.1715E-3	0.7262	-1.2281E-2	2.546	2.127	135.464
8000000	8.008	10.940	10.919	8.080	0.1344	3.7138E-2	0.7197	0.3725	0.5560	0.5184	1.4261	1.5402	0.3006	0.2305	0.2717	0.1972	0.3171	0.2494	0.1692	0.2643	0.2840	0.2192	0.1938	0.3029	0.3408	0.1885	0.1615	0.3092	1.1555E-3	7.8937E-4	1.1186E-3	0.6840	6.755E-3	2.340	1.959	138.126
9000000	10.159	12.688	14.132	7.893	0.2254	9.7785E-2	0.6900	0.3884	0.5873	0.4713	1.3851	1.6015	0.3004	0.2289	0.2826	0.1881	0.3172	0.2372	0.1701	0.2755	0.2938	0.2118	0.1957	0.2987	0.3582	0.1923	0.1582	0.2914	1.2884E-3	9.7042E-4	1.2072E-3	0.7516	1.0923E-2	2.812	1.991	130.161
10000000	8.160	14.406	13.815	9.042	0.4650	9.4243E-2	0.6255	0.3758	0.5711	0.4782	1.4327	1.5601	0.3056	0.2274	0.2670	0.2000	0.3176	0.2321	0.1736	0.2767	0.2856	0.2153	0.1874	0.3117	0.3478	0.2003	0.1643	0.2876	1.2128E-3	9.2936E-4	1.1739E-3	0.7579	8.8958E-3	2.161	1.926	130.619
11000000	8.261	11.637	13.575	9.318	0.1297	6.4645E-2	0.4512	0.3888	0.5019	0.5030	1.4511	1.5882	0.3004	0.2263	0.2844	0.1889	0.3194	0.2399	0.1634	0.2773	0.2973	0.2087	0.1964	0.2976	0.3407	0.2027	0.1680	0.2887	1.3037E-3	9.4504E-4	1.2093E-3	0.7119	-2.0339E-2	1.324	1.996	127.474
12000000	7.783	10.933	13.063	8.763	0.1115	1.5904E-2	0.4649	0.3827	0.5549	0.4833	1.4062	1.6009	0.2978	0.2376	0.2658	0.1988	0.3133	0.2367	0.1697	0.2803	0.2889	0.2095	0.1967	0.3049	0.3496	0.1992	0.1568	0.2944	1.2519E-3	8.5286E-4	1.205E-3	0.7061	7.3538E-3	1.683	1.938	129.474
13000000	7.013	14.395	11.502	7.790	0.1924	1.5662E-2	0.4981	0.3657	0.4882	0.4809	1.4407	1.6382	0.3047	0.2244	0.2697	0.2012	0.3330	0.2370	0.1602	0.2698	0.2899	0.2163	0.1965	0.2973	0.3496	0.1982	0.1545	0.2976	1.2419E-3	8.4905E-4	1.1857E-3	0.6998	-1.7148E-2	3.285	1.991	128.855
14000000	7.446	12.262	12.331	9.590	0.1414	2.4217E-2	0.8530	0.3031	0.5083	0.5195	1.4444	1.5706	0.2946	0.2379	0.2737	0.1938	0.3250	0.2249	0.1629	0.2873	0.2921	0.2029	0.1970	0.3080	0.3545	0.1814	0.1544	0.3096	1.2922E-3	8.7495E-4	1.2261E-3	0.7220	4.7458E-3	3.396	1.929	129.103
15000000	8.407	15.090	12.541	8.913	0.1728	4.0546E-2	0.5662	0.3400	0.5143	0.4867	1.4092	1.6378	0.2967	0.2469	0.2703	0.1861	0.3076	0.2392	0.1743	0.2789	0.2861	0.2149	0.1952	0.3038	0.3418	0.1942	0.1582	0.3058	1.1691E-3	7.8159E-4	1.1158E-3	0.7308	-2.2864E-2	3.249	1.960	130.983
16000000	7.898	14.253	11.056	8.323	0.1093	0.1208	0.7371	0.3855	0.5303	0.5111	1.4333	1.5680	0.2960	0.2303	0.2705	0.2032	0.3261	0.2341	0.1677	0.2720	0.2921	0.2158	0.1936	0.2984	0.3337	0.1964	0.1706	0.2992	1.257E-3	9.0835E-4	1.1661E-3	0.7730	2.175E-3	1.768	2.023	131.873
17000000	9.749	13.193	12.301	7.514	0.2090	1.8922E-2	0.7946	0.3692	0.5454	0.5398	1.4062	1.5499	0.3035	0.2188	0.2861	0.1915	0.3069	0.2470	0.1729	0.2732	0.2808	0.2132	0.1939	0.3120	0.3434	0.1905	0.1710	0.2951	1.2347E-3	7.7813E-4	1.1711E-3	0.6325	2.0706E-2	1.782	1.881	131.152
18000000	9.640	12.227	13.546	8.519	0.1263	0.1216	0.6395	0.3220	0.4882	0.5348	1.3992	1.6249	0.3093	0.2213	0.2826	0.1868	0.3108	0.2417	0.1731	0.2744	0.3068	0.2084	0.1940	0.2908	0.3515	0.1723	0.1655	0.3107	1.2919E-3	1.008E-3	1.1965E-3	0.7812	-1.6095E-2	1.427	1.904	131.999
