state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
16000000	7.480	12.950	13.023	9.218	0.3168	6.1061E-2	0.5696	0.3466	0.5072	0.5370	1.4342	1.5640	0.3055	0.2326	0.2781	0.1838	0.3179	0.2403	0.1693	0.2725	0.2976	0.2169	0.1848	0.3007	0.3583	0.1936	0.1612	0.2869	1.2495E-3	8.923E-4	1.1773E-3	0.6949	-2.3991E-2	3.568	1.955	130.311
17000000	8.951	10.166	13.547	9.255	0.2247	3.2072E-2	0.6103	0.3519	0.4998	0.5223	1.4266	1.5961	0.2980	0.2293	0.2728	0.1999	0.3149	0.2356	0.1661	0.2834	0.2941	0.2048	0.1979	0.3032	0.3506	0.1872	0.1583	0.3039	1.2584E-3	9.5517E-4	1.1946E-3	0.7371	-1.0989E-2	3.422	1.943	128.144
18000000	7.969	14.428	12.223	8.355	0.2900	2.4131E-2	0.6101	0.3663	0.5546	0.4866	1.3845	1.6211	0.3124	0.2313	0.2756	0.1806	0.3299	0.2346	0.1735	0.2620	0.2904	0.2173	0.1955	0.2968	0.3583	0.1841	0.1584	0.2992	1.2928E-3	8.6335E-4	1.2097E-3	0.6598	-3.4681E-3	2.525	1.900	129.449
19000000	10.162	12.897	11.348	9.025	0.1636	3.2035E-2	0.5115	0.4230	0.5237	0.5299	1.3820	1.6104	0.3089	0.2203	0.2804	0.1904	0.3159	0.2388	0.1672	0.2781	0.2955	0.2142	0.1925	0.2978	0.3409	0.2022	0.1574	0.2995	1.242E-3	9.2007E-4	1.1603E-3	0.7244	-6.257E-3	4.054	2.015	131.967
20000000	8.935	11.149	13.203	10.271	0.2008	3.3636E-2	0.5886	0.4631	0.5187	0.5497	1.4324	1.5397	0.3120	0.2262	0.2689	0.1929	0.3185	0.2280	0.1735	0.2800	0.2905	0.2239	0.1982	0.2875	0.3436	0.1974	0.1585	0.3005	1.2011E-3	9.2688E-4	1.1237E-3	0.7636	5.7621E-2	3.769	1.960	132.188
21000000	9.204	10.867	13.712	9.039	0.3381	2.4298E-2	0.7008	0.3886	0.5316	0.5685	1.3655	1.5779	0.3065	0.2170	0.2850	0.1915	0.3201	0.2284	0.1707	0.2808	0.2880	0.2138	0.1980	0.3003	0.3485	0.1892	0.1611	0.3013	1.2123E-3	8.4361E-4	1.1588E-3	0.6875	-3.9418E-3	5.161	2.047	131.897
22000000	9.197	12.710	14.098	9.793	0.1273	0.1342	0.9592	0.3395	0.5065	0.5285	1.4327	1.5756	0.3014	0.2273	0.2736	0.1978	0.3072	0.2417	0.1685	0.2826	0.2825	0.2216	0.1878	0.3081	0.3492	0.1872	0.1632	0.3005	1.2456E-3	8.8251E-4	1.1997E-3	0.6918	-1.879E-2	1.472	1.892	128.945
23000000	7.705	10.470	12.096	8.005	0.2032	2.4808E-2	0.6106	0.3246	0.5794	0.4977	1.4626	1.4978	0.2978	0.2375	0.2699	0.1949	0.3225	0.2312	0.1751	0.2712	0.2860	0.2144	0.1954	0.3042	0.3564	0.1882	0.1685	0.2869	1.2557E-3	9.1072E-4	1.1608E-3	0.7345	1.4126E-3	2.921	1.877	127.951
24000000	7.640	12.493	13.864	7.359	0.2980	7.2815E-2	0.5247	0.3793	0.5022	0.5022	1.4061	1.6374	0.3193	0.2251	0.2673	0.1882	0.3300	0.2410	0.1622	0.2668	0.2876	0.2136	0.1977	0.3011	0.3520	0.1953	0.1628	0.2899	1.2945E-3	9.9683E-4	1.188E-3	0.7410	-2.4246E-3	1.968	1.887	131.051
25000000	9.975	12.512	12.561	8.421	0.2235	2.7272E-2	0.6394	0.3174	0.5159	0.5251	1.4181	1.5849	0.3195	0.2200	0.2658	0.1947	0.3165	0.2360	0.1745	0.2731	0.2842	0.2202	0.1902	0.3054	0.3437	0.2006	0.1670	0.2887	1.2609E-3	9.3419E-4	1.1871E-3	0.7800	1.1618E-2	1.994	1.968	128.066
