state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.632	12.319	13.733	9.816	0.1507	0.1952	0.5865	0.4983	0.6005	0.4921	1.3780	1.5725	0.3073	0.2229	0.2681	0.2017	0.3173	0.2391	0.1716	0.2720	0.2883	0.2095	0.1950	0.3071	0.3479	0.1776	0.1722	0.3023	1.2552E-3	9.0188E-4	1.2085E-3	0.7222	3.887E-2	2.483	2.058	129.449
2000000	9.070	10.955	12.313	9.515	0.1919	5.9759E-2	0.6656	0.3715	0.5654	0.5161	1.4543	1.5019	0.3013	0.2187	0.2779	0.2021	0.2998	0.2442	0.1826	0.2735	0.2848	0.2131	0.1924	0.3097	0.3464	0.1928	0.1562	0.3046	1.2367E-3	8.7409E-4	1.1626E-3	0.6977	-7.0841E-3	2.036	1.911	131.480
3000000	9.408	13.586	14.100	8.462	3.861E-2	5.3171E-2	0.5628	0.3240	0.5455	0.5679	1.3540	1.5759	0.3020	0.2303	0.2828	0.1849	0.3094	0.2432	0.1729	0.2746	0.2979	0.2116	0.1846	0.3058	0.3562	0.1889	0.1542	0.3007	1.2788E-3	9.4566E-4	1.2175E-3	0.7606	-8.4766E-3	2.174	1.987	128.489
4000000	9.499	13.635	13.471	9.984	0.2296	0.1192	0.5247	0.3710	0.5003	0.5039	1.4479	1.5924	0.3114	0.2263	0.2721	0.1902	0.3176	0.2368	0.1675	0.2780	0.2917	0.2129	0.1938	0.3016	0.3537	0.1873	0.1546	0.3044	1.2651E-3	8.3699E-4	1.1992E-3	0.6671	1.2081E-2	1.216	1.973	128.866
5000000	7.826	10.709	13.324	7.779	0.1566	5.8757E-2	0.5648	0.3859	0.5089	0.5398	1.3953	1.6012	0.3006	0.2315	0.2733	0.1946	0.3131	0.2412	0.1701	0.2756	0.2882	0.2158	0.2039	0.2920	0.3514	0.1944	0.1578	0.2964	1.1958E-3	7.9832E-4	1.14E-3	0.6539	-1.9046E-2	2.120	1.939	132.852
6000000	10.510	12.030	13.226	8.495	0.2512	4.8931E-2	0.5903	0.4389	0.6186	0.4863	1.4232	1.5102	0.2924	0.2281	0.2771	0.2023	0.3308	0.2308	0.1688	0.2695	0.2924	0.2141	0.1970	0.2966	0.3429	0.1944	0.1644	0.2983	1.2401E-3	8.6092E-4	1.1815E-3	0.6879	-1.3044E-2	1.699	1.922	133.598
7000000	7.089	11.714	14.400	8.059	0.3706	3.3842E-2	0.5862	0.3416	0.5346	0.5045	1.3756	1.6329	0.2946	0.2347	0.2786	0.1921	0.3229	0.2379	0.1697	0.2694	0.2982	0.2139	0.1927	0.2952	0.3483	0.1898	0.1650	0.2970	1.2304E-3	8.3503E-4	1.1788E-3	0.6905	3.8144E-2	2.374	2.024	128.842
8000000	9.986	14.233	11.573	9.942	0.2751	5.9268E-2	0.5760	0.3713	0.5712	0.4814	1.4605	1.5265	0.2986	0.2286	0.2839	0.1889	0.3306	0.2374	0.1677	0.2643	0.2862	0.2124	0.1939	0.3075	0.3440	0.1935	0.1665	0.2960	1.2255E-3	8.5856E-4	1.1866E-3	0.7110	1.7534E-3	3.233	1.885	128.928
9000000	8.797	13.416	14.776	8.897	0.3649	2.7497E-2	0.8391	0.3023	0.5170	0.5053	1.3629	1.6648	0.3005	0.2196	0.2811	0.1988	0.3301	0.2299	0.1736	0.2664	0.2925	0.2171	0.1954	0.2950	0.3462	0.1983	0.1624	0.2932	1.2684E-3	9.2207E-4	1.1965E-3	0.7468	5.166E-3	1.944	2.097	129.401
10000000	10.538	10.915	14.708	9.634	0.3194	8.4205E-2	0.6482	0.4189	0.5689	0.4816	1.3894	1.6056	0.3034	0.2294	0.2802	0.1870	0.3071	0.2416	0.1765	0.2748	0.2867	0.2070	0.2020	0.3043	0.3472	0.1896	0.1662	0.2970	1.3466E-3	1.0669E-3	1.2297E-3	0.8068	-9.7769E-3	3.232	1.998	126.269
11000000	9.679	11.761	14.770	10.322	0.2907	3.1884E-2	0.4738	0.3664	0.5094	0.5371	1.4279	1.5683	0.3039	0.2195	0.2852	0.1914	0.3133	0.2447	0.1689	0.2730	0.2938	0.2111	0.1908	0.3042	0.3480	0.1985	0.1579	0.2955	1.2807E-3	1.0058E-3	1.1762E-3	0.7818	-7.3402E-3	3.357	1.938	129.102
12000000	8.163	12.810	12.245	9.167	0.2822	5.825E-2	0.5583	0.4198	0.5684	0.5397	1.3863	1.5466	0.3083	0.2266	0.2695	0.1956	0.3076	0.2401	0.1675	0.2848	0.2931	0.2203	0.1954	0.2912	0.3549	0.1892	0.1616	0.2944	1.2351E-3	9.2355E-4	1.1731E-3	0.7320	-5.5277E-3	2.748	1.895	130.482
13000000	10.412	11.836	14.695	8.105	0.2526	6.6021E-2	0.5158	0.4004	0.5353	0.4756	1.4320	1.6024	0.2987	0.2181	0.2870	0.1962	0.2972	0.2514	0.1752	0.2762	0.2815	0.2015	0.2014	0.3156	0.3416	0.1942	0.1713	0.2928	1.2724E-3	9E-4	1.211E-3	0.7025	-1.3099E-2	1.940	1.927	129.008
14000000	8.770	12.129	14.174	7.599	0.1566	1.6375E-2	0.4485	0.4390	0.5233	0.5254	1.4251	1.5691	0.2987	0.2268	0.2777	0.1967	0.3157	0.2318	0.1718	0.2807	0.2971	0.2075	0.1909	0.3046	0.3422	0.2048	0.1586	0.2944	1.2338E-3	8.4066E-4	1.1867E-3	0.7002	-2.4736E-3	1.784	1.938	131.278
15000000	7.572	14.014	12.288	8.504	0.2994	2.4609E-2	0.5293	0.3666	0.5239	0.4953	1.3501	1.6820	0.2912	0.2288	0.2802	0.1997	0.3101	0.2464	0.1684	0.2751	0.2916	0.2121	0.1901	0.3063	0.3459	0.2013	0.1644	0.2884	1.313E-3	9.1876E-4	1.2624E-3	0.7122	3.7947E-2	1.813	1.899	127.805
16000000	8.971	11.655	10.406	7.735	0.1167	5.6064E-2	0.5402	0.3903	0.5239	0.5137	1.3925	1.6163	0.2987	0.2246	0.2765	0.2002	0.3132	0.2382	0.1743	0.2743	0.3000	0.2158	0.1922	0.2920	0.3518	0.1881	0.1643	0.2959	1.3135E-3	9.6882E-4	1.2146E-3	0.7261	-5.0013E-3	3.365	2.021	130.483
17000000	9.037	10.085	15.502	9.700	7.2432E-2	4.203E-2	0.6111	0.3948	0.5454	0.4942	1.4638	1.5371	0.3092	0.2201	0.2747	0.1959	0.3132	0.2478	0.1731	0.2659	0.2973	0.2206	0.1924	0.2897	0.3476	0.1942	0.1625	0.2957	1.209E-3	8.3691E-4	1.1436E-3	0.6754	1.6053E-2	2.501	2.072	133.891
