state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.377	12.887	13.267	7.736	0.1406	4.8585E-2	0.4993	0.3255	0.5535	0.5105	1.3557	1.6275	0.2988	0.2262	0.2800	0.1950	0.3249	0.2302	0.1667	0.2781	0.2928	0.2183	0.1855	0.3034	0.3386	0.1910	0.1566	0.3138	1.2415E-3	9.482E-4	1.1963E-3	0.7534	-1.4095E-2	2.653	1.978	126.633
2000000	11.410	13.056	16.151	7.695	9.888E-2	0.1207	0.6915	0.3522	0.5273	0.5525	1.3833	1.5806	0.3078	0.2276	0.2685	0.1961	0.3082	0.2436	0.1748	0.2733	0.2851	0.2152	0.1959	0.3038	0.3538	0.1907	0.1522	0.3033	1.3791E-3	1.0494E-3	1.2434E-3	0.7515	1.7456E-2	2.473	1.947	126.725
3000000	8.986	13.318	12.871	8.347	0.3164	5.551E-2	0.7331	0.3766	0.5348	0.5230	1.4126	1.5725	0.2919	0.2322	0.2782	0.1977	0.3083	0.2571	0.1723	0.2622	0.2981	0.2144	0.1892	0.2982	0.3521	0.1911	0.1727	0.2841	1.2532E-3	8.6661E-4	1.2037E-3	0.7139	-1.1355E-2	2.046	1.882	124.920
4000000	7.685	12.656	16.419	8.592	0.1650	3.9319E-3	0.5366	0.3829	0.5968	0.5098	1.4281	1.5031	0.3027	0.2280	0.2729	0.1965	0.3252	0.2259	0.1730	0.2759	0.2999	0.2133	0.1914	0.2954	0.3537	0.1904	0.1582	0.2977	1.2606E-3	9.1526E-4	1.1582E-3	0.7161	1.8649E-2	3.217	1.979	127.166
5000000	9.664	13.407	11.764	8.858	0.1605	7.2969E-2	0.6076	0.3249	0.4931	0.5011	1.4320	1.6205	0.3005	0.2274	0.2797	0.1924	0.3194	0.2472	0.1604	0.2730	0.2906	0.2190	0.1892	0.3012	0.3494	0.1922	0.1545	0.3038	1.2678E-3	8.4296E-4	1.2136E-3	0.6766	6.5791E-3	2.143	1.896	126.064
6000000	8.997	10.984	15.347	8.374	0.1604	0.1193	0.5964	0.4146	0.4814	0.5154	1.3497	1.7067	0.2970	0.2302	0.2742	0.1986	0.3178	0.2322	0.1698	0.2803	0.2945	0.2130	0.1871	0.3054	0.3421	0.2002	0.1568	0.3008	1.2181E-3	8.573E-4	1.1675E-3	0.6970	1.2804E-2	4.350	2.061	135.532
7000000	8.205	12.672	16.646	8.295	0.3403	0.1460	0.5851	0.3515	0.5165	0.5131	1.4044	1.6120	0.3012	0.2301	0.2661	0.2027	0.3097	0.2443	0.1743	0.2717	0.2962	0.2252	0.1865	0.2921	0.3486	0.1947	0.1554	0.3013	1.2389E-3	8.9917E-4	1.1966E-3	0.7021	1.7676E-2	4.072	1.978	127.887
8000000	10.450	13.299	11.983	8.426	0.2321	4.0823E-2	0.7152	0.4153	0.5407	0.4760	1.4826	1.5415	0.3017	0.2188	0.2920	0.1876	0.3131	0.2483	0.1729	0.2656	0.2923	0.2240	0.1955	0.2882	0.3408	0.1972	0.1637	0.2983	1.2061E-3	8.4447E-4	1.1435E-3	0.6861	-3.4189E-3	1.832	1.916	131.315
9000000	9.984	16.288	13.574	9.234	0.3496	0.1110	0.6330	0.3516	0.5255	0.4905	1.4314	1.5976	0.2939	0.2396	0.2689	0.1976	0.3063	0.2358	0.1771	0.2809	0.3012	0.2075	0.1883	0.3030	0.3526	0.1800	0.1616	0.3058	1.2436E-3	9.5341E-4	1.1467E-3	0.7393	1.315E-2	2.596	2.135	137.080
10000000	7.175	12.212	14.395	7.538	0.1675	5.0954E-2	0.6843	0.4210	0.5237	0.5067	1.4302	1.5832	0.3083	0.2360	0.2636	0.1921	0.3132	0.2352	0.1634	0.2882	0.2826	0.2184	0.1926	0.3064	0.3529	0.1991	0.1584	0.2896	1.2533E-3	9.0715E-4	1.1901E-3	0.7008	8.1599E-3	1.596	1.967	132.294
11000000	10.894	15.769	14.632	9.582	0.1981	1.7562E-2	0.6074	0.4333	0.5058	0.4497	1.4795	1.6109	0.2925	0.2321	0.2832	0.1922	0.3152	0.2354	0.1757	0.2737	0.2906	0.2216	0.1875	0.3003	0.3471	0.1913	0.1576	0.3040	1.2527E-3	1.0328E-3	1.1634E-3	0.8324	8.5606E-3	2.343	1.986	129.089
