state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	10.571	12.061	11.799	10.195	0.1839	4.6376E-2	0.5260	0.3254	0.4903	0.5201	1.3488	1.6928	0.3197	0.2225	0.2718	0.1859	0.3200	0.2269	0.1752	0.2779	0.2897	0.2085	0.1930	0.3088	0.3505	0.1886	0.1613	0.2997	1.2308E-3	9.8308E-4	1.1617E-3	0.7713	-4.4064E-3	2.662	1.925	131.050
2000000	8.935	10.499	13.697	9.658	0.2097	6.5867E-2	0.5651	0.3115	0.5326	0.5140	1.4513	1.5430	0.3012	0.2335	0.2688	0.1965	0.3179	0.2390	0.1771	0.2660	0.2839	0.2153	0.2033	0.2974	0.3312	0.2014	0.1618	0.3055	1.2249E-3	8.1801E-4	1.1645E-3	0.6554	2.0412E-2	1.569	1.899	130.624
3000000	9.566	13.400	12.802	9.378	0.2444	4.1481E-2	0.6598	0.3524	0.5453	0.4760	1.5138	1.5027	0.2977	0.2389	0.2744	0.1891	0.3075	0.2479	0.1654	0.2792	0.3010	0.2108	0.1941	0.2940	0.3464	0.1973	0.1605	0.2958	1.2627E-3	8.5181E-4	1.2136E-3	0.6745	2.0027E-2	2.448	2.020	129.833
4000000	8.513	11.660	14.905	8.970	0.1664	3.7823E-2	0.4739	0.3651	0.5117	0.5028	1.4390	1.5909	0.2936	0.2293	0.2792	0.1979	0.3058	0.2405	0.1857	0.2681	0.2975	0.2116	0.1930	0.2978	0.3481	0.1883	0.1643	0.2993	1.2675E-3	9.1258E-4	1.2232E-3	0.7188	1.2261E-3	1.096	1.853	125.315
5000000	10.506	12.164	13.772	8.136	0.1732	4.1152E-2	0.5612	0.3405	0.4917	0.4548	1.4577	1.6443	0.2987	0.2350	0.2750	0.1912	0.3110	0.2453	0.1667	0.2770	0.2845	0.2196	0.2053	0.2906	0.3415	0.1997	0.1575	0.3013	1.2167E-3	8.413E-4	1.1574E-3	0.6968	-2.5306E-3	2.126	1.983	133.269
6000000	10.604	13.031	13.272	8.189	0.3143	8.6768E-2	0.5367	0.4829	0.4916	0.5175	1.3427	1.7010	0.3003	0.2272	0.2784	0.1941	0.3206	0.2396	0.1659	0.2739	0.2859	0.2259	0.1951	0.2931	0.3368	0.1947	0.1648	0.3037	1.2927E-3	9.3862E-4	1.1961E-3	0.7225	3.5574E-2	3.632	1.907	132.750
7000000	11.792	13.125	12.825	8.702	0.2198	2.7083E-2	0.6964	0.4179	0.5034	0.5503	1.4421	1.5453	0.3043	0.2259	0.2797	0.1902	0.3186	0.2407	0.1618	0.2789	0.2871	0.2217	0.1940	0.2972	0.3427	0.1920	0.1665	0.2988	1.2052E-3	7.9405E-4	1.1969E-3	0.6822	6.2426E-4	1.266	1.972	132.880
8000000	7.786	9.771	16.351	10.059	0.2170	3.5627E-2	0.6305	0.2826	0.5625	0.4929	1.4082	1.5800	0.2978	0.2255	0.2744	0.2023	0.3322	0.2311	0.1722	0.2646	0.2956	0.2146	0.1896	0.3002	0.3427	0.2031	0.1646	0.2896	1.2348E-3	8.5942E-4	1.1778E-3	0.7096	5.345E-2	1.504	1.932	131.059
9000000	7.683	10.565	12.971	8.764	0.2017	2.9801E-2	0.5224	0.3419	0.5575	0.4879	1.4321	1.5650	0.3067	0.2260	0.2728	0.1945	0.3165	0.2370	0.1686	0.2779	0.2939	0.2147	0.1890	0.3024	0.3502	0.1971	0.1552	0.2974	1.2468E-3	9.6137E-4	1.1688E-3	0.7703	-1.6071E-2	2.675	2.025	129.750
10000000	8.625	15.265	12.045	7.404	2.3669E-2	2.4348E-2	0.5188	0.3212	0.5440	0.4872	1.4510	1.5599	0.3024	0.2233	0.2748	0.1995	0.3142	0.2426	0.1714	0.2718	0.2936	0.2180	0.1892	0.2991	0.3534	0.1869	0.1617	0.2980	1.3193E-3	9.8949E-4	1.2293E-3	0.7585	2.3105E-3	4.910	1.962	125.024
