state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	10.373	10.700	10.955	7.951	0.3096	3.303E-2	0.6170	0.3371	0.5275	0.4635	1.4275	1.6289	0.3101	0.2334	0.2657	0.1909	0.3120	0.2390	0.1733	0.2758	0.2890	0.2101	0.2022	0.2987	0.3445	0.1973	0.1572	0.3009	1.2271E-3	8.3028E-4	1.2012E-3	0.6888	2.5736E-2	1.683	1.989	128.889
2000000	9.112	14.507	14.425	8.633	0.1159	2.2912E-2	0.5175	0.2855	0.5342	0.5110	1.3934	1.6070	0.3048	0.2291	0.2748	0.1913	0.3188	0.2372	0.1641	0.2799	0.2975	0.2196	0.1880	0.2949	0.3419	0.1889	0.1634	0.3058	1.2884E-3	9.7222E-4	1.199E-3	0.7691	2.2686E-2	1.617	1.934	129.719
3000000	9.767	13.212	13.163	9.257	0.1729	3.5902E-2	0.5039	0.3214	0.5055	0.5492	1.4154	1.5730	0.2849	0.2328	0.2863	0.1959	0.3212	0.2393	0.1616	0.2779	0.2970	0.2190	0.1962	0.2877	0.3481	0.1945	0.1717	0.2856	1.2051E-3	8.9003E-4	1.1554E-3	0.7608	3.5329E-3	2.041	2.022	132.397
4000000	8.742	10.403	13.977	8.368	7.8522E-2	8.9E-2	0.6536	0.4405	0.5654	0.5031	1.3869	1.5889	0.3149	0.2217	0.2681	0.1952	0.3078	0.2378	0.1768	0.2776	0.2878	0.2043	0.1869	0.3210	0.3361	0.1946	0.1626	0.3068	1.193E-3	7.9135E-4	1.165E-3	0.6780	3.185E-3	1.042	2.011	132.392
5000000	8.708	12.899	11.780	8.603	0.1053	4.1401E-2	0.6252	0.4133	0.5210	0.5061	1.4167	1.6015	0.3084	0.2155	0.2732	0.2029	0.3113	0.2409	0.1711	0.2767	0.2871	0.2173	0.1869	0.3087	0.3331	0.2030	0.1544	0.3095	1.2627E-3	8.925E-4	1.2188E-3	0.7348	-2.2998E-2	3.196	1.914	128.071
6000000	10.434	10.698	14.305	8.672	0.1681	7.8539E-3	0.5318	0.3540	0.5443	0.5003	1.3948	1.6061	0.3012	0.2219	0.2726	0.2042	0.3180	0.2440	0.1728	0.2653	0.2938	0.2087	0.1947	0.3028	0.3516	0.1851	0.1676	0.2958	1.2107E-3	8.3192E-4	1.1864E-3	0.7139	-5.738E-3	2.955	1.908	128.070
7000000	8.225	14.093	15.043	7.774	0.2622	1.2854E-2	0.6178	0.4561	0.4970	0.4905	1.3681	1.6968	0.2917	0.2348	0.2808	0.1928	0.3248	0.2256	0.1721	0.2776	0.2893	0.2139	0.1979	0.2989	0.3557	0.1915	0.1568	0.2960	1.2766E-3	9.0672E-4	1.2128E-3	0.7272	-8.7725E-4	2.797	1.877	128.645
8000000	9.360	11.437	11.422	8.795	0.1637	7.9062E-2	0.6634	0.3996	0.5310	0.4660	1.4492	1.5988	0.2981	0.2236	0.2773	0.2010	0.3275	0.2387	0.1692	0.2646	0.2954	0.2155	0.1945	0.2945	0.3414	0.1953	0.1548	0.3085	1.1726E-3	9.2943E-4	1.138E-3	0.8176	1.7456E-2	2.245	1.979	130.710
9000000	7.104	13.660	12.605	9.001	0.1139	5.9325E-2	0.7329	0.3378	0.5099	0.5103	1.3936	1.6338	0.3100	0.2171	0.2902	0.1827	0.3074	0.2478	0.1656	0.2792	0.2856	0.2129	0.1948	0.3067	0.3563	0.1873	0.1598	0.2967	1.2014E-3	8.6113E-4	1.1502E-3	0.7337	1.9476E-3	2.621	1.974	130.438
10000000	8.976	15.707	13.382	9.643	0.3166	8.2327E-3	0.5780	0.3386	0.5204	0.5174	1.3961	1.6121	0.2937	0.2301	0.2922	0.1839	0.3134	0.2377	0.1712	0.2778	0.2840	0.2132	0.1977	0.3051	0.3524	0.1784	0.1656	0.3036	1.176E-3	7.5875E-4	1.1537E-3	0.6613	1.5366E-2	2.918	2.013	130.162
