state	posterior	prior	likelihood	skygrid
785000000	-85198.101	-29567.771	-55630.330	-3567.157
786000000	-85322.077	-29727.865	-55594.213	-3729.168
787000000	-85252.904	-29608.351	-55644.553	-3609.454
788000000	-85323.332	-29643.926	-55679.406	-3645.127
789000000	-85162.232	-29613.059	-55549.173	-3613.673
790000000	-85272.345	-29632.758	-55639.587	-3633.383
791000000	-85361.002	-29714.666	-55646.336	-3715.226
792000000	-85273.599	-29658.902	-55614.697	-3658.822
793000000	-85407.249	-29791.722	-55615.527	-3791.477
794000000	-85376.495	-29759.482	-55617.013	-3759.514
795000000	-85416.248	-29726.881	-55689.367	-3726.773
796000000	-85301.528	-29648.470	-55653.058	-3649.102
797000000	-85292.315	-29654.884	-55637.431	-3654.457
798000000	-85293.678	-29692.231	-55601.446	-3692.096
799000000	-85478.474	-29884.411	-55594.062	-3885.100
800000000	-85444.250	-29739.604	-55704.646	-3740.611
