pers0.025	pers0.05	pers0.1	pers0.2
run01	-32185.962	-32185.988	-32187.47	-32186.738
run02	-32185.797	-32185.767	-32186.17	-32185.965
run03	-32186.27	-32186.058	-32185.9501267341	-32186.16
run04	-32186.406	-32186.068	-32186.418	-32186.087
run05	-32186.125	-32185.771	-32186.048	-32186.443
