state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	4.846	8.884	0.3748	0.1775	0.2185	0.2292	0.3701	0.2113	0.1770	0.2417	0.6153	1.7694	4.9894E-3	15.581	19.838	1238.857
2000000	4.664	8.740	0.3809	0.1963	0.2086	0.2142	0.3708	0.2183	0.1673	0.2436	0.6370	1.7259	5.0043E-3	14.598	17.535	1190.017
3000000	4.615	8.342	0.3835	0.1796	0.2157	0.2213	0.3598	0.2155	0.1690	0.2557	0.6368	1.7264	5.0102E-3	15.044	18.521	1213.755
4000000	4.937	8.964	0.3813	0.1856	0.2056	0.2275	0.3622	0.2162	0.1745	0.2472	0.6167	1.7666	5.1314E-3	15.141	18.791	1197.104
5000000	4.928	8.655	0.3775	0.1853	0.2149	0.2223	0.3700	0.2179	0.1656	0.2465	0.6321	1.7357	4.9192E-3	15.439	18.896	1228.793
6000000	4.820	8.419	0.3817	0.1850	0.2122	0.2212	0.3556	0.2145	0.1814	0.2485	0.6368	1.7264	4.9548E-3	15.238	18.904	1221.629
7000000	4.678	8.310	0.3769	0.1833	0.2107	0.2292	0.3658	0.2163	0.1716	0.2463	0.6336	1.7327	5.1024E-3	14.482	18.708	1181.497
8000000	4.753	8.637	0.3886	0.1715	0.2046	0.2353	0.3706	0.2153	0.1695	0.2447	0.6202	1.7597	5.0179E-3	14.543	18.074	1198.067
9000000	5.086	8.909	0.3789	0.1835	0.2075	0.2301	0.3645	0.2119	0.1717	0.2520	0.6332	1.7337	5.1057E-3	14.847	18.570	1195.983
10000000	4.684	8.332	0.3793	0.1736	0.2147	0.2323	0.3674	0.2094	0.1728	0.2504	0.6303	1.7393	4.9712E-3	14.801	18.853	1231.427
11000000	4.943	8.480	0.3714	0.1761	0.2182	0.2344	0.3688	0.2141	0.1719	0.2452	0.6392	1.7215	5.0875E-3	15.446	17.948	1202.888
12000000	4.674	8.547	0.3737	0.1758	0.2152	0.2352	0.3619	0.2192	0.1678	0.2511	0.6341	1.7317	5.0416E-3	15.363	16.698	1202.189
13000000	4.821	8.285	0.3871	0.1732	0.2189	0.2209	0.3652	0.2186	0.1730	0.2432	0.6298	1.7404	5.0672E-3	15.200	17.946	1209.925
14000000	4.870	8.382	0.3952	0.1711	0.2124	0.2213	0.3597	0.2143	0.1775	0.2485	0.6276	1.7449	5.0257E-3	15.574	18.578	1219.060
15000000	4.601	8.480	0.3799	0.1828	0.2192	0.2181	0.3610	0.2098	0.1726	0.2567	0.6368	1.7264	4.8845E-3	16.004	18.599	1234.330
16000000	4.568	8.711	0.3784	0.1894	0.2109	0.2213	0.3663	0.2070	0.1720	0.2547	0.6358	1.7284	4.9301E-3	15.575	18.663	1224.871
17000000	4.858	8.235	0.3848	0.1907	0.2096	0.2149	0.3452	0.2146	0.1748	0.2654	0.6344	1.7312	5.0343E-3	14.455	18.718	1189.471
18000000	4.779	8.662	0.3825	0.1828	0.2183	0.2164	0.3711	0.2184	0.1746	0.2359	0.6253	1.7494	5.0015E-3	14.701	18.542	1209.508
19000000	4.806	8.850	0.3776	0.1807	0.2125	0.2291	0.3816	0.2150	0.1729	0.2306	0.6335	1.7329	4.986E-3	14.746	17.891	1204.178
20000000	4.935	8.583	0.3858	0.1857	0.2083	0.2202	0.3496	0.2257	0.1778	0.2469	0.6270	1.7460	5.0857E-3	14.678	19.589	1201.349
21000000	4.866	8.648	0.3967	0.1779	0.2089	0.2165	0.3624	0.2152	0.1774	0.2449	0.6218	1.7563	5.0273E-3	15.270	18.871	1206.339
22000000	4.892	8.656	0.3818	0.1871	0.2134	0.2178	0.3845	0.2140	0.1707	0.2307	0.6354	1.7292	5.1046E-3	14.050	17.537	1177.052
23000000	5.066	9.363	0.3914	0.1885	0.2062	0.2140	0.3647	0.2100	0.1711	0.2541	0.6227	1.7546	5.1986E-3	14.530	19.699	1191.459
24000000	4.827	9.079	0.3844	0.1867	0.2119	0.2170	0.3680	0.2136	0.1745	0.2438	0.6310	1.7380	5.0244E-3	14.800	19.530	1205.245
25000000	4.795	8.630	0.3743	0.1773	0.2175	0.2309	0.3539	0.2161	0.1757	0.2543	0.6269	1.7462	4.9699E-3	15.181	18.343	1218.634
26000000	4.947	8.497	0.3872	0.1864	0.1949	0.2314	0.3656	0.2071	0.1744	0.2529	0.6415	1.7170	5.1081E-3	14.876	20.359	1201.943
27000000	4.592	9.096	0.3884	0.1787	0.2142	0.2188	0.3623	0.2145	0.1753	0.2479	0.6231	1.7537	4.9753E-3	15.469	18.735	1225.743
