state	posterior	prior	likelihood	coalescent
1000000	-86741.998	-15072.108	-71669.890	-15058.920
2000000	-86512.955	-14860.360	-71652.595	-14847.370
3000000	-86576.994	-14909.971	-71667.024	-14896.690
4000000	-86649.012	-14906.316	-71742.696	-14893.270
5000000	-86521.512	-14837.937	-71683.575	-14824.870
6000000	-86436.271	-14790.263	-71646.008	-14777.159
7000000	-86393.517	-14846.820	-71546.697	-14833.841
8000000	-86590.408	-14878.783	-71711.625	-14865.732
9000000	-86556.927	-14850.759	-71706.168	-14837.680
10000000	-86508.207	-14811.056	-71697.150	-14798.375
11000000	-86479.039	-14786.688	-71692.351	-14773.441
12000000	-86501.395	-14849.088	-71652.307	-14836.085
13000000	-86571.102	-14769.655	-71801.447	-14756.597
14000000	-86631.632	-14905.007	-71726.625	-14892.014
15000000	-86501.336	-14873.673	-71627.663	-14860.653
16000000	-86461.100	-14757.868	-71703.232	-14744.891
17000000	-86496.186	-14786.462	-71709.724	-14773.520
18000000	-86548.242	-14825.497	-71722.745	-14812.469
19000000	-86377.174	-14754.390	-71622.785	-14741.433
20000000	-86458.251	-14815.941	-71642.309	-14802.802
21000000	-86474.354	-14857.562	-71616.791	-14844.386
22000000	-86578.985	-14924.792	-71654.193	-14911.598
23000000	-86463.999	-14796.969	-71667.030	-14784.100
24000000	-86486.303	-14827.314	-71658.989	-14814.250
25000000	-86499.778	-14813.506	-71686.272	-14800.389
26000000	-86543.143	-14826.390	-71716.753	-14813.472
27000000	-86554.272	-14955.849	-71598.423	-14942.697
28000000	-86514.036	-14852.412	-71661.624	-14839.460
29000000	-86557.080	-14939.014	-71618.066	-14925.868
30000000	-86657.025	-15011.571	-71645.454	-14998.296
31000000	-86637.288	-14960.376	-71676.912	-14947.318
32000000	-86584.816	-14928.480	-71656.336	-14915.488
33000000	-86497.837	-14861.204	-71636.633	-14848.096
34000000	-86526.369	-14844.306	-71682.063	-14831.299
35000000	-86522.564	-14828.902	-71693.662	-14815.860
36000000	-86602.126	-14931.099	-71671.027	-14917.996
37000000	-86498.504	-14893.379	-71605.124	-14880.331
38000000	-86474.071	-14818.320	-71655.751	-14805.237
39000000	-86576.903	-14890.705	-71686.198	-14877.733
40000000	-86671.523	-15024.189	-71647.334	-15011.084
41000000	-86525.165	-14899.102	-71626.063	-14886.254
42000000	-86573.114	-14916.607	-71656.507	-14903.476
43000000	-86359.644	-14716.862	-71642.783	-14703.884
44000000	-86458.030	-14950.154	-71507.876	-14937.233
45000000	-86391.672	-14727.455	-71664.217	-14714.621
46000000	-86349.594	-14738.477	-71611.117	-14725.345
47000000	-86499.002	-14952.422	-71546.580	-14939.259
48000000	-86702.003	-15054.770	-71647.234	-15041.783
49000000	-86510.520	-14847.241	-71663.279	-14834.238
50000000	-86397.134	-14738.385	-71658.749	-14725.414
51000000	-86469.676	-14839.829	-71629.847	-14826.590
52000000	-86514.633	-14925.292	-71589.341	-14912.303
53000000	-86570.775	-14967.022	-71603.753	-14953.897
54000000	-86632.788	-15090.303	-71542.485	-15076.983
55000000	-86607.995	-14965.565	-71642.429	-14952.559
56000000	-86628.769	-15009.403	-71619.366	-14996.313
57000000	-86378.057	-14848.815	-71529.241	-14835.830
58000000	-86495.170	-14838.316	-71656.855	-14825.420
59000000	-86501.367	-14968.517	-71532.849	-14955.411
60000000	-86464.576	-14841.291	-71623.285	-14828.116
61000000	-86539.015	-14856.268	-71682.747	-14843.118
62000000	-86547.293	-14859.548	-71687.745	-14846.178
63000000	-86595.462	-14867.619	-71727.843	-14854.445
64000000	-86560.800	-14953.225	-71607.576	-14940.180
65000000	-86647.752	-15007.383	-71640.369	-14994.320
66000000	-86581.242	-14990.928	-71590.314	-14977.826
67000000	-86558.782	-14925.404	-71633.378	-14912.425
68000000	-86436.556	-14919.443	-71517.113	-14906.440
69000000	-86473.623	-14927.318	-71546.306	-14914.255
70000000	-86462.787	-14843.170	-71619.617	-14830.000
71000000	-86517.464	-14871.254	-71646.210	-14858.116
72000000	-86801.009	-15178.483	-71622.527	-15165.465
73000000	-86864.221	-15182.548	-71681.673	-15169.454
74000000	-86778.657	-15127.981	-71650.676	-15114.974
75000000	-86774.586	-15139.635	-71634.951	-15126.539
76000000	-86779.069	-15070.481	-71708.587	-15057.423
77000000	-86577.030	-14949.835	-71627.195	-14936.878
78000000	-86653.585	-14978.226	-71675.359	-14965.314
79000000	-86607.943	-14898.474	-71709.469	-14885.290
80000000	-86537.769	-14942.665	-71595.104	-14929.587
81000000	-86416.184	-14717.519	-71698.665	-14704.582
82000000	-86323.642	-14634.718	-71688.923	-14621.710
83000000	-86555.424	-14819.660	-71735.764	-14806.542
84000000	-86524.468	-14915.582	-71608.886	-14902.633
85000000	-86577.071	-14947.082	-71629.989	-14933.871
86000000	-86689.933	-15005.197	-71684.736	-14992.205
87000000	-86598.938	-14967.662	-71631.276	-14954.595
88000000	-86525.821	-14896.266	-71629.555	-14883.089
89000000	-86545.242	-14978.765	-71566.477	-14965.869
90000000	-86441.026	-14897.572	-71543.453	-14884.510
91000000	-86424.136	-14910.643	-71513.493	-14897.606
92000000	-86355.680	-14836.941	-71518.739	-14823.934
93000000	-86435.322	-14892.605	-71542.717	-14879.452
94000000	-86572.553	-14958.396	-71614.158	-14945.608
95000000	-86451.899	-14915.244	-71536.655	-14902.206
96000000	-86469.705	-14873.701	-71596.005	-14860.574
97000000	-86505.388	-14993.111	-71512.278	-14980.217
98000000	-86464.000	-14897.489	-71566.510	-14884.167
99000000	-86423.899	-14787.959	-71635.940	-14775.084
100000000	-86658.700	-15084.248	-71574.452	-15071.111
101000000	-86567.352	-14972.115	-71595.237	-14959.032
102000000	-86585.038	-14986.953	-71598.085	-14973.810
103000000	-86559.402	-15072.493	-71486.909	-15059.431
104000000	-86630.050	-15030.385	-71599.665	-15017.351
105000000	-86578.990	-14967.743	-71611.247	-14954.692
106000000	-86615.787	-15080.820	-71534.967	-15067.658
107000000	-86523.464	-14952.186	-71571.277	-14939.271
108000000	-86444.012	-14818.485	-71625.527	-14805.525
109000000	-86292.726	-14642.283	-71650.443	-14629.266
110000000	-86479.595	-14862.614	-71616.981	-14849.629
111000000	-86495.551	-14811.928	-71683.623	-14799.147
112000000	-86519.273	-14966.114	-71553.159	-14953.123
113000000	-86512.519	-14961.196	-71551.323	-14948.125
114000000	-86680.063	-14991.839	-71688.224	-14978.738
115000000	-86414.617	-14814.675	-71599.942	-14801.668
116000000	-86470.560	-14816.002	-71654.559	-14803.079
117000000	-86658.732	-15070.306	-71588.426	-15057.518
118000000	-86560.160	-14902.313	-71657.848	-14889.179
119000000	-86480.236	-14809.523	-71670.713	-14796.597
120000000	-86543.958	-14871.225	-71672.733	-14857.797
121000000	-86544.227	-14799.288	-71744.940	-14786.175
122000000	-86413.987	-14679.758	-71734.229	-14666.801
123000000	-86497.332	-14829.520	-71667.812	-14816.247
124000000	-86465.561	-14771.070	-71694.491	-14758.110
125000000	-86535.982	-14928.578	-71607.404	-14915.548
126000000	-86360.020	-14771.843	-71588.176	-14758.786
127000000	-86467.111	-14781.780	-71685.331	-14768.719
128000000	-86525.457	-14901.588	-71623.868	-14888.592
129000000	-86695.594	-15049.795	-71645.800	-15036.844
130000000	-86586.006	-14984.155	-71601.851	-14971.407
131000000	-86467.504	-14931.196	-71536.308	-14918.272
132000000	-86600.383	-14966.977	-71633.406	-14954.041
133000000	-86573.351	-14929.230	-71644.121	-14916.104
134000000	-86448.231	-14911.592	-71536.639	-14898.810
135000000	-86419.387	-14931.723	-71487.663	-14918.638
136000000	-86454.531	-14895.474	-71559.058	-14882.473
137000000	-86462.082	-14846.081	-71616.000	-14832.945
138000000	-86481.731	-14850.030	-71631.701	-14837.091
139000000	-86553.873	-14926.739	-71627.134	-14913.525
140000000	-86483.844	-14884.188	-71599.655	-14871.252
141000000	-86716.637	-15063.393	-71653.244	-15050.222
142000000	-86641.955	-15001.577	-71640.378	-14988.421
143000000	-86492.624	-14971.874	-71520.750	-14958.992
144000000	-86582.181	-15022.904	-71559.277	-15009.722
145000000	-86769.814	-15184.905	-71584.908	-15172.037
146000000	-86597.816	-14970.088	-71627.728	-14957.031
147000000	-86612.280	-15043.964	-71568.316	-15030.895
148000000	-86602.963	-14978.193	-71624.771	-14964.913
149000000	-86501.390	-14853.069	-71648.321	-14840.207
150000000	-86536.461	-14942.502	-71593.959	-14929.564
151000000	-86543.866	-14971.963	-71571.903	-14958.960
152000000	-86653.740	-15063.289	-71590.451	-15050.113
153000000	-86597.845	-14952.421	-71645.424	-14939.274
154000000	-86575.883	-14994.343	-71581.540	-14981.558
155000000	-86617.343	-14931.226	-71686.116	-14918.048
156000000	-86396.015	-14769.726	-71626.290	-14756.814
157000000	-86506.069	-14953.854	-71552.215	-14940.868
158000000	-86503.692	-14825.408	-71678.284	-14812.251
159000000	-86599.532	-14948.449	-71651.083	-14935.518
160000000	-86585.322	-14976.933	-71608.389	-14963.865
161000000	-86455.415	-14754.989	-71700.426	-14742.060
162000000	-86459.716	-14780.512	-71679.204	-14767.566
163000000	-86465.929	-14909.397	-71556.532	-14896.282
164000000	-86576.922	-14852.276	-71724.646	-14839.306
165000000	-86493.122	-14837.731	-71655.391	-14824.708
166000000	-86564.508	-14962.402	-71602.105	-14949.283
167000000	-86698.122	-15034.114	-71664.008	-15020.956
168000000	-86465.540	-14891.637	-71573.903	-14878.492
169000000	-86613.079	-14972.644	-71640.435	-14959.777
170000000	-86519.271	-14798.828	-71720.443	-14785.881
171000000	-86619.774	-14965.367	-71654.406	-14952.365
172000000	-86773.770	-15104.859	-71668.911	-15091.820
173000000	-86702.048	-15027.168	-71674.880	-15014.031
174000000	-86715.467	-15035.453	-71680.014	-15022.433
175000000	-86552.708	-14858.838	-71693.870	-14846.074
176000000	-86623.005	-14933.362	-71689.643	-14920.432
177000000	-86553.905	-14959.145	-71594.760	-14946.219
178000000	-86595.971	-14984.680	-71611.291	-14971.496
179000000	-86400.953	-14839.267	-71561.687	-14826.283
180000000	-86521.551	-14924.293	-71597.258	-14911.275
181000000	-86427.357	-14755.281	-71672.076	-14742.249
182000000	-86479.666	-14879.477	-71600.189	-14866.428
183000000	-86422.818	-14787.487	-71635.331	-14774.660
184000000	-86574.298	-14899.581	-71674.716	-14886.565
185000000	-86606.347	-14978.963	-71627.384	-14965.856
186000000	-86471.016	-14776.458	-71694.558	-14763.737
187000000	-86434.257	-14823.960	-71610.297	-14810.983
188000000	-86627.520	-14981.490	-71646.030	-14968.331
189000000	-86778.082	-15024.608	-71753.473	-15011.609
190000000	-86672.092	-14967.201	-71704.891	-14954.004
191000000	-86642.300	-14980.581	-71661.719	-14967.472
192000000	-86594.860	-14962.843	-71632.017	-14949.848
193000000	-86644.341	-15059.123	-71585.218	-15046.148
194000000	-86736.402	-15088.119	-71648.284	-15075.053
195000000	-86749.488	-15106.205	-71643.282	-15093.132
196000000	-86696.058	-14971.320	-71724.738	-14958.242
197000000	-86483.672	-14790.938	-71692.733	-14777.967
198000000	-86583.066	-15040.090	-71542.976	-15026.900
199000000	-86606.618	-14940.931	-71665.686	-14927.989
200000000	-86559.973	-14959.566	-71600.407	-14946.632
