state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	3.816	4.740	4.053	4.073	3.996	2.967	2.125	3.230	3.332	3.185	2.622	3.483	3.465	4.554	4.201	3.476	1.682	-2.085	-3.545	-0.925
2000000	4.063	5.132	3.819	3.895	4.112	2.968	2.118	3.090	2.928	3.656	2.415	3.235	4.396	4.100	4.108	3.200	1.677	-1.897	-1.738	-3.079
3000000	3.443	5.659	3.875	4.185	3.662	3.325	1.979	3.092	3.231	3.127	2.670	3.066	4.011	4.025	4.392	3.403	1.539	-1.961	-4.105	-4.825
4000000	3.433	6.974	3.849	4.054	3.873	2.883	2.116	3.274	3.213	3.630	2.630	3.140	4.412	3.958	4.204	3.532	1.351	-1.879	-0.597	-3.026
5000000	3.472	5.841	3.641	4.482	3.677	3.129	2.080	3.112	3.202	3.986	2.608	3.667	3.764	4.248	4.552	3.544	1.548	-2.380	-2.745	-2.557
6000000	3.557	5.236	3.744	4.726	3.506	3.527	2.046	3.211	3.083	3.905	2.762	3.375	3.913	3.896	4.412	4.834	1.484	-2.919	-3.028	-2.341
7000000	3.662	6.169	3.770	4.353	4.293	3.044	2.042	3.237	3.238	3.460	2.649	3.326	3.997	3.835	4.491	4.274	1.611	-2.786	-2.161	-3.188
8000000	3.788	6.145	3.582	4.116	4.066	2.827	2.307	3.022	3.451	3.269	2.716	3.387	4.625	4.234	4.705	3.677	1.811	-1.989	-2.835	-3.372
9000000	3.938	5.382	3.776	3.936	4.123	2.829	2.455	2.923	3.295	3.320	2.469	3.481	4.014	4.507	4.442	3.474	1.608	-1.669	-4.049	-3.354
10000000	3.436	5.483	4.013	3.975	3.445	2.908	2.372	3.283	3.287	2.947	2.968	3.383	3.982	4.204	4.530	3.535	1.670	-1.176	-2.437	-3.041
11000000	3.678	6.250	3.738	4.302	3.706	3.002	2.375	3.137	3.165	3.607	2.821	3.113	3.854	4.161	4.408	3.636	1.507	-1.538	-3.005	-2.462
12000000	4.030	5.070	3.818	4.977	3.474	3.204	2.146	3.149	3.266	3.745	2.845	3.221	3.907	4.772	4.456	3.609	1.575	-1.950	-3.073	-3.553
13000000	4.337	4.483	4.255	4.334	3.741	3.079	2.234	3.155	3.124	3.389	2.656	3.418	4.066	4.571	4.492	3.695	1.280	-1.912	-2.910	-2.189
14000000	3.626	5.696	3.720	4.616	3.631	2.984	2.222	3.175	3.407	3.513	2.814	3.361	3.638	4.798	4.175	4.056	1.098	-2.146	-1.008	-4.641
15000000	4.219	4.861	3.769	4.459	3.666	2.873	2.245	3.246	3.236	3.604	2.497	3.210	4.115	3.780	4.617	3.584	0.923	-1.760	-2.252	-0.603
16000000	3.288	6.051	4.020	4.112	3.756	3.111	2.007	3.623	3.086	3.255	2.650	3.246	3.517	4.466	4.960	3.429	0.970	-1.883	-3.028	-4.059
17000000	3.308	5.086	3.853	4.511	3.634	2.918	2.247	2.921	3.087	3.359	2.733	3.366	4.104	4.342	4.053	3.526	1.120	-2.104	-1.118	-2.913
18000000	3.468	5.387	3.923	4.159	3.385	3.469	2.126	3.265	3.110	3.408	2.385	4.049	4.263	4.444	3.655	3.482	1.171	-1.907	-1.028	-3.374
