state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	4.3002	0.1367	0.2653	0.1686	0.1758	0.3903	6.7291E-4	0.492	0.789	341.303
2000000	4.3019	0.1536	0.2594	0.1662	0.1755	0.3988	6.7628E-4	0.723	0.944	344.630
3000000	4.3723	0.1352	0.2608	0.1684	0.1771	0.3937	6.6972E-4	0.794	0.943	338.686
4000000	4.2326	0.1398	0.2637	0.1686	0.1820	0.3856	6.8213E-4	0.855	0.865	344.349
5000000	4.2682	0.1385	0.2636	0.1695	0.1768	0.3901	6.7677E-4	0.842	0.818	339.542
6000000	4.2174	0.1480	0.2662	0.1680	0.1766	0.3892	6.7412E-4	0.411	0.860	340.035
7000000	4.2967	0.1572	0.2609	0.1662	0.1784	0.3946	6.8204E-4	0.536	0.807	335.326
8000000	4.3568	0.1452	0.2650	0.1673	0.1764	0.3913	6.9907E-4	0.732	0.819	339.010
9000000	4.5627	0.1550	0.2605	0.1698	0.1729	0.3968	6.9136E-4	0.301	0.826	340.697
10000000	4.2533	0.1376	0.2622	0.1712	0.1761	0.3905	6.7528E-4	1.043	0.871	343.286
11000000	4.4846	0.1485	0.2630	0.1712	0.1774	0.3883	6.6714E-4	0.432	0.921	346.453
12000000	4.2331	0.1554	0.2638	0.1678	0.1753	0.3931	6.8327E-4	0.506	0.802	343.658
13000000	4.3789	0.1637	0.2681	0.1685	0.1739	0.3895	6.7625E-4	0.424	0.946	346.405
14000000	4.2065	0.1355	0.2660	0.1658	0.1730	0.3951	6.5455E-4	0.270	0.801	349.590
15000000	4.3779	0.1397	0.2610	0.1739	0.1769	0.3883	6.8985E-4	0.748	0.843	344.896
16000000	4.1291	0.1392	0.2596	0.1703	0.1761	0.3940	6.64E-4	0.555	0.831	351.428
17000000	4.4837	0.1482	0.2633	0.1651	0.1753	0.3963	6.5329E-4	0.993	0.863	352.029
18000000	4.1873	0.1391	0.2680	0.1675	0.1738	0.3906	6.6285E-4	0.496	0.793	352.966
19000000	4.5043	0.1445	0.2633	0.1714	0.1773	0.3880	6.763E-4	0.512	0.796	353.598
20000000	4.3240	0.1367	0.2655	0.1693	0.1780	0.3872	6.6902E-4	0.462	0.811	357.243
21000000	4.2272	0.1388	0.2646	0.1671	0.1767	0.3916	6.399E-4	0.348	0.951	358.684
22000000	4.1574	0.1540	0.2635	0.1690	0.1722	0.3953	6.3986E-4	0.543	0.810	356.075
23000000	4.3636	0.1584	0.2654	0.1689	0.1770	0.3886	6.6448E-4	0.222	0.819	357.030
24000000	4.0864	0.1307	0.2645	0.1673	0.1766	0.3916	6.6115E-4	0.635	1.013	351.844
25000000	4.3828	0.1315	0.2661	0.1705	0.1751	0.3883	6.7643E-4	0.599	0.923	345.563
26000000	4.2772	0.1337	0.2594	0.1678	0.1783	0.3945	6.6738E-4	0.634	0.810	352.841
27000000	4.3822	0.1405	0.2644	0.1678	0.1757	0.3920	6.4348E-4	1.161	0.914	358.714
28000000	4.2410	0.1455	0.2621	0.1673	0.1787	0.3919	6.6434E-4	0.318	0.861	350.630
29000000	4.2391	0.1447	0.2654	0.1656	0.1736	0.3955	6.502E-4	0.524	0.830	358.639
30000000	4.2101	0.1434	0.2640	0.1685	0.1762	0.3913	6.6432E-4	0.829	0.974	350.668
31000000	4.5017	0.1491	0.2679	0.1644	0.1743	0.3933	6.5369E-4	0.712	0.812	352.946
32000000	4.1689	0.1398	0.2653	0.1664	0.1760	0.3923	6.6142E-4	0.545	0.813	355.842
33000000	4.5123	0.1382	0.2664	0.1690	0.1754	0.3892	6.6089E-4	0.425	0.831	351.126
34000000	4.2645	0.1598	0.2636	0.1679	0.1777	0.3909	6.766E-4	0.559	0.770	340.608
35000000	4.1673	0.1436	0.2605	0.1678	0.1769	0.3947	6.6005E-4	0.225	0.801	354.280
36000000	4.4288	0.1444	0.2641	0.1699	0.1755	0.3905	6.6284E-4	0.185	0.960	352.782
37000000	4.1565	0.1461	0.2635	0.1686	0.1733	0.3946	6.5907E-4	0.452	0.928	355.981
38000000	4.3045	0.1490	0.2636	0.1670	0.1789	0.3905	6.4456E-4	0.684	0.808	363.456
39000000	4.3439	0.1529	0.2669	0.1694	0.1755	0.3882	6.5781E-4	0.316	0.978	361.174
40000000	4.2210	0.1321	0.2579	0.1710	0.1790	0.3921	6.7198E-4	0.975	0.859	347.560
