state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
59000000	4.4307	0.1498	0.2653	0.1712	0.1768	0.3868	6.5245E-4	0.362	0.812	357.185
60000000	4.2360	0.1596	0.2594	0.1692	0.1769	0.3945	6.6898E-4	0.518	0.830	356.572
61000000	4.2664	0.1400	0.2611	0.1658	0.1793	0.3937	6.3828E-4	0.309	0.835	359.037
62000000	4.3413	0.1394	0.2653	0.1687	0.1784	0.3876	6.5563E-4	0.332	0.838	353.207
63000000	4.3774	0.1488	0.2662	0.1666	0.1742	0.3930	6.6526E-4	0.500	0.864	346.409
64000000	4.3675	0.1353	0.2613	0.1674	0.1793	0.3920	6.776E-4	0.523	0.858	349.071
65000000	4.3353	0.1445	0.2639	0.1697	0.1754	0.3909	6.6661E-4	0.599	0.916	352.256
66000000	4.4756	0.1494	0.2685	0.1675	0.1758	0.3882	6.5973E-4	0.462	0.826	343.894
67000000	4.3243	0.1491	0.2668	0.1682	0.1748	0.3902	6.6634E-4	0.487	0.945	349.050
68000000	4.3622	0.1450	0.2653	0.1719	0.1725	0.3903	6.7397E-4	0.826	0.820	353.794
69000000	4.4335	0.1501	0.2670	0.1672	0.1763	0.3894	6.8602E-4	0.835	0.931	349.741
70000000	4.2837	0.1473	0.2652	0.1668	0.1788	0.3892	6.4513E-4	0.219	0.842	357.943
71000000	4.3222	0.1549	0.2649	0.1712	0.1754	0.3885	6.5766E-4	0.478	0.810	353.192
72000000	4.3422	0.1448	0.2657	0.1665	0.1770	0.3907	6.6518E-4	0.463	0.892	351.863
73000000	4.3782	0.1518	0.2669	0.1690	0.1748	0.3893	6.7065E-4	0.929	0.835	348.567
74000000	4.4259	0.1458	0.2622	0.1694	0.1743	0.3941	6.7374E-4	0.690	0.938	354.562
75000000	4.3998	0.1402	0.2655	0.1677	0.1740	0.3928	6.4581E-4	0.575	0.799	360.361
76000000	4.3621	0.1382	0.2636	0.1678	0.1750	0.3936	6.5517E-4	0.377	0.811	350.507
77000000	4.3643	0.1422	0.2609	0.1677	0.1762	0.3952	6.664E-4	0.951	1.000	347.982
78000000	4.2886	0.1621	0.2628	0.1721	0.1746	0.3905	6.7878E-4	0.628	0.783	350.794
79000000	4.3530	0.1484	0.2648	0.1710	0.1714	0.3928	6.5536E-4	0.394	0.817	353.704
80000000	4.4190	0.1497	0.2632	0.1689	0.1791	0.3888	6.4062E-4	0.376	0.821	359.219
81000000	4.4759	0.1614	0.2647	0.1680	0.1735	0.3938	6.2848E-4	0.191	0.773	364.728
82000000	4.4685	0.1526	0.2657	0.1676	0.1741	0.3926	6.6265E-4	0.853	0.871	355.527
83000000	4.4666	0.1462	0.2672	0.1683	0.1760	0.3885	6.5205E-4	0.628	0.922	367.288
84000000	4.3691	0.1506	0.2618	0.1690	0.1793	0.3900	6.4747E-4	0.219	0.873	358.195
85000000	4.4362	0.1495	0.2646	0.1697	0.1746	0.3911	6.4204E-4	0.874	0.895	355.651
86000000	4.5030	0.1439	0.2603	0.1698	0.1752	0.3947	6.4785E-4	0.289	0.830	353.610
87000000	4.2911	0.1372	0.2630	0.1701	0.1755	0.3914	6.5933E-4	0.540	0.864	353.832
88000000	4.2461	0.1464	0.2643	0.1709	0.1770	0.3878	6.5439E-4	0.480	1.039	354.176
89000000	4.4692	0.1535	0.2604	0.1714	0.1749	0.3932	6.8128E-4	0.487	0.813	352.369
90000000	4.3297	0.1474	0.2642	0.1687	0.1739	0.3933	6.7449E-4	0.797	0.782	352.103
91000000	4.3956	0.1392	0.2642	0.1655	0.1794	0.3909	6.3772E-4	0.404	0.859	355.821
92000000	4.4600	0.1453	0.2613	0.1692	0.1741	0.3955	6.485E-4	0.491	0.821	362.357
93000000	4.3849	0.1365	0.2670	0.1712	0.1759	0.3860	6.6265E-4	0.425	0.846	351.434
94000000	4.4416	0.1495	0.2649	0.1686	0.1752	0.3913	6.5307E-4	0.399	0.846	358.774
95000000	4.3355	0.1452	0.2615	0.1674	0.1723	0.3987	6.6338E-4	0.406	0.859	351.703
96000000	4.1350	0.1408	0.2665	0.1704	0.1724	0.3908	6.5679E-4	0.289	0.953	357.337
97000000	4.3972	0.1539	0.2660	0.1693	0.1742	0.3905	6.5875E-4	0.191	0.769	353.109
98000000	4.5108	0.1515	0.2650	0.1706	0.1751	0.3893	6.6875E-4	0.720	1.006	355.262
99000000	4.3241	0.1528	0.2653	0.1702	0.1757	0.3889	6.7133E-4	0.493	0.810	356.875
100000000	4.1989	0.1573	0.2654	0.1675	0.1774	0.3897	6.5803E-4	0.443	0.920	355.693
101000000	4.2406	0.1525	0.2669	0.1670	0.1758	0.3903	6.5515E-4	0.240	0.806	360.495
102000000	4.2532	0.1502	0.2648	0.1691	0.1758	0.3903	6.4929E-4	0.571	0.908	359.214
103000000	4.2583	0.1503	0.2611	0.1628	0.1774	0.3988	6.3628E-4	0.312	0.902	361.729
104000000	4.1747	0.1233	0.2631	0.1697	0.1761	0.3911	6.4847E-4	0.856	0.848	354.953
105000000	4.2080	0.1514	0.2636	0.1701	0.1731	0.3932	6.6818E-4	0.592	0.986	349.875
106000000	4.2116	0.1592	0.2653	0.1692	0.1742	0.3913	6.7024E-4	0.516	0.812	349.508
107000000	4.2934	0.1489	0.2641	0.1680	0.1751	0.3928	6.4863E-4	0.974	0.913	352.421
108000000	4.4308	0.1366	0.2613	0.1685	0.1796	0.3907	6.6862E-4	0.186	0.968	355.015
109000000	4.2597	0.1597	0.2638	0.1677	0.1774	0.3911	6.7441E-4	0.394	0.909	350.412
110000000	4.2760	0.1488	0.2671	0.1685	0.1766	0.3878	6.9509E-4	0.485	0.937	350.932
111000000	4.2957	0.1527	0.2655	0.1683	0.1786	0.3876	6.4071E-4	0.156	1.022	362.120
112000000	4.1810	0.1499	0.2627	0.1666	0.1776	0.3931	6.7318E-4	0.369	0.924	349.350
113000000	4.3768	0.1511	0.2650	0.1726	0.1747	0.3877	6.5399E-4	0.374	1.042	355.403
114000000	4.4763	0.1499	0.2647	0.1704	0.1740	0.3909	6.6138E-4	0.481	0.793	350.542
115000000	4.2410	0.1464	0.2637	0.1705	0.1736	0.3922	6.8267E-4	0.631	0.789	343.054
116000000	4.3118	0.1443	0.2627	0.1676	0.1764	0.3933	6.8861E-4	1.183	0.840	340.291
117000000	4.2644	0.1473	0.2617	0.1714	0.1767	0.3901	6.8777E-4	0.547	0.881	343.652
118000000	4.3810	0.1470	0.2663	0.1719	0.1719	0.3899	7.0703E-4	0.418	0.864	346.040
119000000	4.3561	0.1379	0.2605	0.1671	0.1791	0.3933	6.5566E-4	0.752	0.904	343.341
120000000	4.1822	0.1519	0.2668	0.1709	0.1733	0.3890	6.7491E-4	0.458	0.803	350.533
121000000	4.3789	0.1446	0.2640	0.1679	0.1783	0.3898	6.4803E-4	0.551	0.968	361.321
122000000	4.3009	0.1375	0.2679	0.1655	0.1758	0.3908	6.4794E-4	0.389	1.034	361.107
123000000	4.4885	0.1495	0.2673	0.1672	0.1745	0.3909	6.5569E-4	0.528	0.806	357.339
124000000	4.3950	0.1469	0.2634	0.1692	0.1744	0.3930	6.5438E-4	1.009	0.821	361.966
125000000	4.3078	0.1424	0.2626	0.1684	0.1761	0.3929	6.3606E-4	0.314	0.992	366.693
126000000	4.3482	0.1429	0.2667	0.1680	0.1753	0.3901	6.5238E-4	0.573	0.796	357.834
127000000	4.3938	0.1438	0.2618	0.1690	0.1796	0.3896	6.3832E-4	0.573	0.916	366.388
128000000	4.4875	0.1421	0.2626	0.1684	0.1812	0.3878	6.4096E-4	0.848	0.833	362.875
129000000	4.2195	0.1495	0.2638	0.1685	0.1763	0.3914	6.2192E-4	0.539	0.908	366.528
130000000	4.4301	0.1465	0.2642	0.1651	0.1785	0.3921	6.378E-4	0.636	0.803	361.626
131000000	4.1800	0.1390	0.2641	0.1673	0.1779	0.3907	6.5781E-4	0.736	0.868	361.086
132000000	4.4357	0.1350	0.2633	0.1681	0.1751	0.3935	6.3116E-4	1.034	1.025	362.828
133000000	4.5129	0.1550	0.2643	0.1685	0.1764	0.3907	6.507E-4	0.578	0.829	360.125
134000000	4.3881	0.1614	0.2587	0.1704	0.1798	0.3912	6.6703E-4	1.061	0.981	353.591
135000000	4.3516	0.1417	0.2641	0.1711	0.1751	0.3897	6.4392E-4	0.943	1.073	363.002
136000000	4.1615	0.1415	0.2646	0.1708	0.1750	0.3897	6.5938E-4	0.424	0.819	352.116
137000000	4.2618	0.1454	0.2643	0.1696	0.1753	0.3907	6.6506E-4	0.527	0.859	353.917
138000000	4.1481	0.1426	0.2620	0.1711	0.1775	0.3894	6.7856E-4	0.260	0.818	350.463
139000000	4.5555	0.1329	0.2654	0.1736	0.1753	0.3857	6.7279E-4	0.453	0.848	343.404
140000000	4.2606	0.1489	0.2674	0.1673	0.1741	0.3912	6.6867E-4	0.213	0.977	344.710
141000000	4.3654	0.1407	0.2656	0.1678	0.1756	0.3911	6.6293E-4	0.606	0.852	353.893
142000000	4.3570	0.1504	0.2680	0.1672	0.1771	0.3878	6.4014E-4	0.345	0.785	358.476
143000000	4.2782	0.1580	0.2613	0.1725	0.1732	0.3929	6.7446E-4	0.499	0.808	353.475
144000000	4.3110	0.1580	0.2633	0.1730	0.1749	0.3889	6.6246E-4	0.504	0.852	353.447
145000000	4.3659	0.1463	0.2663	0.1686	0.1719	0.3932	6.4333E-4	0.667	1.002	356.477
146000000	4.4182	0.1523	0.2632	0.1670	0.1756	0.3942	6.5428E-4	0.601	0.870	357.752
147000000	4.4724	0.1455	0.2657	0.1708	0.1734	0.3901	6.4788E-4	0.418	0.885	350.211
148000000	4.2487	0.1490	0.2649	0.1673	0.1790	0.3888	6.5923E-4	0.312	0.865	344.705
149000000	4.2877	0.1515	0.2637	0.1723	0.1738	0.3903	6.6501E-4	0.629	1.021	355.655
150000000	4.2912	0.1587	0.2661	0.1659	0.1741	0.3939	6.4505E-4	0.640	0.975	357.949
151000000	4.3772	0.1388	0.2647	0.1666	0.1765	0.3922	6.6535E-4	0.296	0.814	354.044
