pers0.025	pers0.05	pers0.1	pers0.2
run01	-34121.862	-34121.761	-34122.159	-34122.474
run02	-34121.814	-34122.088	-34122.505	-34122.353
run03	-34122.024	-34124.03	-34121.99	-34121.929
run04	-34121.802	-34121.946	-34124.041	-34122.51
run05	-34123.811	-34124.014	-34122.01	-34124.089
