state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.749	8.869	9.4704E-2	0.3753	0.9022	1.1956	0.3092	0.2286	0.2013	0.2609	0.2986	0.2142	0.2319	0.2554	1.0194E-3	1.0766E-3	9.0177E-4	0.9738	-3.0116E-2	8.110	1.696	28.245
2000000	6.874	7.575	9.3823E-3	0.1649	0.9565	1.0869	0.3160	0.2317	0.2020	0.2503	0.2925	0.2152	0.2425	0.2497	1.027E-3	7.0049E-4	9.3038E-4	0.6650	6.5225E-2	2.776	1.599	24.955
3000000	11.472	8.786	0.1453	0.6550	0.8975	1.2050	0.3090	0.2345	0.2010	0.2555	0.2929	0.2156	0.2420	0.2494	7.7967E-4	5.297E-4	7.7217E-4	0.7233	6.2068E-2	2.187	1.584	28.819
4000000	8.472	9.424	0.1735	0.6952	0.9402	1.1196	0.3105	0.2266	0.2021	0.2608	0.2851	0.2264	0.2409	0.2477	9.812E-4	8.4411E-4	8.3788E-4	0.8374	-1.2232E-2	1.751	1.637	28.210
5000000	9.017	8.497	0.2928	1.0785	0.9504	1.0991	0.3186	0.2292	0.2038	0.2485	0.2934	0.2192	0.2386	0.2488	9.2597E-4	8.8771E-4	8.1155E-4	0.8878	9.197E-3	1.673	1.755	28.818
6000000	8.221	7.139	2.1844E-2	0.2798	0.9616	1.0768	0.3184	0.2299	0.1998	0.2519	0.3023	0.2227	0.2258	0.2492	8.7647E-4	6.616E-4	8.1782E-4	0.7375	2.1599E-2	1.159	1.718	29.900
7000000	9.153	7.604	4.736E-3	6.2405E-2	0.9434	1.1132	0.3243	0.2323	0.1932	0.2503	0.2894	0.2177	0.2345	0.2583	8.9611E-4	9.5948E-4	8.1762E-4	1.0023	-1.3693E-2	3.652	1.692	26.542
8000000	9.532	11.861	6.0867E-2	0.1667	0.9593	1.0814	0.3138	0.2349	0.2001	0.2513	0.2901	0.2220	0.2342	0.2537	9.5939E-4	7.1028E-4	8.0009E-4	0.6672	-2.2477E-2	0.369	1.609	29.801
9000000	8.937	5.971	5.7387E-2	0.2267	0.9128	1.1744	0.3203	0.2237	0.2006	0.2553	0.2907	0.2157	0.2374	0.2562	1.0403E-3	9.1958E-4	9.2919E-4	0.9262	-7.8343E-3	0.774	1.652	25.853
10000000	10.773	7.633	0.1370	0.2783	0.8841	1.2319	0.3154	0.2315	0.1971	0.2559	0.2896	0.2274	0.2310	0.2520	9.4044E-4	1.0192E-3	8.1416E-4	0.9701	-3.9176E-2	0.881	1.646	29.053
11000000	8.032	6.574	0.2207	0.9793	0.9538	1.0924	0.3153	0.2309	0.2002	0.2536	0.2991	0.2098	0.2436	0.2474	7.7633E-4	7.6567E-4	7.1279E-4	1.0076	5.7171E-2	3.102	1.695	29.730
12000000	6.866	9.721	0.1120	0.3677	0.9039	1.1922	0.3116	0.2348	0.2022	0.2514	0.2959	0.2287	0.2348	0.2406	1.0268E-3	7.3943E-4	9.2222E-4	0.6757	5.1511E-3	5.541	1.815	27.185
13000000	8.112	11.538	8.9862E-2	0.4540	0.9194	1.1612	0.3135	0.2232	0.2073	0.2560	0.2985	0.2232	0.2313	0.2470	9.7556E-4	8.164E-4	8.8215E-4	0.8395	3.26E-2	1.201	1.705	26.997
14000000	11.531	7.662	0.1337	0.4102	0.8424	1.3152	0.3124	0.2290	0.2039	0.2547	0.2876	0.2216	0.2377	0.2531	8.5518E-4	6.2831E-4	7.8885E-4	0.7807	-3.4005E-2	0.327	1.587	31.295
15000000	8.893	8.765	0.4702	0.6117	0.9400	1.1200	0.3094	0.2313	0.2056	0.2538	0.2936	0.2277	0.2310	0.2478	1.0283E-3	8.7983E-4	8.8192E-4	0.7778	-2.7639E-2	2.155	1.611	28.085
16000000	9.627	8.663	0.1191	1.0321	0.9462	1.1076	0.3078	0.2276	0.2069	0.2576	0.3107	0.2104	0.2279	0.2510	1.0071E-3	8.8475E-4	8.4747E-4	0.8791	-2.8439E-2	1.183	1.807	27.693
17000000	6.017	7.788	1.2206E-2	0.4040	0.9810	1.0380	0.3156	0.2212	0.1996	0.2636	0.2979	0.2106	0.2407	0.2507	9.4442E-4	7.6645E-4	8.5737E-4	0.7918	7.7733E-2	1.031	1.642	28.193
18000000	7.462	5.987	7.8915E-2	0.3830	0.9263	1.1475	0.3130	0.2262	0.1981	0.2627	0.2983	0.2150	0.2325	0.2542	1.0945E-3	1.1771E-3	9.2966E-4	0.9693	-4.0318E-2	1.475	1.592	27.896
19000000	7.562	8.226	0.1304	0.9796	0.9300	1.1401	0.3130	0.2269	0.1964	0.2638	0.2963	0.2283	0.2265	0.2490	1.0372E-3	8.5586E-4	9.0168E-4	0.8095	-4.3054E-2	5.772	1.820	26.459
