state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
706000000	-1.651	-1.967	-1.652	-1.628	-1.288	-1.189	-1.281	-0.611	0.635	0.451	0.905	0.779	0.900	1.279	1.196	0.936	0.205	-0.247	0.005	-0.111	0.246	-0.495	0.399	0.111	0.426	-0.038	-0.066	-0.493	-0.236	0.363	-0.042	-0.188	-0.291	-0.164	-0.017	0.496	0.180	0.305	0.364	0.114	-0.410	-1.352	-1.014	-1.802	-1.807	-1.379	-1.698	-1.338	-1.209	-1.337
707000000	-1.437	-1.814	-1.221	-1.761	-0.456	-0.702	-1.506	-0.605	0.734	1.863	1.909	1.804	1.225	0.956	1.479	1.455	2.532	0.614	0.191	-0.661	0.653	1.172	2.508	3.860	1.903	-0.759	-0.090	0.669	-1.218	-0.030	-0.170	0.017	0.031	0.653	0.089	-0.798	0.817	0.466	-1.375	-1.425	-1.161	-1.499	-0.301	-0.375	-0.337	-2.970	-2.276	-2.817	-2.651	-4.617
708000000	-2.357	-3.599	-3.191	-1.835	-1.680	-0.660	-1.014	-0.897	0.072	0.898	0.085	0.599	0.211	0.917	0.423	1.775	1.368	0.622	-0.846	-0.145	0.605	1.243	2.300	0.906	-0.061	-0.155	-0.875	-0.400	-0.619	-0.403	0.833	0.024	-0.309	0.281	0.222	-0.006	0.058	-1.460	-1.164	-0.911	-0.858	-1.566	-2.475	-2.491	-3.498	-2.758	-2.739	-2.775	-2.285	-2.715
709000000	-3.582	-2.386	-2.671	-1.806	0.129	-0.987	-1.677	-0.900	0.336	1.286	1.625	1.637	1.505	0.321	0.845	-0.149	0.371	-0.090	0.128	-0.365	0.386	1.139	0.937	3.398	1.657	-0.990	0.137	-0.208	-1.035	0.289	-0.015	0.029	-0.748	-1.257	-0.509	-0.826	-0.748	-1.324	-1.636	-1.304	-1.574	-1.529	-2.096	-2.319	-1.520	-2.543	-3.025	-2.848	-3.143	-1.674
710000000	-1.560	-1.727	-1.929	-2.034	-1.283	-1.288	-1.381	-0.624	-0.261	0.712	0.554	0.757	0.710	0.491	0.805	0.736	0.197	-0.050	-0.430	-0.394	-0.261	0.090	0.514	0.054	-0.517	-0.533	-0.368	-0.645	-0.765	-0.720	-1.095	-0.614	-0.240	-0.468	0.327	0.139	-0.313	-0.363	-0.806	-1.379	-1.728	-2.371	-2.019	-2.182	-2.056	-1.909	-1.919	-1.955	-2.411	-2.590
711000000	-1.011	-1.425	-1.661	-2.182	-1.411	0.234	-1.053	-0.642	-0.866	0.255	0.877	0.407	0.099	0.600	1.088	0.256	0.466	0.250	-0.278	-0.043	0.544	0.376	1.016	0.001	0.781	-0.811	0.626	0.704	-0.927	0.448	-0.125	0.870	0.599	-0.153	-0.583	-0.933	0.008	-0.139	-0.567	-0.965	-0.165	-0.315	-0.375	-1.134	-0.763	0.181	0.158	-1.044	-1.513	-1.231
712000000	-2.221	-2.320	-1.630	-1.929	-0.782	-0.174	-1.222	-0.614	0.545	0.978	0.247	-0.381	-0.049	0.571	0.682	0.466	0.784	-0.567	-1.034	-0.364	1.683	1.859	1.203	2.758	1.227	-1.190	0.256	0.581	-0.778	-0.020	-0.217	0.498	-0.005	-0.021	0.121	-0.806	-1.170	-0.745	-1.412	-1.211	-1.168	-1.726	-2.042	-1.326	-0.372	-2.021	-1.104	-1.049	0.467	0.915
713000000	-3.275	-3.512	-2.887	-2.301	-1.034	-0.702	-1.613	0.541	0.576	1.093	1.170	1.655	1.852	0.326	0.436	0.798	0.701	0.630	-0.423	-0.603	0.107	-0.049	1.248	1.084	-0.229	-0.690	-0.650	-0.712	-0.867	0.076	-0.148	0.343	0.708	0.286	-0.314	-0.719	-0.809	-1.391	-1.066	-1.305	-2.054	-1.318	-0.992	-0.991	-1.762	-2.643	-1.785	-0.568	-1.350	-1.259
714000000	-2.609	-2.134	-3.394	-2.030	-0.683	-0.246	-1.598	-0.507	0.802	2.156	3.172	1.429	1.106	0.161	0.703	0.837	0.507	-0.466	-0.212	0.449	0.458	1.914	2.714	1.987	1.455	-1.151	0.146	0.016	-1.070	0.549	-0.135	0.437	0.418	-0.062	0.773	1.541	0.524	-0.115	-0.547	-0.804	-0.133	0.483	-0.197	-0.455	-2.120	-1.855	-2.162	-0.491	-0.728	-1.447
715000000	-2.566	-2.535	-2.111	-2.337	-1.461	-1.465	-2.071	-1.357	-0.458	0.077	0.598	0.147	1.274	0.415	1.805	0.908	-0.282	0.303	0.122	-0.364	-0.270	0.278	0.100	0.315	-0.580	-0.040	1.140	0.303	0.272	0.224	-0.124	-0.278	-0.715	-0.073	-0.298	0.404	0.033	-0.194	-0.748	-1.190	-0.983	-0.975	-1.506	-1.929	-1.193	-0.878	-1.226	-1.616	-2.224	-2.656
716000000	-1.454	-1.722	-1.627	-1.705	-1.801	-1.705	-1.612	-1.135	-0.785	0.121	0.536	0.302	0.816	0.764	1.154	0.958	0.594	0.303	0.255	-0.251	-0.155	0.240	-0.274	-0.306	-0.022	-0.004	-0.163	-0.513	-0.154	0.082	0.189	-0.184	-0.236	-0.810	-0.560	-0.319	-0.182	-0.184	-0.558	-0.406	-0.654	-0.807	-1.512	-1.668	-1.363	-1.695	-1.982	-1.885	-2.080	-2.590
717000000	-2.813	-2.016	-1.696	-1.646	-0.748	-0.686	-1.240	0.399	0.964	0.993	0.442	1.031	0.786	0.649	0.871	1.495	1.226	0.064	-0.549	-0.484	0.203	1.714	1.985	0.248	-0.107	-0.443	-0.064	-0.331	-0.428	-0.171	-0.363	-0.467	-0.328	0.179	-0.753	-0.503	-0.884	-1.177	-0.684	-0.366	-0.336	-2.592	-2.496	-2.147	-1.909	-2.578	-2.818	-2.158	-2.395	-1.758
718000000	-1.948	-2.499	-2.153	-1.315	-1.357	-0.435	-1.645	-1.456	1.426	1.281	1.217	1.484	1.698	0.153	1.093	1.736	0.651	-0.352	-0.832	-0.052	-0.247	0.467	0.527	-0.496	0.055	-1.212	0.201	-0.201	-0.280	0.840	-0.255	0.885	-0.677	0.235	0.649	-0.748	0.680	1.628	0.760	-0.619	-1.528	-2.128	-3.389	-3.599	-1.616	-2.844	-4.116	-4.337	-4.736	-5.254
719000000	-2.692	-2.066	-1.871	-2.226	-1.224	-1.045	-1.556	-0.719	0.356	1.565	0.037	-1.482	0.158	0.942	1.206	0.905	1.728	-0.788	-0.107	0.554	0.044	0.819	1.578	2.153	0.847	-1.017	0.098	-0.594	-1.264	0.180	-0.196	0.293	0.321	-0.386	-0.305	0.335	1.041	-0.250	-1.619	-0.936	-0.811	-2.921	-3.059	-2.916	-1.085	-0.787	-3.227	-2.823	-4.806	-6.323
720000000	-1.205	-1.583	-1.597	-1.127	-0.717	-0.736	-0.920	-0.457	0.270	0.763	1.107	0.739	1.023	1.205	0.616	0.693	0.493	0.331	-0.350	-0.011	0.103	0.406	0.661	0.724	-0.063	-0.510	-0.857	-0.313	-0.446	0.316	0.152	-0.091	-0.494	-0.073	-0.020	-0.326	0.277	0.100	-0.155	0.528	0.464	0.128	-0.695	-1.316	-1.368	-1.187	-1.481	-0.986	-0.991	-1.742
721000000	-2.875	-2.156	-1.725	-1.281	-1.169	-1.104	-1.176	-0.856	-0.230	0.240	0.443	0.543	0.843	0.667	1.135	0.716	0.581	0.118	0.081	-0.372	0.819	1.081	1.424	1.791	1.001	-0.174	-0.367	-0.109	-0.796	-0.160	0.167	0.126	0.543	-0.339	-0.726	-1.296	-0.910	-0.883	-1.150	-0.802	-0.885	-1.098	-0.874	-1.029	-0.963	-0.687	-0.261	0.113	-0.926	-0.834
722000000	-1.442	-2.429	-2.491	-1.957	-0.960	-0.492	-1.523	-1.068	0.065	0.442	1.887	-0.123	0.236	0.090	0.979	1.325	0.961	-0.196	-0.051	-0.982	0.355	0.325	0.703	1.419	0.003	-0.952	-0.051	-0.163	-0.684	-0.547	-0.419	0.897	0.807	-0.058	1.184	-0.023	-2.180	-0.886	-0.773	-1.711	-2.186	-2.263	-2.168	-1.986	-0.658	-1.296	-2.544	-3.367	-4.464	-3.990
723000000	-4.701	-3.822	-1.888	-2.440	-1.452	1.093	-1.790	-0.076	2.114	2.842	2.457	1.864	-0.373	1.726	0.113	1.585	0.857	0.656	-0.389	0.364	-0.880	1.654	1.458	1.916	0.772	-0.770	0.873	0.189	-0.974	0.639	0.766	-0.530	-0.836	0.025	0.872	0.710	-0.185	-0.569	0.864	0.152	-1.351	-2.501	-0.696	-2.032	-1.148	-2.694	-3.333	-2.517	-4.390	-5.087
724000000	-2.682	-2.028	-2.542	-2.053	-1.390	-0.159	-1.693	-1.297	1.410	0.759	0.024	0.739	2.749	3.579	2.059	1.152	0.460	-0.354	-0.318	-0.313	0.917	2.030	1.159	1.567	1.253	-0.761	-0.433	-0.420	-0.793	1.159	0.728	0.962	-0.429	0.155	1.299	1.461	-0.726	0.572	0.348	-0.228	-1.483	-2.837	-1.549	-1.526	-1.719	-2.086	-2.105	-0.166	-2.686	-1.680
725000000	-2.948	-3.280	-2.472	-2.289	-1.400	-1.158	-2.092	-0.492	1.234	1.399	0.232	0.769	0.268	0.707	0.595	0.347	0.020	-0.565	-0.404	-0.234	1.362	1.947	1.414	1.062	0.206	-0.282	-0.532	-0.014	-0.338	-0.126	-0.182	0.741	-0.033	-0.749	-0.745	-0.044	-0.071	-0.809	-0.972	-0.593	-1.293	-1.442	-0.195	-0.711	-1.847	-1.067	-1.098	-1.825	-1.406	-1.279
726000000	-7.280	-3.453	-2.078	-2.360	-0.503	-0.778	-1.777	0.709	-1.332	1.358	3.580	0.182	1.334	1.364	0.810	3.123	0.137	1.624	-0.981	1.333	2.954	0.579	0.481	0.862	0.372	-1.305	0.682	0.827	-1.517	3.165	0.826	0.377	-0.539	1.558	2.000	1.101	-0.307	-0.129	-1.436	1.374	0.962	-0.526	-2.553	-2.250	-1.532	-2.738	-3.332	-6.387	-4.672	-4.188
727000000	-2.197	-1.964	-1.870	-1.360	-1.053	-0.373	-1.125	-0.165	-0.112	0.469	0.167	0.928	1.540	1.402	0.876	1.350	0.998	0.244	-0.467	-0.216	0.753	0.711	0.536	0.344	0.268	-0.429	-0.391	-0.630	-0.227	0.413	0.163	-0.418	0.106	-0.113	0.492	0.535	0.459	0.186	-0.419	-0.030	-0.105	-1.161	-1.108	-0.708	-0.857	-1.294	-1.109	-1.451	-0.541	-1.339
728000000	-2.100	-1.685	-2.076	-1.656	-1.322	-0.872	-0.919	-0.630	0.106	1.373	1.114	0.406	0.623	0.896	0.840	-0.021	0.325	-0.251	-0.369	0.138	0.753	1.795	1.761	1.083	-0.413	-0.742	-0.124	-0.372	-1.022	-0.501	-0.418	0.148	0.436	0.406	0.392	0.111	-0.631	-0.452	-0.486	-0.412	-0.342	-0.333	-1.490	-1.608	-2.009	-2.093	-2.033	-2.239	-2.784	-1.857
729000000	-1.338	-2.427	-2.837	-2.553	-1.692	-1.284	-1.147	-0.554	1.221	1.098	0.077	0.965	2.021	1.401	1.084	1.408	0.687	0.257	0.178	0.606	0.996	1.736	1.171	0.554	0.621	0.149	-0.019	-0.101	-1.007	-0.412	-0.371	-1.145	-0.370	0.827	0.536	0.559	-0.439	-0.510	-1.461	-1.590	-1.385	-1.915	-2.521	-2.121	-3.066	-2.438	-2.449	-3.324	-4.063	-4.058
730000000	-3.138	-2.785	-1.592	-2.585	-1.040	0.727	-1.896	-0.501	-0.086	1.277	2.289	2.782	1.435	-0.007	1.170	0.906	1.380	-0.719	-0.063	0.391	0.797	2.752	1.777	0.686	-0.546	-1.010	0.540	1.230	-0.921	-0.373	0.089	-0.431	-0.569	-0.167	-0.268	0.736	2.721	0.936	-0.652	-1.531	-0.456	-2.042	-3.031	-3.622	-2.731	-2.624	-3.030	-1.707	-1.821	-0.976
731000000	-3.049	-2.567	-2.546	-1.340	-0.889	-0.349	-1.534	-0.172	0.213	1.924	1.821	1.863	2.271	2.426	0.955	0.380	1.547	0.976	-0.156	-0.526	0.616	0.842	0.950	1.518	1.024	-1.090	0.537	0.352	-0.645	-0.387	-0.086	0.563	-0.050	-0.555	-0.015	0.082	-0.227	-0.208	-0.122	-0.471	-2.253	-2.272	-2.316	-1.421	-2.311	-1.620	-1.877	-2.533	-2.656	-2.942
732000000	-4.256	-3.689	-2.434	-2.001	-0.974	-0.440	-2.296	-1.961	1.762	1.390	2.898	0.345	-0.571	0.347	1.289	0.754	0.338	-0.444	-0.727	0.596	1.212	1.246	2.394	2.719	1.402	-0.625	0.406	-0.351	-0.756	0.397	0.263	-0.680	-0.505	-1.205	-0.325	-0.341	1.589	1.991	0.554	0.301	-1.532	-1.278	-0.627	-1.379	-2.241	-2.711	-1.634	-4.973	-4.861	-5.435
733000000	-2.531	-1.568	-2.460	-2.040	-0.944	-1.079	-1.563	-1.048	1.774	2.335	0.918	0.312	0.346	1.395	0.483	1.075	1.154	-0.119	-0.284	1.135	0.204	-0.486	0.095	0.985	0.760	-0.954	0.630	0.144	-0.289	0.388	-0.769	-0.779	0.089	0.956	-1.465	-0.729	0.101	-1.056	-2.223	-1.578	-0.803	-1.768	-2.678	-2.389	-2.350	-4.569	-5.115	-5.573	-5.574	-4.900
734000000	-1.086	-2.685	-3.362	-1.826	-0.773	-0.376	-2.006	-1.242	-0.253	1.345	0.904	-0.584	0.486	0.603	1.997	0.164	0.476	-0.538	0.227	0.223	0.847	2.867	2.978	1.974	0.922	-1.366	0.172	-0.269	-0.802	-0.335	-0.246	0.157	0.358	-0.440	0.202	-0.092	-0.445	0.969	-0.330	-1.738	-1.901	-1.621	-2.143	-4.302	-4.942	-2.889	-1.265	-2.567	-0.137	-1.665
735000000	1.586	0.350	-1.433	-1.835	-1.457	-0.467	-1.194	-1.017	0.403	1.326	1.217	1.075	0.756	1.351	0.753	0.934	1.344	0.395	-0.293	-0.177	0.467	-0.397	-0.457	-0.208	0.450	-0.673	0.149	0.015	-0.837	-0.871	-0.866	0.737	0.665	0.362	-0.216	-0.918	-1.118	-0.675	-0.600	-0.960	-0.887	-1.166	-1.115	-1.200	-0.847	-1.646	-2.103	-1.822	-2.746	-2.049
736000000	-2.766	-2.549	-1.699	-2.048	-1.231	-0.778	-1.280	-1.234	-0.649	-0.292	-0.040	0.320	0.218	0.219	0.630	0.637	0.158	-0.369	-0.521	-0.052	-0.011	-0.003	0.144	0.068	-0.054	-0.805	-0.285	-0.686	-0.833	-0.142	-0.081	0.081	0.116	-0.232	-0.549	-0.329	-1.014	-1.122	-1.479	-1.799	-2.571	-2.523	-3.017	-3.660	-3.833	-4.010	-3.231	-2.979	-3.266	-3.563
737000000	-2.790	-2.757	-1.652	-1.696	-0.896	-0.417	-1.130	-0.212	-0.100	0.844	1.169	1.289	2.288	1.392	1.067	0.906	0.350	0.730	0.374	0.401	1.681	1.163	0.074	0.344	-0.317	-0.674	0.289	0.221	-0.153	0.478	0.342	-0.154	0.123	0.289	-0.303	-0.158	-0.451	-0.788	-0.731	-1.219	-0.724	-1.393	-1.894	-1.324	-0.965	-1.517	-1.943	-2.494	-2.068	-3.420
738000000	-4.250	-2.105	-2.601	-2.129	-1.252	-0.019	-2.201	-0.709	0.321	1.548	2.163	0.787	0.942	0.409	0.545	0.930	0.018	-0.037	-0.254	-0.102	0.449	1.073	0.912	1.345	0.387	-1.047	1.562	1.260	-0.655	0.682	0.556	0.543	-0.011	-0.402	0.202	1.773	1.170	0.806	-0.943	-0.924	-0.210	-0.676	-1.827	-1.678	-2.016	-1.397	-2.590	-2.748	-2.605	-2.272
739000000	-4.445	-3.259	-2.865	-2.099	-0.973	-0.717	-1.344	-0.545	0.199	1.150	0.735	0.563	0.251	0.644	1.487	1.498	0.572	-0.199	-0.012	-0.230	0.291	0.605	2.095	1.071	0.694	-0.845	-0.269	-0.477	-0.307	-0.138	-0.445	0.429	-0.127	-0.040	0.691	-0.621	-1.053	-1.659	-1.189	-2.574	-2.155	-2.777	-2.544	-4.013	-3.183	-3.565	-3.425	-2.790	-2.614	-2.906
740000000	-3.216	-3.605	-3.194	-1.631	-1.382	-1.378	-1.374	-0.469	0.058	1.276	2.433	1.269	0.769	1.728	1.473	0.671	0.715	0.742	-0.742	0.371	0.369	0.865	-0.636	0.980	-0.158	-0.962	0.372	0.921	-0.302	0.796	0.607	1.800	0.769	0.115	-0.403	0.370	0.261	-0.847	-0.141	-0.349	-2.096	-1.219	-1.628	-1.413	-3.666	-1.386	-1.418	-0.783	-0.655	-0.394
741000000	-0.370	-2.083	-1.869	-2.451	-1.725	-0.774	-0.995	-0.997	0.463	0.683	0.579	0.735	0.713	0.684	0.502	0.216	1.457	0.498	-0.246	-0.021	1.007	1.265	1.190	1.334	0.436	-0.811	-0.557	-0.554	-0.766	-0.354	-1.221	0.122	0.526	0.410	-0.577	-0.977	-1.375	-1.578	-2.204	-2.317	-1.075	-0.353	-1.426	-2.256	-2.128	-2.314	-2.540	-2.315	-2.783	-3.074
742000000	-2.594	-1.706	-3.050	-1.892	-0.220	-1.012	-2.354	-1.557	1.869	2.870	0.565	1.603	0.945	1.940	0.846	0.747	0.873	2.383	-1.032	-0.715	0.760	1.110	0.174	3.597	0.754	-0.880	0.653	1.080	-1.301	0.930	-0.290	0.919	1.508	-0.424	3.957	2.708	-0.094	-0.243	-0.419	-0.876	-0.938	-1.582	-1.966	-3.077	-1.377	-3.007	-2.579	-2.743	-1.392	-1.533
743000000	-4.508	-3.338	-3.425	-2.174	-1.841	-0.941	-1.216	-0.802	0.997	1.970	3.599	2.343	0.072	0.328	1.253	1.241	1.036	0.832	-0.933	-1.001	0.964	-0.200	1.264	0.828	0.170	-0.991	-0.392	1.007	-0.657	1.282	-0.589	0.167	0.045	0.353	-0.880	1.274	-0.324	-0.310	-1.289	-2.064	-0.284	-1.373	-1.146	-2.222	-1.507	-2.268	-4.303	-2.285	-4.015	-6.538
744000000	-3.383	-2.674	-1.888	-1.947	-0.611	-1.036	-1.637	-1.225	0.363	0.488	0.713	0.851	0.331	0.964	1.622	1.490	0.303	0.672	0.928	-0.219	-0.185	0.628	0.515	1.065	1.034	-0.227	-0.328	0.039	-0.843	0.136	-0.106	0.093	0.026	0.393	0.613	0.383	0.109	0.486	-0.006	-0.595	-0.900	-2.029	-2.229	-2.691	-2.015	-2.473	-3.558	-4.341	-3.580	-4.559
745000000	-2.731	-1.146	-1.458	-1.836	-0.905	0.480	-1.713	-0.080	2.266	2.035	1.851	2.678	2.403	2.033	0.013	2.729	3.958	0.923	-0.121	-0.580	2.522	3.377	2.902	1.316	0.690	-1.484	0.530	0.176	-0.722	-0.369	0.036	0.562	1.262	-0.215	0.169	0.295	1.678	0.313	-0.793	-1.130	-0.562	-2.173	-2.669	-2.491	-4.488	-4.844	-5.346	-6.992	-8.314	-7.584
746000000	-1.668	-2.625	-2.089	-2.085	-1.345	-1.228	-1.138	-0.791	-0.523	0.153	0.479	0.796	0.544	1.320	1.266	0.970	0.427	0.519	0.143	-0.315	0.136	0.334	0.046	0.617	0.284	-0.684	-0.613	-0.947	-0.534	-0.311	-0.029	0.356	0.443	0.270	0.890	0.367	0.633	0.361	0.865	0.079	0.159	-1.068	-1.639	-1.347	-1.778	-1.501	-1.733	-1.644	-2.410	-2.463
747000000	-1.365	-1.457	-1.465	-1.673	-0.602	-0.965	-1.771	-0.929	-0.063	0.405	-0.165	0.078	0.430	1.356	1.676	1.488	0.414	-0.412	-0.295	0.043	0.289	0.825	1.975	1.510	-0.378	-0.251	-0.718	0.186	0.472	0.423	0.523	0.517	-0.097	-0.269	-0.820	-0.941	-1.470	-0.757	-1.034	-1.649	-2.211	-1.706	-2.040	-2.359	-1.871	-2.664	-2.079	-2.250	-2.612	-3.542
748000000	-5.434	-3.704	-3.159	-2.230	-0.812	-0.534	-1.472	-1.426	-0.126	1.635	1.574	0.952	0.503	2.065	0.712	2.002	0.235	0.464	-0.939	0.178	0.387	0.492	0.994	1.150	-0.054	-1.030	-0.279	1.214	-0.754	-0.805	-1.320	-1.001	0.256	-0.456	-0.043	1.857	-0.470	-0.064	-1.032	-0.760	-1.431	-1.261	-1.951	-2.884	-1.811	-0.325	-0.023	-1.327	-1.889	-1.473
