state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.073	8.277	0.1638	0.1517	0.9647	1.0706	0.3096	0.2307	0.2034	0.2563	0.2872	0.2275	0.2363	0.2491	1.0252E-3	6.3817E-4	9.633E-4	0.6336	2.051E-2	0.922	1.617	24.771
2000000	10.653	9.245	3.9693E-2	1.4056	0.9053	1.1894	0.3140	0.2275	0.2048	0.2537	0.3068	0.2098	0.2194	0.2640	1.0133E-3	8.87E-4	9.1617E-4	0.8317	-2.1872E-2	1.941	1.655	25.868
3000000	7.367	7.340	0.3433	1.2184	0.8886	1.2229	0.3193	0.2277	0.1965	0.2565	0.2870	0.2197	0.2468	0.2465	9.3203E-4	7.4873E-4	8.6598E-4	0.7792	-3.5908E-2	1.260	1.765	28.434
4000000	8.372	11.520	0.5988	0.5061	0.8650	1.2700	0.3175	0.2238	0.2016	0.2571	0.2936	0.2163	0.2323	0.2579	1.0196E-3	9.3674E-4	9.1015E-4	0.7895	2.4339E-2	3.022	1.644	26.379
5000000	7.031	5.181	6.8283E-2	0.2836	0.9406	1.1189	0.3166	0.2259	0.1940	0.2636	0.2956	0.2285	0.2287	0.2471	9.2941E-4	6.1147E-4	8.7607E-4	0.6625	3.0962E-2	2.059	1.683	28.338
6000000	7.841	10.106	5.8322E-2	0.1627	0.9195	1.1611	0.3133	0.2276	0.2029	0.2562	0.2900	0.2260	0.2313	0.2527	9.8145E-4	8.023E-4	9.0503E-4	0.9040	1.9304E-2	8.766	1.594	26.086
7000000	7.759	9.210	6.6713E-3	0.2595	0.9218	1.1564	0.3193	0.2313	0.2023	0.2471	0.2940	0.2293	0.2345	0.2422	8.2652E-4	6.8541E-4	8.4232E-4	0.8238	-8.7703E-3	3.187	1.670	28.147
8000000	7.429	7.351	6.7821E-2	0.4573	0.8391	1.3219	0.3203	0.2256	0.2001	0.2540	0.2969	0.2107	0.2373	0.2551	1.0031E-3	6.8688E-4	8.8946E-4	0.6906	-8.4289E-2	1.516	1.652	27.410
9000000	6.822	13.061	5.7045E-2	0.4734	0.9019	1.1962	0.3031	0.2377	0.2051	0.2542	0.2960	0.2223	0.2300	0.2517	1.0261E-3	8.5762E-4	9.1015E-4	0.6978	-1.0219E-2	3.601	1.656	25.884
10000000	8.221	7.115	8.5008E-2	0.6031	0.9354	1.1293	0.3167	0.2264	0.1987	0.2582	0.2950	0.2253	0.2301	0.2496	1.128E-3	1.2265E-3	9.6878E-4	1.0667	-5.8215E-2	1.765	1.600	25.433
