state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
185000000	9.209	8.272	0.1723	0.7134	0.9307	1.1385	0.3180	0.2301	0.1966	0.2553	0.2919	0.2145	0.2460	0.2476	9.1992E-4	6.658E-4	8.5177E-4	0.7128	-1.7179E-2	4.583	1.699	27.398
186000000	9.297	5.301	0.2487	0.6949	0.9372	1.1256	0.3203	0.2283	0.1965	0.2549	0.2923	0.2166	0.2459	0.2452	1.0652E-3	1.3565E-3	9.2452E-4	1.0911	6.6406E-2	1.945	1.628	25.262
187000000	7.845	9.109	0.1298	0.5281	0.9338	1.1325	0.3204	0.2281	0.2021	0.2494	0.2913	0.2202	0.2398	0.2487	8.5861E-4	5.6875E-4	8.1509E-4	0.6563	9.2133E-3	2.234	1.673	27.152
188000000	7.042	9.926	0.3226	0.8742	0.9490	1.1020	0.3118	0.2210	0.2036	0.2636	0.2958	0.2182	0.2247	0.2612	9.7436E-4	6.0685E-4	8.837E-4	0.6685	7.6317E-2	2.954	1.643	27.233
189000000	10.539	11.399	2.9288E-2	0.2394	0.9406	1.1189	0.3152	0.2312	0.2001	0.2535	0.2903	0.2248	0.2304	0.2545	8.0652E-4	6.7632E-4	7.9648E-4	0.7638	-9.3782E-3	1.494	1.623	28.731
190000000	6.099	6.670	2.0522E-2	0.3808	0.9337	1.1327	0.3006	0.2362	0.2027	0.2606	0.2923	0.2219	0.2360	0.2498	8.8164E-4	7.6055E-4	7.5201E-4	0.8292	-4.7074E-2	1.991	1.637	30.022
191000000	8.987	7.175	0.2100	0.7909	0.9598	1.0804	0.3125	0.2346	0.2004	0.2525	0.2920	0.2183	0.2361	0.2537	1.0386E-3	9.5439E-4	8.7585E-4	0.8194	-3.2692E-2	1.239	1.797	26.844
192000000	8.637	10.644	2.3892E-2	0.6827	0.9204	1.1592	0.3137	0.2238	0.2090	0.2536	0.2969	0.2143	0.2317	0.2571	8.41E-4	7.9871E-4	7.7762E-4	0.9481	-1.6758E-2	1.584	1.721	27.991
193000000	9.688	7.974	0.1164	0.5770	0.8732	1.2537	0.3082	0.2323	0.2105	0.2491	0.2828	0.2271	0.2368	0.2533	9.6009E-4	9.2549E-4	8.6327E-4	0.8909	1.795E-2	3.332	1.813	25.696
194000000	7.630	11.811	9.7408E-2	0.2617	0.8802	1.2396	0.3123	0.2320	0.2041	0.2516	0.2934	0.2215	0.2302	0.2549	9.4611E-4	8.7499E-4	8.2437E-4	0.8788	2.1991E-2	0.768	1.998	30.200
195000000	9.716	6.551	4.0606E-2	0.4722	0.9520	1.0961	0.3141	0.2252	0.2031	0.2577	0.2889	0.2257	0.2287	0.2566	8.9231E-4	7.3449E-4	8.4012E-4	0.8114	1.8523E-2	2.235	1.624	27.297
196000000	10.526	10.791	5.343E-2	1.1334	0.9606	1.0789	0.3091	0.2280	0.2040	0.2589	0.2888	0.2180	0.2364	0.2569	9.1932E-4	8.7232E-4	7.7301E-4	0.9223	2.9944E-2	0.417	1.693	29.091
197000000	9.075	8.767	0.1706	0.7133	0.8715	1.2570	0.3116	0.2274	0.2055	0.2556	0.3018	0.2214	0.2346	0.2422	8.3774E-4	7.7188E-4	7.8147E-4	0.8268	-6.6599E-2	2.816	1.704	28.487
198000000	6.421	13.169	5.8192E-2	0.2466	0.9149	1.1701	0.3092	0.2276	0.2003	0.2629	0.2959	0.2133	0.2309	0.2599	7.3907E-4	4.7263E-4	7.2558E-4	0.6394	-3.1013E-2	0.449	1.658	30.476
199000000	7.704	7.449	3.5751E-2	0.9951	0.9204	1.1593	0.3105	0.2296	0.2095	0.2504	0.2919	0.2183	0.2419	0.2479	1.0722E-3	1.2388E-3	8.6696E-4	0.9852	-6.3208E-2	2.790	1.616	27.040
200000000	10.317	7.689	0.1496	0.8950	0.8835	1.2330	0.3167	0.2266	0.2037	0.2529	0.2955	0.2202	0.2394	0.2449	9.8393E-4	8.9654E-4	8.7984E-4	0.9319	4.5912E-2	1.330	1.643	28.413
