state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.359	7.400	6.7335E-2	0.4545	0.8313	1.3375	0.3078	0.2277	0.2059	0.2585	0.2931	0.2287	0.2248	0.2534	8.6588E-4	7.6198E-4	8.1738E-4	0.8396	-3.7378E-3	0.849	1.755	28.031
2000000	9.290	7.835	4.6618E-2	1.0127	0.9202	1.1596	0.3141	0.2344	0.2015	0.2500	0.2916	0.2301	0.2275	0.2507	8.8164E-4	5.3356E-4	8.0753E-4	0.6237	-4.5809E-2	1.168	1.697	28.589
3000000	7.822	9.487	0.1491	0.3032	0.9418	1.1165	0.3150	0.2265	0.2013	0.2572	0.2900	0.2189	0.2365	0.2546	9.3562E-4	5.7763E-4	8.3126E-4	0.6385	-7.5066E-2	1.425	1.646	26.733
4000000	7.701	10.822	4.0817E-2	0.2034	0.9456	1.1088	0.3186	0.2280	0.2062	0.2473	0.2789	0.2259	0.2368	0.2583	8.7939E-4	6.7539E-4	7.5911E-4	0.7420	5.5481E-2	0.480	1.603	28.508
5000000	9.730	7.838	7.0093E-2	0.6954	0.9177	1.1646	0.3189	0.2243	0.2005	0.2563	0.2973	0.2209	0.2312	0.2506	1.0175E-3	9.7454E-4	9.1358E-4	0.8559	7.2579E-2	3.316	1.707	27.699
6000000	8.026	6.688	0.1091	0.4880	0.9228	1.1544	0.3208	0.2344	0.2017	0.2432	0.2932	0.2211	0.2320	0.2537	9.7098E-4	7.0831E-4	9.0769E-4	0.7164	-6.6296E-2	0.464	1.588	28.705
7000000	6.426	8.035	1.8005E-2	0.2266	0.8813	1.2374	0.3163	0.2280	0.2009	0.2548	0.2908	0.2191	0.2440	0.2460	1.1425E-3	1.2883E-3	9.3278E-4	0.8816	4.5609E-2	1.874	1.657	26.266
8000000	8.345	7.304	0.1121	1.0310	0.9215	1.1571	0.3173	0.2287	0.1992	0.2548	0.2950	0.2269	0.2365	0.2416	9.5534E-4	8.3464E-4	8.51E-4	0.8026	-2.324E-2	0.360	1.680	28.583
9000000	7.690	7.561	2.431E-2	0.3872	0.9581	1.0838	0.3099	0.2280	0.2056	0.2565	0.3037	0.2117	0.2345	0.2502	8.9324E-4	6.1781E-4	8.0143E-4	0.6720	-4.5089E-2	1.084	1.610	28.837
10000000	8.045	8.091	0.1433	0.2550	0.9619	1.0762	0.3088	0.2288	0.2031	0.2593	0.2939	0.2167	0.2396	0.2498	1.0145E-3	8.6866E-4	9.4123E-4	0.8864	-3.5118E-2	9.770	1.727	24.450
11000000	8.140	9.582	5.3899E-2	0.2600	0.9876	1.0247	0.3183	0.2257	0.2027	0.2534	0.2847	0.2218	0.2369	0.2565	1.0334E-3	1.1165E-3	8.7206E-4	0.9157	4.0122E-2	1.535	1.615	26.400
12000000	6.603	8.096	2.7244E-2	0.3415	0.8564	1.2872	0.3121	0.2360	0.2003	0.2516	0.2936	0.2254	0.2262	0.2548	1.1822E-3	1.1161E-3	9.6672E-4	0.9955	1.2202E-2	2.847	1.682	25.370
