state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	9.784	8.123	5.0812E-2	0.5047	0.9005	1.1989	0.3235	0.2316	0.1989	0.2459	0.2889	0.2089	0.2471	0.2551	9.9478E-4	6.7001E-4	9.0235E-4	0.6295	7.6845E-2	4.027	1.870	26.522
2000000	8.702	6.789	9.5889E-2	1.0398	0.9183	1.1633	0.3178	0.2251	0.2004	0.2567	0.3008	0.2157	0.2305	0.2530	9.198E-4	6.4099E-4	8.3815E-4	0.7065	-2.3767E-2	5.369	1.608	26.240
3000000	9.878	8.859	6.085E-2	8.5997E-2	0.8624	1.2752	0.3164	0.2284	0.2055	0.2496	0.2923	0.2280	0.2319	0.2479	9.1516E-4	6.8995E-4	8.2755E-4	0.7023	4.6203E-3	3.532	1.657	27.886
4000000	8.128	9.795	0.1844	0.2216	0.8977	1.2046	0.3084	0.2298	0.2068	0.2550	0.2883	0.2204	0.2410	0.2503	8.6958E-4	8.3527E-4	8.0118E-4	0.9250	4.2834E-2	1.663	1.575	28.341
5000000	8.093	10.156	0.2156	0.3062	0.9302	1.1396	0.3117	0.2360	0.2006	0.2516	0.2923	0.2203	0.2332	0.2542	1.0443E-3	1.0101E-3	8.6795E-4	0.8440	8.1825E-3	5.754	1.653	26.246
6000000	10.558	8.153	1.0336E-2	0.7039	0.9784	1.0431	0.3097	0.2199	0.2079	0.2625	0.2897	0.2194	0.2337	0.2572	9.0098E-4	7.9356E-4	8.0245E-4	0.8361	5.9418E-3	0.432	1.607	27.102
7000000	7.709	8.845	7.0429E-2	0.9306	0.9338	1.1324	0.3096	0.2391	0.1937	0.2577	0.3036	0.2190	0.2260	0.2514	9.0938E-4	6.0953E-4	8.2796E-4	0.6652	3.3805E-2	0.847	1.631	29.057
8000000	9.142	10.370	0.1540	0.9799	0.8843	1.2315	0.3085	0.2352	0.2053	0.2511	0.2960	0.2111	0.2402	0.2526	9.3557E-4	8.8265E-4	8.552E-4	0.9569	-4.7662E-2	3.460	1.807	27.863
9000000	8.995	6.447	0.1245	0.6227	0.9199	1.1603	0.3174	0.2339	0.2011	0.2477	0.2962	0.2207	0.2325	0.2506	1.0236E-3	9.0782E-4	9.0741E-4	0.7978	-3.0634E-2	1.689	1.899	28.019
10000000	9.880	8.023	0.1070	0.4836	0.9421	1.1158	0.3110	0.2274	0.1991	0.2626	0.2936	0.2244	0.2290	0.2530	1.0001E-3	6.961E-4	8.9334E-4	0.7400	-3.7438E-2	4.225	1.605	28.049
11000000	6.762	9.861	0.2988	1.1542	0.9353	1.1295	0.3141	0.2244	0.2043	0.2572	0.2972	0.2162	0.2357	0.2509	1.0576E-3	9.5443E-4	9.095E-4	0.8642	2.4727E-3	1.204	1.747	26.666
12000000	9.788	8.214	9.5339E-2	0.7832	0.8932	1.2137	0.3100	0.2276	0.2101	0.2523	0.2830	0.2310	0.2411	0.2448	8.3923E-4	7.8958E-4	7.7568E-4	0.9356	5.2586E-2	2.692	1.691	27.194
