state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	10.277	9.350	0.1888	1.0678	0.9015	1.1971	0.3085	0.2305	0.2003	0.2606	0.2890	0.2207	0.2384	0.2519	8.9765E-4	8.6692E-4	7.853E-4	0.9495	1.0885E-2	0.794	1.746	29.407
2000000	7.226	10.400	0.1628	0.2520	0.9536	1.0928	0.3129	0.2269	0.2077	0.2525	0.2987	0.2109	0.2344	0.2559	8.2464E-4	6.3952E-4	7.8563E-4	0.7292	-6.633E-3	0.517	1.708	29.721
3000000	11.460	7.996	0.1963	0.5827	0.8450	1.3101	0.3104	0.2260	0.2059	0.2578	0.2999	0.2227	0.2270	0.2504	9.5835E-4	7.8749E-4	8.3757E-4	0.8693	9.2898E-3	1.160	1.608	26.967
4000000	6.889	8.249	2.488E-2	0.9383	0.9562	1.0877	0.3142	0.2375	0.1964	0.2519	0.2898	0.2237	0.2375	0.2490	7.964E-4	7.7308E-4	8.1003E-4	0.9473	-3.7402E-2	1.494	1.679	27.239
5000000	8.491	9.343	0.1029	0.4972	0.9155	1.1691	0.3162	0.2296	0.2023	0.2519	0.3043	0.2127	0.2390	0.2439	1.0888E-3	7.999E-4	9.3669E-4	0.7112	-7.3361E-3	0.749	1.753	27.515
6000000	13.976	10.192	2.3494E-2	0.3339	0.9557	1.0885	0.3064	0.2388	0.2041	0.2507	0.2861	0.2253	0.2356	0.2530	9.2591E-4	7.7748E-4	8.1814E-4	0.7431	-1.2247E-2	0.411	1.583	27.529
7000000	9.296	7.766	6.749E-2	0.8450	0.9163	1.1675	0.3159	0.2249	0.2006	0.2585	0.3030	0.2141	0.2250	0.2579	1.0293E-3	8.2179E-4	9.1123E-4	0.7392	-3.6448E-2	19.786	1.731	25.739
8000000	5.796	9.178	3.3434E-2	0.4544	0.9230	1.1539	0.3093	0.2299	0.2065	0.2543	0.2978	0.2220	0.2274	0.2528	9.8229E-4	9.7136E-4	9.0183E-4	1.0099	-5.2647E-2	1.869	1.752	25.953
9000000	12.311	9.568	0.1443	0.5351	0.9540	1.0920	0.3098	0.2299	0.2027	0.2576	0.2999	0.2277	0.2189	0.2535	9.9674E-4	6.231E-4	9.0189E-4	0.5873	2.0979E-2	4.967	1.870	28.120
10000000	8.923	11.651	3.7157E-2	0.2253	0.9275	1.1451	0.3191	0.2277	0.1995	0.2538	0.2873	0.2225	0.2381	0.2521	8.571E-4	6.6491E-4	7.9712E-4	0.7989	3.1643E-2	0.987	1.647	28.539
