state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	6.782	5.360	0.1396	0.9558	0.8352	1.3296	0.3139	0.2319	0.2011	0.2531	0.2997	0.2128	0.2377	0.2498	8.7937E-4	6.6731E-4	8.2117E-4	0.7285	4.5456E-2	2.405	1.684	27.352
2000000	7.217	7.672	0.2758	0.3285	0.9218	1.1565	0.3177	0.2275	0.2014	0.2534	0.2994	0.2216	0.2282	0.2508	8.205E-4	6.2472E-4	7.3576E-4	0.7702	4.2399E-2	0.706	1.660	30.499
3000000	8.177	9.506	0.1436	0.1123	0.9307	1.1386	0.3260	0.2248	0.1939	0.2552	0.2821	0.2146	0.2501	0.2532	9.3765E-4	8.0599E-4	8.5987E-4	0.7194	-6.8064E-2	1.544	1.836	28.230
4000000	9.269	14.505	6.5544E-2	0.2380	0.9487	1.1026	0.3203	0.2257	0.2032	0.2508	0.3016	0.2196	0.2279	0.2509	8.5247E-4	8.72E-4	7.5601E-4	0.9993	-3.7408E-2	0.591	1.682	29.314
5000000	8.376	7.323	9.8441E-3	7.9777E-2	0.9455	1.1090	0.3194	0.2295	0.2014	0.2497	0.2954	0.2149	0.2344	0.2552	8.0038E-4	6.1774E-4	7.7168E-4	0.7821	-5.5183E-2	3.000	1.650	28.988
6000000	8.409	8.502	2.3473E-2	0.4288	0.9297	1.1406	0.3182	0.2262	0.1978	0.2577	0.2935	0.2174	0.2413	0.2478	1.0197E-3	7.8223E-4	9.3547E-4	0.7509	4.4965E-2	1.134	1.593	26.960
7000000	9.218	7.005	3.1555E-2	0.4754	0.9598	1.0803	0.3145	0.2203	0.2069	0.2584	0.2960	0.2225	0.2349	0.2467	9.184E-4	5.8331E-4	8.2976E-4	0.6346	-3.8679E-2	0.756	1.728	30.455
8000000	8.059	9.621	0.4487	0.4439	0.9559	1.0882	0.3098	0.2318	0.2004	0.2580	0.3097	0.2147	0.2222	0.2534	1.0008E-3	9.1349E-4	9.2064E-4	0.8684	-3.36E-2	5.821	1.966	28.580
9000000	8.267	8.620	0.1082	1.0131	0.9139	1.1722	0.3135	0.2292	0.1982	0.2591	0.2925	0.2127	0.2439	0.2509	1.0287E-3	7.8766E-4	8.8242E-4	0.7585	5.292E-2	1.001	1.663	25.234
10000000	6.430	7.910	0.1876	0.2420	0.8891	1.2218	0.3174	0.2268	0.1981	0.2577	0.3011	0.2124	0.2347	0.2518	8.6536E-4	4.9588E-4	7.8941E-4	0.5415	-3.4811E-2	1.650	1.619	27.185
11000000	8.659	8.926	0.1110	0.9688	0.9657	1.0686	0.3127	0.2250	0.2015	0.2607	0.2940	0.2235	0.2311	0.2515	1.0004E-3	8.9972E-4	9.1052E-4	0.8407	-2.69E-4	3.263	1.605	26.736
12000000	7.362	8.576	0.2938	0.1758	0.8164	1.3672	0.3141	0.2266	0.2055	0.2537	0.2892	0.2165	0.2405	0.2538	1.1127E-3	9.489E-4	9.3518E-4	0.7745	1.1263E-2	5.448	1.581	25.530
13000000	8.472	12.584	3.7348E-2	0.4417	0.9470	1.1061	0.3044	0.2281	0.2042	0.2633	0.2997	0.2230	0.2290	0.2483	1.0149E-3	1.1308E-3	8.1579E-4	1.0863	1.8859E-3	2.534	1.637	27.619
14000000	7.059	6.966	3.6418E-2	0.2323	0.9122	1.1756	0.3193	0.2252	0.2037	0.2518	0.2972	0.2140	0.2297	0.2591	9.6758E-4	6.9732E-4	9.0305E-4	0.7397	1.869E-2	1.731	1.577	26.297
15000000	8.524	9.189	0.1202	0.4945	0.9374	1.1252	0.3184	0.2250	0.1976	0.2590	0.2887	0.2188	0.2374	0.2551	8.4533E-4	5.4645E-4	7.8541E-4	0.6907	-5.6269E-3	0.571	1.563	29.639
16000000	8.617	6.173	5.7848E-2	0.4940	0.9199	1.1603	0.3155	0.2290	0.1992	0.2563	0.2920	0.2276	0.2334	0.2469	1.0056E-3	9.6585E-4	8.9327E-4	0.8705	-7.7475E-3	3.886	1.670	25.565
17000000	6.288	9.953	0.1215	0.4262	0.9231	1.1539	0.3205	0.2279	0.1986	0.2530	0.3019	0.2127	0.2306	0.2548	9.0828E-4	9.2915E-4	7.8124E-4	0.8568	5.8591E-3	0.420	1.631	27.419
18000000	8.430	9.119	0.2220	0.5147	0.9193	1.1614	0.3160	0.2266	0.2043	0.2531	0.2858	0.2271	0.2292	0.2579	1.0522E-3	9.5558E-4	8.6432E-4	0.8781	-6.8378E-2	1.540	1.657	26.737
19000000	7.771	5.709	0.1610	0.7784	0.8738	1.2524	0.3160	0.2282	0.2076	0.2481	0.2960	0.2193	0.2317	0.2530	9.9197E-4	7.4549E-4	8.8083E-4	0.7203	-3.4081E-2	1.639	1.667	27.278
20000000	10.319	7.595	0.1227	1.1260	0.9434	1.1133	0.3194	0.2257	0.1955	0.2594	0.2939	0.2135	0.2375	0.2551	1.015E-3	8.6146E-4	8.4292E-4	0.7711	-4.7121E-2	1.324	1.572	27.491
21000000	8.313	12.185	3.9343E-2	0.3938	0.9443	1.1113	0.3158	0.2339	0.1917	0.2586	0.2866	0.2212	0.2416	0.2505	9.3734E-4	7.3947E-4	8.8735E-4	0.8089	-3.7071E-2	1.117	1.674	25.821
22000000	9.403	8.459	0.1186	2.0815	0.9002	1.1997	0.3130	0.2244	0.2036	0.2590	0.2856	0.2267	0.2395	0.2482	9.4992E-4	6.7828E-4	8.4205E-4	0.6968	2.9928E-2	1.950	1.719	28.393
23000000	8.807	9.182	1.7494E-2	0.1367	0.9471	1.1057	0.3112	0.2248	0.2079	0.2560	0.2889	0.2236	0.2396	0.2478	1.0544E-3	1.0456E-3	8.9894E-4	0.8751	-1.0103E-2	0.404	1.563	27.823
24000000	8.842	8.021	7.6145E-2	1.0178	0.8858	1.2284	0.3113	0.2265	0.2050	0.2572	0.2896	0.2272	0.2349	0.2482	9.3397E-4	7.4891E-4	7.8234E-4	0.7734	-1.9345E-2	0.602	1.598	29.050
25000000	6.716	8.249	0.1301	1.3597	0.8843	1.2314	0.3154	0.2294	0.1995	0.2557	0.2957	0.2220	0.2336	0.2486	7.7722E-4	6.2561E-4	7.2399E-4	0.7623	1.4355E-2	2.431	1.699	30.328
26000000	8.875	6.318	3.2842E-2	0.8900	0.9564	1.0872	0.3193	0.2259	0.1992	0.2555	0.2885	0.2163	0.2301	0.2650	1.033E-3	8.3993E-4	9.4487E-4	0.7726	-1.5888E-2	1.255	1.600	25.667
27000000	7.285	8.645	0.2080	5.6073E-2	0.9078	1.1844	0.3110	0.2316	0.1986	0.2587	0.3028	0.2238	0.2313	0.2420	8.7576E-4	8.2397E-4	7.917E-4	0.9386	-9.3717E-2	0.990	1.724	29.546
28000000	5.846	7.312	6.341E-2	0.4733	0.9250	1.1500	0.3107	0.2299	0.2041	0.2554	0.3021	0.2205	0.2230	0.2543	1.0651E-3	8.1952E-4	9.2056E-4	0.7179	2.6987E-2	4.939	1.615	27.540
29000000	8.768	6.901	0.1396	0.2285	0.9414	1.1173	0.3111	0.2365	0.2005	0.2520	0.3024	0.2222	0.2296	0.2458	8.7526E-4	5.604E-4	8.2753E-4	0.6860	-4.491E-2	2.194	1.827	28.082
30000000	9.439	8.846	0.1342	0.3375	0.9544	1.0912	0.3148	0.2310	0.2023	0.2519	0.2976	0.2181	0.2391	0.2453	1.0532E-3	9.7325E-4	9.237E-4	0.8546	-4.5774E-2	2.898	1.636	26.403
31000000	6.689	9.066	7.3698E-2	1.0520	0.8784	1.2432	0.3174	0.2270	0.2049	0.2507	0.2949	0.2174	0.2315	0.2562	9.1197E-4	7.1785E-4	7.9693E-4	0.7819	-1.1916E-3	2.032	1.656	27.876
32000000	10.419	8.603	7.1236E-2	2.4327	0.9614	1.0773	0.3113	0.2279	0.2080	0.2529	0.2940	0.2159	0.2474	0.2426	1.0634E-3	1.0739E-3	8.8737E-4	0.9643	5.853E-2	4.633	1.611	25.160
33000000	10.073	11.125	3.6566E-2	0.3822	0.9857	1.0285	0.3194	0.2322	0.1945	0.2538	0.2915	0.2230	0.2331	0.2524	1.2684E-3	1.4643E-3	1.0025E-3	1.0559	-5.0758E-2	1.573	1.634	25.319
34000000	5.933	5.038	0.1664	0.4121	0.8548	1.2905	0.3122	0.2322	0.2026	0.2531	0.2973	0.2288	0.2234	0.2504	1.0005E-3	4.6802E-4	9.874E-4	0.4629	-2.0106E-2	3.717	1.629	25.125
35000000	9.007	10.238	9.2324E-2	1.2041	0.9185	1.1630	0.3139	0.2244	0.2001	0.2616	0.2905	0.2133	0.2475	0.2487	8.9381E-4	6.1687E-4	7.7973E-4	0.6632	6.2697E-2	0.756	1.645	29.222
36000000	7.676	10.288	4.4652E-2	0.9302	0.9456	1.1089	0.3155	0.2311	0.1987	0.2548	0.2964	0.2185	0.2333	0.2518	8.7726E-4	5.9993E-4	8.5571E-4	0.6368	4.0722E-2	1.909	1.710	28.098
37000000	7.442	7.399	2.7799E-2	0.1703	0.9268	1.1465	0.3154	0.2317	0.2033	0.2496	0.2910	0.2211	0.2282	0.2596	8.9072E-4	5.4572E-4	9.2222E-4	0.6240	-7.624E-2	2.924	1.829	27.316
38000000	6.696	10.511	4.8642E-2	0.7892	0.9670	1.0660	0.3163	0.2255	0.2035	0.2547	0.3011	0.2190	0.2319	0.2481	1.0548E-3	9.9976E-4	9.4725E-4	0.8530	4.0708E-2	2.156	1.694	26.333
39000000	10.691	8.261	0.1466	0.2956	0.8997	1.2007	0.3090	0.2317	0.2073	0.2519	0.2935	0.2304	0.2261	0.2501	1.0226E-3	9.6307E-4	8.6849E-4	0.8988	-4.22E-2	1.107	1.718	27.100
40000000	9.712	9.978	5.5604E-2	0.2656	0.8757	1.2487	0.3093	0.2325	0.1987	0.2594	0.2938	0.2226	0.2356	0.2480	8.7311E-4	6.3925E-4	7.9583E-4	0.7524	-7.7104E-2	7.441	1.929	28.847
41000000	6.456	8.190	1.9269E-2	0.7419	0.9468	1.1064	0.3108	0.2333	0.2026	0.2533	0.2988	0.2223	0.2349	0.2439	9.8504E-4	7.4685E-4	8.8708E-4	0.7571	5.568E-3	2.733	1.754	26.120
42000000	7.697	11.600	6.0058E-2	0.2186	0.8343	1.3314	0.3137	0.2388	0.1910	0.2564	0.2969	0.2201	0.2299	0.2532	7.7262E-4	5.5609E-4	7.9428E-4	0.7264	-2.6464E-3	0.572	1.676	29.438
43000000	8.489	12.792	0.4313	0.5390	0.8932	1.2137	0.3204	0.2226	0.2008	0.2561	0.2963	0.2103	0.2354	0.2580	1.0822E-3	1.0893E-3	8.7534E-4	0.8796	-7.6751E-3	2.773	1.592	28.294
44000000	9.841	7.311	2.119E-2	0.2981	0.9299	1.1402	0.3209	0.2319	0.2038	0.2434	0.3008	0.2143	0.2359	0.2490	9.9531E-4	5.849E-4	9.0336E-4	0.5939	7.3685E-3	0.852	1.632	26.834
45000000	9.366	7.738	0.1599	0.3768	0.9195	1.1611	0.3213	0.2320	0.1916	0.2550	0.2991	0.2228	0.2250	0.2531	8.819E-4	7.1006E-4	8.0347E-4	0.7790	4.3818E-3	1.808	1.614	28.827
46000000	10.372	7.802	0.1286	0.4035	0.9516	1.0968	0.3118	0.2272	0.2027	0.2583	0.2888	0.2231	0.2296	0.2585	9.6427E-4	8.7507E-4	9.1075E-4	0.8328	2.6187E-2	3.827	1.619	26.760
47000000	5.784	6.884	6.6574E-2	0.2011	0.9357	1.1286	0.3107	0.2353	0.2017	0.2522	0.2824	0.2250	0.2350	0.2575	9.3906E-4	8.2378E-4	8.3574E-4	0.8536	7.5464E-3	1.584	1.665	28.424
48000000	7.906	9.436	1.1032E-2	0.6073	0.9364	1.1272	0.3045	0.2277	0.2036	0.2642	0.3011	0.2219	0.2334	0.2436	9.1038E-4	7.5794E-4	8.497E-4	0.8601	6.0863E-2	1.006	1.700	29.258
49000000	8.854	12.464	8.9341E-2	1.3224	0.9454	1.1093	0.3233	0.2298	0.1962	0.2508	0.2991	0.2233	0.2317	0.2459	1.0044E-3	8.2703E-4	9.2095E-4	0.8360	-6.2542E-2	5.547	1.721	25.583
50000000	12.408	10.869	0.2007	0.6244	0.9286	1.1429	0.3156	0.2230	0.2035	0.2579	0.3021	0.2128	0.2366	0.2485	9.2361E-4	7.181E-4	9.1983E-4	0.7617	2.3374E-2	1.027	1.630	27.126
51000000	7.564	8.292	0.2017	0.4461	0.8982	1.2036	0.3098	0.2274	0.2096	0.2532	0.3006	0.2168	0.2278	0.2547	9.5556E-4	6.7903E-4	8.3376E-4	0.7142	-1.7342E-2	1.908	1.770	26.848
52000000	10.289	7.385	1.452E-2	0.3560	0.9188	1.1624	0.3233	0.2297	0.1956	0.2515	0.2846	0.2246	0.2453	0.2455	9.7206E-4	9.4742E-4	9.0426E-4	0.9342	-3.1793E-2	9.231	1.823	28.352
53000000	8.768	7.267	0.1355	0.3051	0.9460	1.1081	0.3068	0.2298	0.1987	0.2647	0.3006	0.2174	0.2352	0.2468	9.6683E-4	4.8125E-4	8.7823E-4	0.4811	6.3805E-2	1.133	1.689	27.324
54000000	8.803	9.628	2.2694E-2	6.2822E-2	0.9424	1.1153	0.3191	0.2238	0.2046	0.2525	0.3034	0.2156	0.2306	0.2504	9.6649E-4	1.0768E-3	8.3145E-4	1.0071	2.0465E-2	1.319	1.691	29.669
55000000	6.738	13.779	4.9961E-3	1.7704	0.9470	1.1061	0.3120	0.2306	0.2016	0.2558	0.2917	0.2223	0.2405	0.2455	1.0429E-3	1.0635E-3	9.0047E-4	0.8524	-2.1334E-3	1.955	1.572	25.638
56000000	6.996	7.056	0.1531	0.2875	0.9611	1.0778	0.3190	0.2290	0.1948	0.2572	0.2949	0.2257	0.2271	0.2523	1.1159E-3	1.1462E-3	9.1756E-4	0.9770	2.6506E-2	0.859	1.739	26.464
57000000	9.097	7.792	4.827E-2	0.1378	0.9003	1.1995	0.3119	0.2298	0.2036	0.2547	0.3018	0.2215	0.2314	0.2453	1.0364E-3	1.0171E-3	9.0661E-4	0.9766	-5.6054E-2	3.969	1.607	26.968
58000000	8.444	14.004	0.2750	0.1224	0.9503	1.0994	0.3135	0.2279	0.1998	0.2588	0.2929	0.2175	0.2410	0.2486	8.9658E-4	8.4363E-4	8.5134E-4	1.0070	7.7106E-4	1.331	1.600	27.160
59000000	8.199	12.508	0.1950	0.1781	0.8698	1.2605	0.3195	0.2264	0.1943	0.2597	0.2886	0.2269	0.2429	0.2416	9.8964E-4	7.916E-4	9.2477E-4	0.7709	-6.1937E-2	3.826	1.759	26.929
60000000	10.370	9.596	9.1405E-2	0.9059	0.9321	1.1358	0.3107	0.2347	0.2035	0.2511	0.2907	0.2192	0.2336	0.2565	8.8017E-4	5.4278E-4	8.3758E-4	0.6015	1.9287E-2	1.414	1.603	27.741
61000000	9.440	8.677	3.2615E-2	0.4989	0.9730	1.0541	0.3131	0.2377	0.1953	0.2539	0.2946	0.2258	0.2273	0.2523	8.6988E-4	7.5892E-4	7.7727E-4	0.8330	-7.5305E-2	6.318	1.951	29.733
62000000	7.781	7.026	0.1544	0.6441	0.9222	1.1557	0.3100	0.2281	0.2091	0.2527	0.2889	0.2203	0.2419	0.2488	9.6914E-4	6.8344E-4	8.8855E-4	0.6882	-1.1353E-2	3.675	1.689	27.331
63000000	8.886	7.820	4.4836E-2	0.5051	0.9084	1.1833	0.3055	0.2333	0.2046	0.2566	0.2846	0.2232	0.2446	0.2477	1.0495E-3	8.5798E-4	8.6165E-4	0.7205	-3.2621E-3	4.118	1.594	27.113
64000000	10.020	8.332	8.8299E-2	5.1191E-2	0.9381	1.1238	0.3057	0.2384	0.1997	0.2562	0.2990	0.2194	0.2306	0.2510	9.4615E-4	8.5253E-4	8.2568E-4	0.8286	-4.5962E-2	2.580	1.623	28.094
65000000	9.244	10.835	9.4127E-2	0.4001	0.9136	1.1728	0.3090	0.2370	0.1948	0.2593	0.2788	0.2240	0.2454	0.2518	1.0333E-3	8.6139E-4	9.2436E-4	0.8271	-2.8394E-2	0.975	1.606	27.239
66000000	8.873	7.667	0.3034	0.5418	0.8536	1.2929	0.3196	0.2288	0.1962	0.2553	0.3038	0.2224	0.2302	0.2435	1.0516E-3	8.9827E-4	9.6987E-4	0.7932	1.2075E-2	0.991	1.652	26.640
67000000	6.114	6.946	4.9512E-2	0.4143	0.8963	1.2075	0.3117	0.2263	0.2013	0.2606	0.2860	0.2161	0.2416	0.2563	9.8806E-4	8.9918E-4	8.5218E-4	0.9131	3.8511E-2	1.620	1.758	27.218
68000000	10.431	5.885	7.391E-2	0.3054	0.9333	1.1335	0.3106	0.2332	0.2086	0.2476	0.2946	0.2193	0.2412	0.2450	1.0532E-3	9.722E-4	8.8798E-4	0.8827	-5.0044E-2	2.118	2.041	27.669
69000000	7.479	10.857	1.4419E-2	0.1221	0.8984	1.2033	0.3043	0.2299	0.2053	0.2605	0.2999	0.2164	0.2329	0.2508	9.9322E-4	9.8341E-4	8.3571E-4	0.9684	-3.1988E-2	1.003	1.809	28.172
70000000	8.286	9.465	0.1389	0.5089	0.9104	1.1792	0.3223	0.2247	0.2039	0.2491	0.2936	0.2315	0.2226	0.2524	9.0663E-4	8.0841E-4	8.4324E-4	0.8605	-1.4751E-3	1.108	1.707	27.217
71000000	6.648	7.260	3.0534E-3	0.5028	0.9285	1.1431	0.3109	0.2267	0.2031	0.2593	0.2982	0.2182	0.2367	0.2468	9.8617E-4	9.8623E-4	8.3165E-4	1.0917	-3.5607E-2	4.672	1.705	26.549
