state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	10.318	9.117	3.554E-2	0.5194	0.8543	1.2914	0.3125	0.2310	0.2054	0.2511	0.2846	0.2233	0.2367	0.2554	9.1607E-4	7.1486E-4	8.5134E-4	0.7061	3.4064E-2	1.476	1.807	27.694
2000000	8.324	10.664	7.3995E-2	0.2296	0.9557	1.0886	0.3145	0.2231	0.2045	0.2578	0.2914	0.2237	0.2336	0.2513	1.0307E-3	6.8372E-4	9.0899E-4	0.6364	-2.8609E-2	3.784	1.627	25.849
3000000	7.460	6.181	8.4008E-2	0.2240	0.9250	1.1501	0.3130	0.2319	0.1998	0.2553	0.2885	0.2244	0.2370	0.2501	9.2004E-4	8.4693E-4	8.2058E-4	0.8675	1.5183E-2	0.556	1.605	27.393
4000000	8.643	7.126	0.1171	0.3451	0.9089	1.1823	0.3143	0.2266	0.2005	0.2586	0.2970	0.2159	0.2333	0.2538	9.0739E-4	5.7184E-4	8.4342E-4	0.6276	5.4444E-2	1.737	1.641	27.731
5000000	11.131	8.986	0.1263	0.4497	0.9598	1.0804	0.3156	0.2273	0.1992	0.2578	0.2990	0.2256	0.2245	0.2509	1.0133E-3	7.071E-4	9.1348E-4	0.7144	3.1281E-3	2.481	1.609	25.899
6000000	8.788	8.528	8.7816E-2	0.8734	0.8953	1.2095	0.3174	0.2333	0.1970	0.2523	0.3030	0.2149	0.2348	0.2473	8.5772E-4	8.8764E-4	7.418E-4	1.1058	1.3359E-2	0.412	1.650	30.519
7000000	8.245	6.535	3.8088E-2	0.2154	0.8999	1.2002	0.3094	0.2297	0.2039	0.2570	0.2925	0.2173	0.2338	0.2564	8.6384E-4	5.237E-4	8.1161E-4	0.5909	-7.043E-2	1.855	1.669	30.108
8000000	8.247	8.448	0.1061	0.1795	0.8415	1.3170	0.3184	0.2320	0.1930	0.2566	0.2991	0.2229	0.2330	0.2450	9.1299E-4	7.245E-4	7.9248E-4	0.6551	-2.4163E-2	0.712	1.649	28.966
9000000	10.727	9.522	0.1557	1.9615	0.9350	1.1301	0.3142	0.2252	0.2045	0.2560	0.2959	0.2254	0.2363	0.2424	8.6822E-4	5.7005E-4	8.1766E-4	0.6242	-2.3673E-2	0.916	1.619	28.205
10000000	9.830	9.213	7.0559E-2	0.3022	0.9381	1.1239	0.3144	0.2204	0.2088	0.2565	0.2983	0.2183	0.2276	0.2558	7.7244E-4	4.8144E-4	7.7398E-4	0.6422	-4.7556E-3	0.767	1.798	29.442
11000000	9.208	7.219	0.1524	0.2852	0.9003	1.1994	0.3143	0.2265	0.2052	0.2540	0.2923	0.2252	0.2389	0.2436	1.2314E-3	1.0733E-3	1.0536E-3	0.8751	1.5048E-2	0.823	1.612	24.764
