pers0.025	pers0.05	pers0.1	pers0.2
run01	-33408.993	-33406.578	-33406.774	-33406.692
run02	-33406.652	-33406.575	-33411.792	-33409.17
run03	-33413.845	-33406.689	-33406.545	-33414.607
run04	-33406.543	-33415.076	-33409.223	-33406.613
run05	-33411.784	-33410.5	-33414.301	-33412.104
