pers0.025	pers0.05	pers0.1	pers0.2
run01	-26760.603	-26754.96	-26743.126	-26752.568
run02	-26755.536	-26752.851	-26726.978	-26716.362
run03	-26791.161	-26757.513	-26695.852	-26724.405
run04	-26812.356	-26744.817	-26752.943	-26700.281
run05	-26804.435	-26773.876	-26721.186	-26728.697
