taxon	date
A/Brazil/504/2006	2006
A/Brazil/529/2008	2008-05-29
A/Brazil/5943/2008	2008-08-05
A/Bremen/4/2005	2005
A/Bremen/5/2005	2005
A/Brisbane/1/2008	2008-01-03
A/Brisbane/1/2009	2009-01-08
A/Brisbane/10/2009	2009-02-06
A/Brisbane/11/2009	2009-01-29
A/Brisbane/12/2009	2009-02-12
A/Brisbane/13/2009	2009-02-13
A/Brisbane/193/2004	2004-12-24
A/Brisbane/265/2005	2005-10-05
A/Brisbane/270/206	2006-09-23
A/Brisbane/297/2006	2006-11-26
A/Brisbane/308/2007	2007-09-02
A/Brisbane/334/2007	2007-09-11
A/Brisbane/59/2007	2007-07-01
A/Bucuresti/134/2008	2008-01-14
A/Bucuresti/136/2008	2008-01-14
A/Bucuresti/229/2008	2008-01-21
A/Bulgaria/155/2008	2008-01-21
A/Busan/01/2009	2009-01-02
A/Busan/02/2007	2007
A/Busan/03/2007	2007
A/Caen/1670/2006	2006
A/Caen/1951/2006	2006
A/California/02/2007	2007-01-29
A/California/09/2006	2006-12-14
A/California/1/2003	2003-01-06
A/California/10/2006	2006-12-06
A/California/26/2005	2005-11-09
A/California/27/2005	2005-11-21
A/California/UR06-0125/2007	2007-01-30
A/California/UR06-0440/2007	2007-02-27
A/California/VRDL151/2009	2009-04-28
A/California/VRDL153/2009	2009-04-27
A/California/VRDL202/2009	2009-04-29
A/California/VRDL220/2009	2009-04-29
A/California/VRDL224/2009	2009-04-29
A/California/VRDL252/2009	2009-04-29
A/California/VRDL258/2009	2009-05-01
A/California/VRDL281/2009	2009-05-05
A/Cambodia/0371/2007	2007-08-09
A/Cambodia/0374/2007	2007-08-10
A/Cambodia/21/2007	2007-10-01
A/Cambodia/365/2007	2007-08-21
A/Cambodia/502/2007	2007-08-27
A/Cambodia/Q015/2006	2006-05-07
A/Cambodia/Q024/2006	2006-04-16
A/Cambodia/Q061/2006	2006-04-28
A/Cambodia/Q069/2006	2006-04-28
A/Cambodia/Q210/2006	2006-05-10
A/Cambodia/Q290/2006	2006-04-23
A/Cambodia/Q299/2006	2006-04-25
A/Cambodia/R012/2007	2007-10-05
A/Cambodia/R024/2007	2007-09-17
A/Cambodia/R105/2007	2007-08-31
A/Cambodia/R173/2007	2007-10-04
A/Cambodia/R174/2007	2007-09-13
A/Cambodia/R198/2007	2007-08-03
A/Cambodia/S101/2008	2008-10-03
A/Cambodia/S105/2008	2008-09-17
A/Cambodia/S128/2008	2008-08-21
A/Cambodia/S136/2008	2008-08-08
A/Cambodia/S169/2008	2008-09-07
A/Cambodia/S220/2008	2008-09-24
A/Cambodia/S241/2008	2008-09-26
A/Canterbury/01/2001	2001-01-09
A/Canterbury/05/2001	2001-06-03
A/Canterbury/08/2001	2001-06-05
A/Canterbury/100/2000	2000-08-30
A/Canterbury/106/2001	2001-07-28
A/Canterbury/106/2004	2004-09-13
A/Canterbury/119/2001	2001-08-02
A/Canterbury/125/2001	2001-08-05
A/Canterbury/126/2001	2001-08-05
A/Canterbury/139/2001	2001-08-10
A/Canterbury/144/2001	2001-07-27
A/Canterbury/152/2001	2001-08-16
A/Canterbury/153/2001	2001-08-14
A/Canterbury/155/2001	2001-08-14
A/Canterbury/16/2001	2001-06-25
A/Canterbury/17/2001	2001-06-25
A/Canterbury/19/2001	2001-06-25
A/Canterbury/20/2001	2001-06-20
A/Canterbury/21/2001	2001-07-02
A/Canterbury/22/2001	2001-06-28
A/Canterbury/23/2000	2000-08-04
A/Canterbury/23/2001	2001-06-28
A/Canterbury/24/2001	2001-07-02
A/Canterbury/25/2001	2001-07-02
A/Canterbury/26/2001	2001-06-29
A/Canterbury/27/2000	2000-08-15
A/Canterbury/27/2001	2001-07-05
A/Canterbury/28/2000	2000-08-16
A/Canterbury/29/2001	2001-07-05
A/Canterbury/30/2000	2000-08-17
A/Canterbury/30/2001	2001-07-04
A/Canterbury/32/2000	2000-08-17
A/Canterbury/33/2000	2000-08-20
A/Canterbury/34/2000	2000-08-23
A/Canterbury/34/2001	2001-07-10
A/Canterbury/35/2001	2001-07-07
A/Canterbury/36/2000	2000-08-23
A/Canterbury/37/2000	2000-08-28
A/Canterbury/40/2001	2001-07-09
A/Canterbury/41/2000	2000-08-24
A/Canterbury/41/2001	2001-07-10
A/Canterbury/42/2001	2001-07-10
A/Canterbury/43/2000	2000-09-01
A/Canterbury/45/2001	2001-07-11
A/Canterbury/47/2001	2001-07-11
A/Canterbury/48/2000	2000-07-28
A/Canterbury/48/2001	2001-07-11
A/Canterbury/5/2000	2000-06-20
A/Canterbury/51/2000	2000-07-25
A/Canterbury/51/2001	2001-07-04
A/Canterbury/53/2001	2001-07-09
A/Canterbury/54/2000	2000-09-07
A/Canterbury/54/2001	2001-07-11
A/Canterbury/55/2000	2000-09-05
A/Canterbury/57/2000	2000-09-05
A/Canterbury/58/2000	2000-08-31
A/Canterbury/58/2001	2001-07-13
A/Canterbury/60/2000	2000-09-07
A/Canterbury/60/2001	2001-07-17
A/Canterbury/63/2000	2000-09-07
A/Canterbury/63/2001	2001-07-16
A/Canterbury/64/2001	2001-07-20
A/Canterbury/65/2000	2000-09-03
A/Canterbury/65/2001	2001-07-19
A/Canterbury/66/2001	2001-07-19
A/Canterbury/68/2001	2001-07-18
A/Canterbury/69/2001	2001-07-17
A/Canterbury/7/2000	2000-07-21
A/Canterbury/70/2001	2001-07-17
A/Canterbury/71/2001	2001-07-17
A/Canterbury/72/2001	2001-07-16
A/Canterbury/73/2001	2001-07-18
A/Canterbury/74/2001	2001-07-04
A/Canterbury/76/2000	2000-09-19
A/Canterbury/76/2001	2001-07-16
A/Canterbury/78/2000	2000-09-27
A/Canterbury/79/2000	2000-09-22
A/Canterbury/79/2001	2001-07-18
A/Canterbury/8/2000	2000-07-18
A/Canterbury/87/2000	2000-09-28
A/Canterbury/9/2000	2000-07-17
A/Canterbury/95/2000	2000-10-23
A/Chanchamayo/FLU4036/2006	2006
A/Chanchamayo/FLU5082/2007	2007
A/Charlottesville/6/2001	2001
A/Cheju/1025/2005	2005-12-28
A/Cheju/960/2005	2005-12-23
A/Chennai/0511133/2005	2005-10-06
A/Chennai/0511134/2005	2005-10-10
A/Chennai/0511135/2005	2005-10-10
A/Chennai/0511136/2005	2005-10-10
A/Chennai/0511138/2005	2005-10-10
A/Chennai/0511139/2005	2005-10-17
A/Chennai/0511140/2005	2005-10-17
A/Chennai/0511141/2005	2005-10-17
A/Chennai/0511143/2005	2005-10-24
A/Chennai/0511144/2005	2005-10-24
A/Chennai/0511147/2005	2005-10-31
A/Chennai/0633238/2006	2006-02-13
A/Chennai/0633240/2006	2006-06-21
A/Chennai/0633243/2006	2006-06-29
A/Chennai/0633245/2006	2006-09-07
A/Chennai/0633247/2006	2006-09-21
A/Chennai/0633248/2006	2006-09-27
A/Chennai/0634971/2006	2006-10-05
A/Chennai/0634972/2006	2006-10-05
A/Chennai/0634973/2006	2006-10-05
A/Chennai/0634975/2006	2006-10-17
A/Chennai/0634978/2006	2006-10-23
A/Chennai/0634979/2006	2006-10-30
A/Chennai/0634980/2006	2006-10-30
A/Chennai/0634981/2006	2006-11-02
A/Chennai/064160/2005	2005-11-07
A/Chennai/064161/2005	2005-11-14
A/Chennai/064163/2005	2005-11-15
A/Chennai/064164/2005	2005-11-15
A/Chennai/064167/2005	2005-11-23
A/Chennai/064181/2006	2006-01-02
A/Chennai/064182/2006	2006-01-02
A/Chennai/064183/2006	2006-01-09
A/Chennai/0642005	2005
A/Chennai/0817267/2008	2008-10-04
A/Chennai/0817304/2008	2008-11-20
A/Chennai/0817306/2008	2008-11-21
A/Chennai/0817311/2008	2008-12-02
A/Chennai/0817312/2008	2008-12-03
A/Chennai/0817313/2008	2008-12-04
A/Chennai/091327/2008	2008-12-09
A/Chennai/091328/2008	2008-12-11
A/Chennai/091329/2008	2008-12-11
A/Chennai/091333/2008	2008-12-16
A/Chennai/092523/2009	2009-02-02
A/Chennai/092524/2009	2009-02-06
A/Chennai/79754/2006	2006-11-30
A/Chile/9848/2002	2002-07-17
A/Chongqing/928/2005	2005-09-19
