posterior	prior	likelihood	coalescent
coda_point_long	1.05369974258278	1.17189318827515	1.12545843977274	1.17193747207183
coda_upper_long	1.13987099130204	1.41049694651658	1.30817291362806	1.41059266887485
coda_point_short	1.02992507364228	1.12908820033569	1.121482233657	1.12916411510098
coda_upper_short	1.08015189788997	1.31458254710145	1.29627031678241	1.31475385365096
coda_point_trunc	1.04252561718805	1.13379491728164	1.11718214045096	1.13386354266364
coda_upper_trunc	1.08764552241839	1.26255863608988	1.23126630589639	1.2626859492742
rstan_long	1.0423263850524	1.12126896796407	1.08888917246908	1.12129855401296
rstan_short	1.02473169446044	1.08934040675282	1.11026487312085	1.08939027275318
rstan_trunc	1.04699505401759	1.12038326923973	1.11226650684244	1.12044120202014
