cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
rep1	7673.40004237275	6749.03063473647	5629.41021965829	7398.4222957299	7405.06165419903	7650.45644942803	4724.14086372466	3294.24055211575	8000	7262.56720545711	4277.83924109769	4279.45689174817	392.332681641429	186.550980212381	3718.36609216048	165.374461036475
rep2	7758.76871491359	7295.92170937755	7089.57410368331	6190.82181607147	7600.77975688614	8000	7816.64978196777	4505.71901471059	7773.86351499157	5896.78707598164	5230.24171021464	5229.42038813208	52.0404694556464	38.9844195511473	4178.90635622271	37.9143582278821
rep3	6735.87423740228	7852.76380292462	6849.00662381718	7535.27031964475	7652.30138608587	7380.06456794189	6701.56939756506	6948.72109474553	5618.90205496161	7114.58634170025	6393.97879693328	6395.21230172488	601.033486683447	432.087936988894	3758.90557672102	373.008386122769
rep4	6414.55403363899	7056.32075623645	6234.76692970758	6519.60136603505	7304.95219557965	6229.67687610253	8000	4334.64962653775	7007.01920913814	5526.29097867175	4750.23142805339	4751.01777532319	415.284738460014	369.962055073608	3810.96552482492	276.638403931772
rep5	5062.72346142045	6393.4265285756	7323.27772104428	7669.34946473037	8000	7711.73974966274	8000	5164.75264150661	4408.29534266935	3927.35402189766	7538.7890494658	7537.72525014807	539.926448428698	484.483368659051	4577.06649197518	345.711744376484
rep6	1592.96135594284	1782.56743781706	1472.05720146506	1816.45209963807	1729.50530328888	1641.2391616718	1375.83025485946	1738.47204199179	1770.35175886847	1127.78112740561	899.041070928793	898.162674526598	302.824564584984	256.962989029649	1128.06667260197	199.414258385145
rep7	2000	1959.5002207017	2000	1506.13392145719	1613.27642867512	2000	1911.55851009485	1126.67583083211	2000	2000	1602.90058979144	1601.89663044333	101.433533204511	100.794150994586	1072.92880505856	77.6001575217813
rep8	1767.66839445705	1597.27882554972	1666.20705593725	1690.11711972783	2000	1902.12386153498	1996.95340074114	1609.87415193288	1742.49227023911	2000	1594.1476543774	1595.4446348687	175.389726942713	160.338702444738	1073.15839071032	111.470053588197
rep9	1529.34004151091	1858.3849484801	2000	1990.54464295484	2000	2000	1900.97157856222	2000	1510.8617431453	2000	1606.29058660189	1607.19036815907	152.049447698394	122.94638731945	535.705006825472	98.4507124913025
rep10	2000	2000	1667.5238494758	1906.16975732877	1941.55521743221	2000	1850.43466762551	1685.00954791816	2000	1280.65791334784	1975.6854730702	1976.29980351211	333.608156863097	261.255331780873	1100.20493937839	200.731822249711
rep1trunc	1619.95333804147	1698.5597392635	1096.12816674284	2000	1779.11835027204	1781.85017812958	2000	1914.48018014314	2000	1787.91782886749	2000	2000	218.387138444333	133.820076433453	1254.08530981811	108.391814007079
rep2trunc	1883.98324247599	1985.83485510611	1873.26855352709	1870.40997539111	1823.31259294225	2000	2000	2000	2000	1855.92885352339	1629.50876847057	1629.9819594933	138.964439508803	132.508683574055	1180.78394241717	91.0772584628406
rep3trunc	1783.02206247217	1697.09310708411	1671.53973972963	1736.65916374211	1974.09063039793	2000	1218.02519189249	1873.21608504852	1783.82356864083	1434.25412588324	1168.77504270159	1168.34632244252	120.04270682819	71.0512963296439	1041.87948294509	71.0815470979181
rep4trunc	2000	1823.26633211058	1913.13562027393	2000	1607.28598122568	1840.56487524457	1982.15199603363	1836.28067926237	1440.2479701009	1783.17712572115	1743.73351644153	1743.98972874047	100.905693446662	99.3577473244674	1166.32639884868	63.7655116919251
rep5trunc	1869.18994893788	2000	1632.63683397096	2000	1795.24636006493	2000	2000	2000	1626.48071006912	1417.69762859076	1310.1782659753	1309.3354451483	235.409626789666	184.53652234958	1219.62502148621	143.710969976029
