pers0.025	pers0.05	pers0.1	pers0.2
run01	-414936.397	-414876.782	-414875.535	-414876.116
run02	-414877.264	-414876.752	-414930.888	-414871.855
run03	-414934.606	-414931.318	-414875.035	-414875.2
run04	-414875.94	-414875.161	-414875.535	-414870.704
run05	-414875.127	-414880.608	-414876.354	-414878.615
