taxon	date
BritishColumbia.CAN/34.16/3/G|2016-08-28|north_america|canada|british_columbia	2016-08-28
BritishColumbia.CAN/36.16/G|2016-09-07|north_america|canada|british_columbia	2016-09-07
BritishColumbia.CAN/42.16/G|2016-10-17|north_america|canada|british_columbia	2016-10-17
BritishColumbia.CAN/8.17/2/G|2017-02-23|north_america|canada|british_columbia	2017-02-23
BritishColumbia.CAN/8.17/3/G|2017-02-22|north_america|canada|british_columbia	2017-02-22
BritishColumbia.CAN/8.17/5/G|2017-02-24|north_america|canada|british_columbia	2017-02-24
BritishColumbia.CAN/8.17/8/G|2017-02-26|north_america|canada|british_columbia	2017-02-26
California.USA/40.11/G|2011-10-08|north_america|usa|california	2011-10-08
Georgia.USA/13.17/G|2017-03-27|north_america|usa|georgia	2017-03-27
Illinois.USA/11.17/G|2017-03-18|north_america|usa|illinois	2017-03-18
Illinois.USA/14.17/G|2017-04-05|north_america|usa|illinois	2017-04-05
Illinois.USA/26.15/2/G|2015-06-24|north_america|usa|illinois	2015-06-24
Indiana.USA/1.17/G|2017-01-06|north_america|usa|indiana	2017-01-06
Indiana.USA/48.16/G|2016-11-28|north_america|usa|indiana	2016-11-28
Indiana.USA/49.16/G|2016-12-12|north_america|usa|indiana	2016-12-12
Indiana.USA/5.14/G|2014-01-31|north_america|usa|indiana	2014-01-31
Iowa.USA/06/G|2006-XX-XX|north_america|usa|iowa	2006
Kansas.USA/10.17/G|2017-03-10|north_america|usa|kansas	2017-03-10
Kansas.USA/13.17/2/G|2017-03-29|north_america|usa|kansas	2017-03-29
Kansas.USA/15.17/G|2017-04-10|north_america|usa|kansas	2017-04-10
Kansas.USA/8.17/4/G|2017-02-23|north_america|usa|kansas	2017-02-23
Kansas.USA/8.17/G|2017-02-21|north_america|usa|kansas	2017-02-21
Kansas.USA/9.17/2/G|2017-02-28|north_america|usa|kansas	2017-02-28
Louisiana.USA/29.17/G|2017-07-21|north_america|usa|louisiana	2017-07-21
