taxon	date
MAN12770	2019-12-14
MAN12790	2019-12-14
MAN12952	2019-12-17
MAN12990	2019-12-18
MAN12999	2019-12-18
MAN13030	2019-12-19
MAN13175	2019-12-21
MAN13221	2019-12-22
MAN13222	2019-12-22
MAN13238	2019-12-22
MAN13273	2019-12-23
MAN13347	2019-12-24
MAN13348	2019-12-25
MAN13384	2019-12-25
MAN13677	2019-12-31
MAN13942	2020-01-06
MAN14198	2020-01-12
MAN14228	2020-01-13
MAN14242	2020-01-13
MAN14985	2020-01-29
MAN1891	2019-03-28
MAN1906	2019-03-29
MAN1907	2019-03-29
MAN1923	2019-03-30
MAN1942	2019-04-01
MAN2015	2019-04-07
MAN2051	2019-04-10
MAN2068	2019-04-11
MAN4194	2019-06-16
MAN5297	2019-07-05
MAN5796	2019-07-16
MAN5909	2019-07-18
MAN5923	2019-07-18
MAN5934	2019-07-18
MAN5938	2019-07-18
MAN5977	2019-07-19
MAN7454	2019-08-19
MAN7742	2019-08-28
MAN7771	2019-08-29
MAN7880	2019-09-01
MAN7953	2019-09-03
MAN8039	2019-09-05
MAN8153	2019-09-08
MAN8241	2019-09-10
MAN8819	2019-09-26
MAN9267	2019-10-04
MAN9938	2019-10
MK007329.1	2018-07-27
MWG017	2019-08-28
