state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	13.590	15.370	18.016	6.3521E-3	3.1366E-2	1.0341	0.4568	0.2361	2.3072	0.2907	0.1850	0.3538	0.1705	0.2620	0.2365	0.2196	0.2819	0.2236	0.2856	0.2565	0.2343	9.6066E-4	3.5558E-4	9.7527E-4	0.3641	-3.3606E-3	0.318	4.798	237.234
2000000	12.984	16.430	19.736	1.6657E-2	0.1395	1.2368	0.4466	0.2512	2.3021	0.2944	0.1882	0.3396	0.1778	0.2676	0.2418	0.2176	0.2730	0.2225	0.2824	0.2654	0.2296	9.4378E-4	3.6213E-4	9.466E-4	0.3703	3.306E-3	0.192	4.548	230.173
3000000	12.528	16.597	17.905	7.9611E-2	3.2445E-2	1.2790	0.4301	0.2527	2.3172	0.3012	0.1816	0.3497	0.1675	0.2561	0.2407	0.2205	0.2828	0.2179	0.2922	0.2491	0.2408	1.0283E-3	3.8875E-4	1.0167E-3	0.3820	-4.8317E-2	0.450	4.475	217.327
4000000	10.994	13.956	17.950	2.6943E-2	0.1790	0.9882	0.4133	0.2378	2.3489	0.3054	0.1854	0.3245	0.1848	0.2545	0.2346	0.2243	0.2866	0.2230	0.2894	0.2594	0.2283	1.0309E-3	4.9114E-4	9.7173E-4	0.4490	-2.0855E-2	0.315	4.586	234.532
5000000	12.574	12.801	20.900	3.8992E-2	3.8548E-2	0.9435	0.4400	0.2227	2.3373	0.2827	0.1876	0.3537	0.1760	0.2588	0.2415	0.2200	0.2797	0.2240	0.2860	0.2545	0.2354	1.0385E-3	4.6006E-4	1.0197E-3	0.4243	2.0793E-3	0.380	4.672	232.550
6000000	9.621	24.591	21.399	5.4229E-2	3.5796E-3	1.2650	0.4546	0.2774	2.2680	0.2872	0.1986	0.3369	0.1773	0.2586	0.2338	0.2267	0.2809	0.2302	0.2765	0.2592	0.2341	1.0925E-3	4.5203E-4	1.0282E-3	0.4068	1.5475E-2	0.336	4.645	209.044
7000000	13.655	17.578	18.001	3.8607E-3	0.1661	1.2384	0.4626	0.2327	2.3046	0.3002	0.1901	0.3353	0.1744	0.2582	0.2315	0.2313	0.2790	0.2328	0.2847	0.2541	0.2284	1.2547E-3	5.957E-4	1.1077E-3	0.4728	-5.7599E-2	0.129	4.491	201.435
8000000	13.511	21.184	20.985	2.2962E-2	5.4979E-2	1.0489	0.4343	0.2186	2.3470	0.2982	0.1820	0.3575	0.1622	0.2552	0.2474	0.2156	0.2818	0.2233	0.2782	0.2617	0.2368	1.0056E-3	4.4434E-4	9.8764E-4	0.4347	-2.2702E-2	0.342	4.815	220.591
9000000	10.156	16.955	17.720	4.9184E-2	7.0842E-2	1.0836	0.4454	0.2479	2.3067	0.2853	0.1916	0.3382	0.1848	0.2667	0.2372	0.2176	0.2784	0.2199	0.2836	0.2532	0.2433	1.137E-3	6.4271E-4	1.0275E-3	0.5459	-1.6045E-2	0.198	4.592	212.639
10000000	11.003	20.734	17.832	0.1020	7.059E-3	1.1059	0.4562	0.2830	2.2608	0.2832	0.1942	0.3444	0.1783	0.2626	0.2246	0.2245	0.2884	0.2259	0.2778	0.2649	0.2313	1.0706E-3	4.6219E-4	1.0459E-3	0.4240	-3.4128E-2	0.503	4.635	213.158
11000000	14.298	19.093	17.197	6.9489E-2	8.7833E-2	1.0732	0.4216	0.2749	2.3035	0.3000	0.1973	0.3309	0.1718	0.2623	0.2378	0.2200	0.2799	0.2195	0.2834	0.2585	0.2385	1.2162E-3	6.572E-4	1.083E-3	0.5091	3.2189E-2	0.161	4.513	210.267
12000000	12.661	19.208	19.314	4.1675E-2	9.0623E-2	1.1193	0.4782	0.2364	2.2854	0.3037	0.1821	0.3399	0.1743	0.2530	0.2347	0.2146	0.2977	0.2283	0.2873	0.2469	0.2375	1.2068E-3	5.4203E-4	1.14E-3	0.4547	-3.6026E-2	0.132	4.703	198.977
13000000	16.915	22.116	18.233	4.376E-2	8.4798E-2	1.1368	0.4100	0.2348	2.3552	0.2766	0.1914	0.3437	0.1884	0.2673	0.2238	0.2355	0.2734	0.2274	0.2838	0.2572	0.2316	1.0902E-3	3.5114E-4	1.0445E-3	0.3131	6.8303E-2	0.251	4.696	217.674
14000000	13.399	13.510	20.041	1.3226E-2	6.0528E-2	0.9435	0.4293	0.2672	2.3035	0.2703	0.1988	0.3606	0.1703	0.2730	0.2262	0.2096	0.2912	0.2222	0.2764	0.2599	0.2415	1.0969E-3	6.1186E-4	1.0472E-3	0.5723	-1.1768E-2	0.529	4.585	205.065
15000000	12.247	10.001	20.122	3.2435E-2	8.0902E-2	1.1967	0.3824	0.2753	2.3423	0.2982	0.1838	0.3488	0.1691	0.2548	0.2363	0.2198	0.2891	0.2343	0.2787	0.2543	0.2326	1.0452E-3	4.0171E-4	1.0546E-3	0.3956	2.8831E-3	0.168	4.655	209.036
16000000	11.924	15.352	18.554	6.8845E-2	8.7646E-2	1.1130	0.4843	0.2389	2.2768	0.2878	0.1987	0.3329	0.1806	0.2574	0.2430	0.2271	0.2725	0.2234	0.2725	0.2583	0.2458	1.27E-3	7.0252E-4	1.1533E-3	0.5717	4.933E-2	0.252	4.654	197.831
17000000	20.173	18.798	22.631	2.3148E-2	9.1294E-2	0.9761	0.4141	0.2699	2.3160	0.2820	0.2004	0.3405	0.1771	0.2574	0.2319	0.2165	0.2942	0.2209	0.2795	0.2683	0.2313	1.1439E-3	4.4308E-4	1.1081E-3	0.3962	1.0988E-2	0.401	4.724	208.363
18000000	9.855	11.770	21.615	0.1275	9.501E-2	1.1993	0.4621	0.2434	2.2945	0.3047	0.1768	0.3552	0.1633	0.2658	0.2167	0.2238	0.2938	0.2220	0.2930	0.2613	0.2238	1.1434E-3	4.2373E-4	1.0976E-3	0.3541	3.2632E-2	0.447	4.589	201.569
19000000	14.957	22.792	17.138	3.8463E-2	8.8585E-2	1.3811	0.4203	0.2735	2.3062	0.2821	0.1951	0.3510	0.1718	0.2612	0.2324	0.2140	0.2925	0.2151	0.2813	0.2547	0.2489	1.0824E-3	4.4425E-4	1.0405E-3	0.4174	-3.4368E-2	0.127	4.602	212.278
20000000	11.515	18.392	16.516	5.4899E-2	8.2281E-2	1.3528	0.3990	0.2223	2.3787	0.2970	0.1902	0.3387	0.1741	0.2554	0.2351	0.2229	0.2865	0.2242	0.2917	0.2530	0.2310	1.0627E-3	4.3313E-4	1.0064E-3	0.4145	-5.6907E-2	0.348	4.573	214.735
21000000	10.475	15.302	17.138	1.7616E-2	0.1840	1.1462	0.4433	0.2226	2.3341	0.2881	0.1881	0.3434	0.1804	0.2490	0.2386	0.2171	0.2953	0.2245	0.2838	0.2518	0.2400	1.068E-3	4.5911E-4	1.0459E-3	0.4268	7.9181E-2	0.118	4.490	214.684
22000000	11.460	14.009	19.643	1.5053E-2	0.1022	1.1186	0.4439	0.2358	2.3203	0.2868	0.1738	0.3621	0.1773	0.2627	0.2302	0.2220	0.2850	0.2228	0.2831	0.2562	0.2378	1.1413E-3	5.515E-4	1.0965E-3	0.4723	-5.9127E-2	0.576	4.621	210.515
23000000	10.196	15.689	20.961	5.8921E-2	9.426E-2	1.2254	0.4397	0.2690	2.2913	0.2988	0.1914	0.3381	0.1718	0.2557	0.2381	0.2168	0.2894	0.2223	0.2793	0.2719	0.2265	1.0928E-3	5.3609E-4	1.0181E-3	0.4689	-4.5298E-2	0.161	4.694	212.904
24000000	12.983	15.383	18.882	3.1641E-2	5.4348E-2	1.0856	0.4189	0.2826	2.2985	0.2850	0.1985	0.3455	0.1710	0.2577	0.2191	0.2249	0.2983	0.2242	0.2873	0.2525	0.2360	1.1373E-3	4.9109E-4	1.0745E-3	0.4441	-3.7942E-2	0.318	4.776	201.040
