state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	11.479	23.240	18.605	1.3666E-2	4.6879E-2	1.2465	0.4731	0.2682	2.2587	0.2818	0.1927	0.3395	0.1859	0.2705	0.2336	0.2213	0.2746	0.2182	0.2805	0.2586	0.2427	9.617E-4	4.0224E-4	9.6946E-4	0.4116	-1.5444E-2	0.141	4.725	235.812
2000000	11.427	19.312	18.833	2.3985E-2	2.8114E-2	0.9972	0.4064	0.2604	2.3332	0.2854	0.1996	0.3421	0.1729	0.2520	0.2371	0.2261	0.2848	0.2245	0.2830	0.2537	0.2388	1.0436E-3	4.2877E-4	9.9118E-4	0.3743	5.6509E-2	0.151	4.569	228.732
3000000	11.406	25.378	18.705	0.1423	5.8365E-2	1.2716	0.5060	0.2508	2.2431	0.2855	0.1926	0.3455	0.1764	0.2577	0.2356	0.2220	0.2847	0.2334	0.2898	0.2561	0.2206	9.5634E-4	3.5531E-4	9.0681E-4	0.3807	6.2561E-4	0.229	4.646	244.751
4000000	11.516	15.513	18.205	0.1151	0.1164	1.0452	0.4497	0.2781	2.2722	0.2973	0.1801	0.3422	0.1803	0.2717	0.2202	0.2247	0.2834	0.2170	0.2940	0.2587	0.2303	9.2348E-4	4.2281E-4	8.7577E-4	0.4192	-2.3391E-2	0.454	4.779	249.204
5000000	12.191	17.280	16.944	0.1425	2.42E-2	1.2578	0.4565	0.2232	2.3203	0.2894	0.1871	0.3533	0.1701	0.2624	0.2353	0.2249	0.2773	0.2220	0.2913	0.2628	0.2238	9.983E-4	3.9058E-4	9.7085E-4	0.3872	-0.1019	0.145	4.898	236.532
6000000	13.658	22.286	16.905	6.4581E-2	0.1018	1.0944	0.4739	0.2436	2.2825	0.3063	0.1703	0.3538	0.1696	0.2612	0.2316	0.2184	0.2888	0.2165	0.2820	0.2621	0.2394	9.4401E-4	3.1756E-4	9.2857E-4	0.3626	2.1967E-2	0.253	4.732	238.700
7000000	9.849	16.539	21.614	1.3222E-2	7.8099E-2	1.4092	0.4373	0.2538	2.3089	0.2855	0.1841	0.3537	0.1767	0.2665	0.2247	0.2280	0.2809	0.2252	0.2823	0.2635	0.2290	1.0029E-3	4.2496E-4	9.7052E-4	0.4391	6.9785E-3	0.374	4.682	232.632
8000000	12.118	18.627	20.662	5.5437E-2	0.1858	1.1045	0.4439	0.2854	2.2707	0.2996	0.1872	0.3389	0.1742	0.2514	0.2391	0.2256	0.2839	0.2262	0.2785	0.2550	0.2403	9.8293E-4	4.2287E-4	9.8962E-4	0.4070	-2.6345E-2	0.227	4.628	232.873
9000000	12.323	13.547	16.322	2.4733E-2	7.6349E-2	1.4145	0.4394	0.2762	2.2844	0.2852	0.1821	0.3585	0.1742	0.2613	0.2460	0.2075	0.2853	0.2162	0.2911	0.2551	0.2376	1.0163E-3	3.7498E-4	9.8318E-4	0.3608	-6.0922E-2	0.349	4.725	230.362
10000000	9.940	30.963	18.511	5.2996E-2	9.1878E-2	1.0543	0.4472	0.2713	2.2814	0.2796	0.1961	0.3497	0.1746	0.2516	0.2312	0.2348	0.2824	0.2315	0.2794	0.2565	0.2326	9.8434E-4	3.9386E-4	9.3386E-4	0.3983	-2.2782E-2	0.654	4.687	231.994
11000000	13.800	28.227	22.832	0.1042	3.4463E-2	0.9021	0.4634	0.2880	2.2486	0.2805	0.1978	0.3442	0.1775	0.2796	0.2329	0.2188	0.2687	0.2218	0.2766	0.2703	0.2314	1.0562E-3	5.1203E-4	9.7895E-4	0.4983	1.4597E-2	0.132	4.705	223.921
12000000	11.400	21.539	16.674	2.6691E-2	0.1275	1.0671	0.4123	0.2683	2.3194	0.2903	0.1968	0.3452	0.1677	0.2593	0.2241	0.2169	0.2997	0.2209	0.2794	0.2605	0.2391	1.0533E-3	4.9347E-4	1.0197E-3	0.4674	-6.2184E-2	0.352	4.609	216.963
13000000	10.751	15.027	20.746	5.7932E-2	8.0234E-2	1.0216	0.4281	0.2839	2.2880	0.2960	0.1879	0.3421	0.1741	0.2719	0.2321	0.2240	0.2720	0.2242	0.2793	0.2620	0.2345	1.104E-3	5.8596E-4	1.0297E-3	0.4968	7.5458E-3	0.315	4.712	218.803
