state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
177000000	8.095	10.311	8.358	5.291	10.691	5.107	3.531	2.544	6.869	4.743	1.520	2.639	3.614	2.945	5.467	2.407	4.687	5.112	6.395	5.245	5.441	4.708	9.290	5.209	4.964	1.591	3.889	7.127	4.464	3.619	5.244	2.089	3.475	5.791	2.017	0.628	3.389	-0.462	-2.325	0.566	2.508	2.557	2.067	0.405	-1.443	-2.863	-5.493	-2.852	0.508	2.997
178000000	17.214	15.904	16.625	14.748	14.133	14.794	15.407	14.898	11.955	10.572	12.476	9.721	6.067	1.079	4.506	2.618	3.836	5.007	7.819	7.066	9.837	4.396	5.368	6.176	1.554	5.299	8.155	6.040	4.693	4.878	2.641	3.473	3.877	1.205	1.431	2.562	-0.598	-0.241	-2.418	3.702	4.885	5.139	2.470	0.568	-2.026	-4.986	-0.363	1.615	2.333	6.695
179000000	6.059	5.816	4.867	4.602	7.386	6.288	7.471	6.982	5.623	3.765	4.842	5.410	1.276	2.508	4.238	2.840	3.093	4.412	8.384	8.015	6.192	4.422	7.883	6.025	1.676	3.290	3.137	6.631	5.436	5.519	2.574	2.693	3.351	2.100	1.449	1.398	-0.590	-2.196	1.718	5.351	9.599	8.305	5.648	3.146	1.703	-1.694	-5.588	-5.354	-3.630	-5.958
180000000	6.685	8.171	7.760	6.080	5.997	8.123	9.189	5.743	5.629	5.519	4.075	1.239	2.021	2.149	2.038	2.622	3.934	5.352	7.358	7.556	4.688	4.140	5.792	4.776	1.621	3.093	2.637	4.134	6.254	6.106	4.811	2.111	1.851	1.748	0.917	1.185	0.385	0.826	-3.106	-0.208	1.417	3.883	2.918	1.825	-0.854	-2.594	-2.257	-3.109	-0.406	-3.452
181000000	3.127	5.577	5.377	5.448	6.129	4.924	5.412	4.697	3.707	5.507	4.307	3.706	2.992	2.990	2.026	3.688	3.456	5.155	6.768	5.620	5.402	4.015	6.160	5.444	1.454	2.560	6.274	5.787	4.118	4.688	2.905	3.920	2.958	2.849	2.740	1.601	-0.230	-0.972	-3.125	-0.158	2.051	6.168	4.328	2.647	-0.884	-2.968	-4.421	-4.734	-2.583	-0.387
182000000	8.031	8.077	9.469	8.182	7.544	9.908	10.350	10.388	9.032	5.641	3.313	0.435	1.848	2.598	3.669	2.975	3.845	5.418	5.659	4.997	6.040	5.296	4.449	4.483	1.201	3.415	3.654	5.305	4.189	4.732	4.164	3.176	3.502	2.027	1.242	1.166	-0.294	-1.092	-1.080	0.182	2.843	3.228	0.682	2.342	2.342	2.462	-0.345	-2.656	-3.456	-1.340
183000000	4.906	2.356	6.380	8.604	8.423	8.343	6.137	5.073	1.435	1.856	0.127	0.277	2.126	1.489	2.732	2.915	5.586	6.519	7.870	8.695	5.829	4.053	5.364	5.661	5.201	1.332	5.453	3.850	2.948	3.755	5.188	3.521	2.213	1.045	3.456	1.756	1.125	-0.997	-2.014	-0.637	3.472	4.274	1.082	-0.601	-0.843	-2.450	-3.083	-4.004	-5.131	-3.328
184000000	4.859	5.652	5.618	6.939	7.430	6.560	4.788	6.827	6.086	6.559	0.804	1.460	1.971	2.743	2.443	3.404	4.425	4.537	5.378	5.158	5.177	5.308	6.201	3.675	3.899	1.431	5.951	5.435	4.148	5.541	3.260	3.429	1.936	3.059	1.274	1.581	2.330	-0.546	-2.415	1.132	1.232	1.585	0.602	-0.787	0.105	-1.206	-1.190	-1.765	-1.865	-0.500
185000000	7.040	10.225	11.419	12.017	10.597	7.338	7.573	8.018	3.646	1.973	3.313	3.207	3.059	1.799	3.208	2.727	3.496	7.085	5.801	5.442	5.352	4.830	5.120	5.823	1.866	1.489	4.620	4.950	5.286	5.975	4.256	2.158	1.905	2.617	0.931	1.034	0.215	-0.409	-2.095	-0.991	-0.030	1.401	0.645	-2.094	-3.076	-3.002	-2.332	-0.566	0.393	0.070
186000000	0.204	0.988	4.573	7.462	9.083	8.901	6.959	6.057	5.944	2.710	1.735	3.200	1.527	1.829	1.588	2.624	5.708	6.279	6.325	7.443	3.991	4.289	5.271	4.340	1.283	4.731	5.425	6.323	5.845	4.464	3.481	3.994	3.004	2.245	2.817	2.444	0.630	-1.410	-1.377	0.196	3.997	3.290	2.028	1.095	0.443	-2.048	-3.563	-3.500	-3.584	-3.270
187000000	5.659	5.551	6.772	7.357	5.000	7.457	6.091	5.981	2.650	2.789	1.360	1.329	1.640	1.359	2.606	3.578	3.770	7.040	5.886	6.295	4.770	4.916	5.503	4.521	1.563	2.989	4.415	4.618	4.233	5.647	3.753	3.445	3.051	2.557	2.783	0.948	0.801	-0.317	-2.143	0.473	1.374	2.318	2.799	2.272	-0.692	-1.702	-1.684	-0.178	0.271	1.303
188000000	14.030	11.946	9.983	8.195	7.644	6.685	5.572	5.944	2.869	3.267	2.800	2.559	0.700	2.567	2.384	3.549	3.833	4.458	5.226	7.585	4.767	4.418	4.526	4.462	1.568	2.954	4.031	3.830	5.252	5.369	2.673	2.696	4.413	4.103	2.875	1.276	0.218	-1.024	-2.183	0.284	1.179	2.343	2.331	2.923	0.117	-2.759	-3.300	-1.963	-2.042	-0.964
189000000	8.317	6.330	8.213	7.631	5.496	4.845	4.901	4.030	4.644	3.759	1.633	3.123	1.955	3.441	2.776	2.651	4.720	6.142	5.663	7.091	4.532	4.713	4.728	3.770	1.687	2.752	3.353	4.108	5.407	4.560	3.567	4.561	3.762	1.322	2.161	1.319	-0.255	-2.278	-2.583	-1.502	0.904	2.424	-0.041	-1.033	0.376	-0.368	2.319	1.098	2.064	0.839
190000000	17.132	14.803	16.123	16.172	10.611	9.199	7.925	8.007	5.767	2.174	1.610	2.688	0.935	3.247	2.634	3.753	4.364	6.325	4.923	5.910	5.699	4.773	4.590	4.047	1.439	4.132	6.301	5.264	6.136	5.536	4.426	2.805	2.176	2.696	2.324	-0.059	0.070	-1.707	1.122	4.969	4.424	2.756	0.164	-1.237	-2.818	-1.826	-2.010	-6.883	-7.694	-8.196
191000000	8.105	8.872	8.099	7.654	7.642	6.660	6.619	6.141	4.172	4.316	1.878	1.230	0.684	1.262	2.056	2.826	4.961	5.725	5.198	5.512	5.671	4.926	5.311	4.548	1.898	2.957	5.394	6.854	6.371	4.870	3.225	2.809	2.471	3.228	2.583	3.570	1.471	-0.026	-1.233	-0.927	2.091	2.928	0.815	-1.846	-2.359	-4.117	-4.863	-4.352	-4.329	-3.773
192000000	5.503	7.673	7.369	8.612	4.669	6.089	3.309	2.714	2.468	0.008	0.059	0.776	4.219	3.915	2.621	3.709	3.374	4.556	6.683	5.430	5.370	4.291	5.865	6.675	1.852	3.021	4.307	4.426	5.773	4.822	3.074	1.849	5.084	1.018	1.946	1.312	0.289	0.020	-2.073	-0.822	0.768	1.430	1.592	0.653	-0.568	-0.152	-0.856	-2.907	-0.828	2.756
193000000	15.493	15.112	13.817	13.425	10.222	6.993	5.662	4.509	4.781	1.415	1.674	2.280	1.428	2.728	2.802	3.393	6.313	4.206	5.571	6.255	4.959	4.063	7.377	7.182	1.630	2.496	5.671	6.528	5.457	7.282	3.531	3.261	2.619	2.445	1.761	3.178	1.287	-0.984	-1.621	3.278	4.144	6.414	5.945	1.634	2.737	0.078	-2.271	-3.943	-5.663	-2.664
194000000	0.813	0.661	1.125	3.232	2.768	2.815	3.288	1.642	4.014	2.514	2.887	1.152	1.709	3.844	2.451	3.109	3.978	5.280	6.100	6.022	6.486	4.177	6.233	3.751	1.607	2.812	3.217	4.304	5.036	3.870	2.369	3.426	2.951	1.439	2.933	0.519	-1.353	-1.510	-2.047	-0.501	0.547	2.269	0.923	-0.232	-1.131	-0.561	0.829	2.715	1.113	4.175
195000000	7.188	5.117	3.522	5.492	5.652	6.255	4.590	7.323	6.256	5.889	3.158	0.823	0.934	1.877	2.817	3.008	3.605	5.620	6.255	5.625	5.135	4.820	5.987	4.634	1.516	2.403	3.686	4.319	4.507	5.056	3.717	4.751	1.170	0.617	0.664	0.425	-1.416	-1.972	-1.398	-0.301	2.801	1.628	0.562	0.454	-1.091	-1.661	-5.308	-4.906	-6.458	-4.468
196000000	6.316	7.235	5.325	5.626	5.356	4.947	5.360	3.785	4.466	5.468	3.954	1.843	1.172	1.845	3.031	2.749	3.742	5.091	5.627	6.940	5.503	5.014	4.475	4.088	1.858	4.182	4.682	5.405	3.967	3.340	3.174	2.792	1.747	2.339	2.080	1.348	0.157	-1.427	-2.736	-1.297	0.553	1.677	1.111	1.869	-0.885	-1.040	-1.113	-3.499	-2.845	-1.695
197000000	15.068	14.256	13.848	12.910	12.014	7.553	4.599	7.638	7.816	6.881	5.054	3.599	1.566	2.345	1.917	3.727	4.732	5.362	6.572	6.447	6.453	4.811	5.517	4.631	3.483	1.486	3.555	5.640	4.410	5.729	4.964	3.260	2.482	2.779	2.273	2.458	3.270	0.885	-0.098	-1.310	1.358	1.687	0.004	-1.174	-1.260	-3.674	-4.349	-6.735	-7.162	-7.577
198000000	4.447	5.754	5.416	5.991	7.817	8.502	6.735	4.324	3.826	3.417	2.667	2.662	1.158	1.915	1.805	2.920	5.057	6.204	7.020	6.711	5.594	4.427	4.189	4.202	1.742	3.247	4.358	5.016	6.742	4.690	4.784	2.607	3.034	2.061	4.437	1.492	1.158	-0.109	-1.570	0.716	2.182	2.275	2.713	1.364	1.003	-1.202	-0.600	-2.242	-0.719	-0.025
199000000	15.516	13.609	11.417	12.119	7.829	9.675	5.415	3.230	1.812	1.661	0.676	1.662	3.135	3.617	1.993	5.303	3.206	5.824	7.418	5.179	4.086	4.250	6.324	4.916	1.776	2.175	3.347	4.824	3.344	4.996	2.412	2.274	2.960	3.089	2.570	1.985	-0.871	-0.988	-3.237	-0.190	2.309	2.828	2.167	-0.579	0.364	-2.263	-0.059	-1.271	-2.890	0.455
200000000	-4.538	-5.223	-3.534	0.934	2.805	4.648	4.647	3.808	5.504	4.668	2.396	2.380	1.983	1.429	1.609	3.121	3.849	4.942	6.378	6.007	4.474	5.512	5.012	4.706	1.431	1.942	5.079	4.019	6.884	5.613	3.964	3.499	2.509	3.364	1.923	2.697	-0.623	-0.939	-1.151	1.686	2.912	4.117	4.156	-0.760	-1.440	-2.532	-4.065	-4.616	-2.841	-1.641
