state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	12.913	15.834	16.770	4.3329E-2	6.8163E-2	1.0596	0.4176	0.2769	2.3055	0.2825	0.1845	0.3436	0.1894	0.2627	0.2387	0.2215	0.2771	0.2306	0.2830	0.2656	0.2207	1.1416E-3	4.4613E-4	1.0855E-3	0.4058	-6.0917E-2	0.391	4.629	212.930
2000000	7.881	16.832	17.046	0.1021	0.1701	1.0454	0.4449	0.2640	2.2912	0.2706	0.1984	0.3467	0.1843	0.2664	0.2384	0.2132	0.2820	0.2225	0.2939	0.2594	0.2242	1.0754E-3	4.3349E-4	1.0404E-3	0.4221	2.2674E-2	0.275	4.596	205.234
3000000	7.452	17.083	17.332	6.1064E-2	0.1473	1.1692	0.4496	0.2507	2.2998	0.2940	0.1880	0.3307	0.1873	0.2660	0.2405	0.2114	0.2821	0.2179	0.2829	0.2662	0.2329	1.0357E-3	3.717E-4	1.0345E-3	0.3693	7.8498E-2	0.266	4.585	216.987
4000000	11.391	15.300	18.143	5.2973E-2	1.6966E-2	1.5293	0.4102	0.2714	2.3184	0.2841	0.1946	0.3394	0.1819	0.2637	0.2332	0.2206	0.2826	0.2231	0.2858	0.2524	0.2387	1.0284E-3	4.1357E-4	9.8514E-4	0.3934	-2.1056E-2	0.275	4.701	221.411
5000000	14.335	17.515	17.850	1.0912E-2	0.1812	1.0413	0.4479	0.2555	2.2966	0.2816	0.1960	0.3429	0.1795	0.2768	0.2227	0.2136	0.2869	0.2133	0.2946	0.2579	0.2343	1.1466E-3	6.1415E-4	1.058E-3	0.5091	-0.1295	0.186	4.665	211.892
6000000	9.177	11.393	19.386	8.84E-2	7.9976E-2	0.8876	0.4209	0.2409	2.3382	0.2823	0.1954	0.3477	0.1745	0.2568	0.2490	0.2166	0.2777	0.2286	0.2756	0.2646	0.2312	1.0545E-3	5.1213E-4	1.0461E-3	0.4514	-5.738E-2	0.456	4.860	214.113
7000000	11.389	15.461	22.432	0.1085	0.1618	1.0971	0.4548	0.2394	2.3057	0.2887	0.1946	0.3416	0.1750	0.2729	0.2309	0.2175	0.2786	0.2291	0.2772	0.2626	0.2311	1.1218E-3	4.7814E-4	1.1073E-3	0.4056	-3.5941E-2	0.512	4.620	204.738
8000000	13.630	13.074	18.290	8.0983E-2	6.777E-2	1.2142	0.4427	0.2908	2.2666	0.2827	0.1908	0.3412	0.1854	0.2612	0.2297	0.2303	0.2788	0.2280	0.2768	0.2613	0.2338	1.0585E-3	5.4376E-4	1.0284E-3	0.5013	-6.2915E-2	0.194	4.624	209.647
9000000	13.083	15.673	18.044	7.5323E-2	0.1130	0.8875	0.4152	0.2823	2.3025	0.2930	0.1926	0.3441	0.1703	0.2608	0.2186	0.2308	0.2898	0.2182	0.2851	0.2648	0.2320	1.0571E-3	5.3997E-4	9.8794E-4	0.4844	-3.1816E-2	0.158	4.624	226.526
10000000	9.424	20.138	20.874	2.4812E-2	4.5126E-2	1.2157	0.4361	0.2287	2.3352	0.2942	0.1899	0.3521	0.1637	0.2561	0.2353	0.2237	0.2849	0.2298	0.2791	0.2629	0.2282	1.128E-3	5.5439E-4	1.0091E-3	0.4867	-1.9922E-2	0.234	4.510	211.256
11000000	16.509	22.400	18.508	1.9064E-2	5.1967E-2	1.2119	0.4173	0.2424	2.3403	0.2915	0.1869	0.3440	0.1776	0.2599	0.2275	0.2240	0.2886	0.2070	0.2905	0.2740	0.2285	1.1101E-3	4.3922E-4	1.0399E-3	0.3871	-1.9719E-2	0.162	4.494	213.164
12000000	9.743	33.562	16.373	0.1001	0.1160	1.3056	0.4542	0.2712	2.2746	0.2896	0.1824	0.3499	0.1780	0.2595	0.2328	0.2168	0.2910	0.2268	0.2805	0.2487	0.2440	1.0927E-3	4.3065E-4	1.0608E-3	0.3941	-3.8484E-2	0.239	4.683	208.641
13000000	11.211	20.446	19.283	1.943E-2	8.1884E-2	1.0268	0.4832	0.2479	2.2690	0.2797	0.1821	0.3578	0.1804	0.2615	0.2209	0.2152	0.3023	0.2294	0.2859	0.2657	0.2190	1.0103E-3	3.7241E-4	1.0199E-3	0.3705	8.7219E-2	0.390	4.699	221.275
14000000	10.479	21.063	18.095	6.0316E-2	3.4736E-2	1.0340	0.4718	0.2318	2.2963	0.2925	0.1835	0.3482	0.1758	0.2484	0.2338	0.2212	0.2966	0.2379	0.2821	0.2540	0.2260	1.0698E-3	4.2155E-4	1.0646E-3	0.4044	-5.3624E-2	0.603	4.675	215.780
15000000	10.382	16.364	18.624	4.7395E-2	6.0537E-2	1.0948	0.5004	0.2619	2.2377	0.2973	0.1912	0.3447	0.1668	0.2686	0.2304	0.2194	0.2817	0.2238	0.2923	0.2605	0.2235	9.538E-4	4.135E-4	9.2764E-4	0.4185	-1.9418E-2	0.261	4.733	233.631
16000000	15.735	22.390	19.122	4.3965E-2	8.3766E-2	1.0192	0.4260	0.2188	2.3552	0.2831	0.1953	0.3434	0.1781	0.2753	0.2365	0.2128	0.2754	0.2251	0.2759	0.2577	0.2413	9.4437E-4	4.389E-4	9.0983E-4	0.4449	6.6431E-2	0.319	4.941	247.374
17000000	12.128	17.047	16.423	2.7E-2	2.6677E-2	1.0149	0.4265	0.2863	2.2871	0.2856	0.1924	0.3499	0.1720	0.2718	0.2315	0.2190	0.2777	0.2201	0.2871	0.2547	0.2381	9.4286E-4	4.0116E-4	9.4905E-4	0.4124	9.3449E-3	0.276	4.531	231.862
18000000	10.148	19.953	19.622	2.2862E-2	5.3188E-2	0.9197	0.4373	0.2773	2.2854	0.2884	0.2014	0.3292	0.1809	0.2654	0.2398	0.2082	0.2865	0.2187	0.2862	0.2620	0.2330	9.3184E-4	3.0681E-4	9.4471E-4	0.3156	-2.3419E-2	0.647	4.758	235.595
19000000	10.885	17.248	20.480	4.1786E-2	7.6756E-2	1.0183	0.4300	0.2646	2.3054	0.2893	0.1832	0.3521	0.1753	0.2551	0.2323	0.2217	0.2909	0.2312	0.2790	0.2566	0.2332	9.7865E-4	3.4026E-4	9.8462E-4	0.3531	-2.384E-2	0.295	4.561	231.537
20000000	9.090	13.333	20.356	4.2341E-2	7.0137E-2	0.9978	0.4178	0.2871	2.2951	0.2976	0.1766	0.3465	0.1793	0.2572	0.2356	0.2263	0.2809	0.2201	0.2947	0.2577	0.2276	1.0885E-3	5.6151E-4	1.0136E-3	0.4888	-3.179E-3	0.605	5.051	225.428
