state	cp1.kappa	cp2.kappa	cp3.kappa	cp1.alpha	cp2.alpha	cp3.alpha	cp1.mu	cp2.mu	cp3.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	8.965	14.938	20.522	1.2445E-2	6.9806E-2	0.9964	0.4797	0.2792	2.2412	0.2845	0.1988	0.3357	0.1810	0.2527	0.2338	0.2254	0.2881	0.2185	0.3004	0.2639	0.2171	1.004E-3	3.2869E-4	9.9757E-4	0.3017	-3.8165E-2	0.465	4.724	226.127
2000000	10.744	12.872	19.580	0.1075	0.1489	0.9665	0.4485	0.2411	2.3104	0.2938	0.1816	0.3421	0.1825	0.2582	0.2365	0.2236	0.2817	0.2315	0.2909	0.2537	0.2239	1.082E-3	4.6942E-4	1.0371E-3	0.4459	-4.2548E-2	0.522	4.645	221.450
3000000	11.893	12.227	17.919	5.067E-2	2.8787E-2	1.0031	0.4565	0.2586	2.2849	0.2901	0.1953	0.3374	0.1773	0.2589	0.2377	0.2294	0.2740	0.2267	0.2908	0.2614	0.2211	1.06E-3	4.533E-4	1.0105E-3	0.4211	1.373E-2	0.400	4.689	213.442
4000000	12.053	20.768	18.718	3.3953E-2	0.1023	0.9846	0.5005	0.2501	2.2494	0.2831	0.1907	0.3407	0.1854	0.2584	0.2369	0.2183	0.2863	0.2236	0.2823	0.2665	0.2275	1.0364E-3	3.8869E-4	1.0101E-3	0.3632	-5.8682E-3	0.357	4.711	227.549
5000000	11.029	28.720	19.923	1.7253E-2	3.8188E-2	1.4304	0.4049	0.2575	2.3376	0.2925	0.1878	0.3378	0.1819	0.2635	0.2480	0.2223	0.2662	0.2207	0.2916	0.2554	0.2323	1.0548E-3	4.1049E-4	1.0102E-3	0.3763	-6.0261E-2	0.502	4.673	219.194
6000000	15.287	14.542	18.735	2.9321E-2	3.4914E-3	1.2672	0.4256	0.2543	2.3201	0.2835	0.1984	0.3408	0.1774	0.2628	0.2351	0.2182	0.2839	0.2164	0.2797	0.2762	0.2277	1.0755E-3	4.9877E-4	1.0373E-3	0.4422	-4.5952E-2	0.393	4.612	222.248
7000000	12.761	16.530	17.046	0.1021	3.3073E-2	1.2218	0.4371	0.2317	2.3313	0.2889	0.1851	0.3441	0.1820	0.2548	0.2363	0.2205	0.2884	0.2211	0.2838	0.2709	0.2242	9.6687E-4	4.0597E-4	9.1915E-4	0.4137	2.1443E-3	0.313	4.777	239.671
8000000	10.802	19.811	19.632	1.8675E-2	5.5912E-2	1.1470	0.3939	0.2841	2.3221	0.2938	0.1872	0.3397	0.1793	0.2616	0.2402	0.2140	0.2842	0.2301	0.2751	0.2542	0.2406	9.832E-4	3.7818E-4	9.497E-4	0.4034	-4.0851E-2	0.324	4.835	235.890
9000000	13.320	21.930	18.976	5.5147E-2	8.4765E-2	1.0317	0.4761	0.2680	2.2558	0.2964	0.1900	0.3407	0.1729	0.2657	0.2346	0.2211	0.2786	0.2160	0.2803	0.2668	0.2369	1.019E-3	4.634E-4	9.7561E-4	0.4664	5.0283E-2	0.206	4.627	225.541
10000000	9.383	13.335	20.545	8.1048E-2	4.471E-2	1.0476	0.4366	0.2675	2.2959	0.2897	0.1820	0.3438	0.1845	0.2502	0.2341	0.2348	0.2809	0.2231	0.2801	0.2599	0.2370	9.826E-4	4.4817E-4	9.1587E-4	0.4275	7.5838E-2	0.255	4.843	231.774
11000000	11.664	21.062	21.973	9.6928E-2	3.4427E-2	1.0817	0.4742	0.2716	2.2542	0.2799	0.1872	0.3568	0.1761	0.2645	0.2393	0.2184	0.2778	0.2159	0.2824	0.2678	0.2339	1.0055E-3	4.2671E-4	9.4181E-4	0.4424	1.5233E-2	0.334	4.695	233.915
12000000	10.974	16.559	18.639	2.7917E-2	4.6456E-2	1.1897	0.4167	0.2563	2.3270	0.2821	0.2022	0.3367	0.1790	0.2589	0.2310	0.2238	0.2863	0.2202	0.2910	0.2555	0.2333	1.0176E-3	3.6514E-4	1.0231E-3	0.3554	-1.8779E-2	0.224	4.609	220.445
13000000	17.800	15.265	19.483	6.6995E-2	0.1146	1.3296	0.4426	0.2502	2.3072	0.2864	0.1922	0.3492	0.1722	0.2564	0.2493	0.2133	0.2809	0.2206	0.2931	0.2515	0.2348	1.0335E-3	3.9793E-4	1.005E-3	0.3991	-5.2018E-2	0.288	4.534	218.194
14000000	9.748	16.232	17.240	3.6728E-2	2.7582E-2	1.1696	0.4456	0.2614	2.2930	0.2891	0.1896	0.3406	0.1808	0.2637	0.2360	0.2209	0.2794	0.2286	0.2838	0.2609	0.2267	1.0392E-3	3.9622E-4	9.8943E-4	0.3967	-9.5698E-2	0.453	4.704	218.884
15000000	11.779	9.941	19.581	7.5621E-2	8.0422E-2	0.8524	0.4758	0.2444	2.2798	0.2830	0.1897	0.3511	0.1761	0.2554	0.2441	0.2146	0.2859	0.2193	0.2856	0.2593	0.2358	1.0125E-3	4.1505E-4	9.6235E-4	0.3870	8.1312E-2	0.414	4.677	231.870
