state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
58000000	6.6479	0.1197	0.3071	0.2271	0.1969	0.2689	5.5968E-4	322.893	21.319	188.949
59000000	6.0422	0.1468	0.3097	0.2202	0.2032	0.2669	5.6081E-4	62.718	20.048	189.563
60000000	6.4807	0.1592	0.3068	0.2182	0.1982	0.2768	4.8468E-4	20.417	23.438	208.181
61000000	6.2793	0.1610	0.3050	0.2197	0.2042	0.2711	5.6511E-4	49.242	20.824	189.696
62000000	6.8214	0.1438	0.3147	0.2161	0.1990	0.2701	5.1257E-4	28.440	22.144	209.312
63000000	5.9579	0.1459	0.3103	0.2211	0.2022	0.2664	5.1574E-4	6.479	22.236	207.611
64000000	6.5069	0.1364	0.3102	0.2190	0.2025	0.2684	5.3341E-4	114.901	20.369	192.638
65000000	7.6764	0.1208	0.3135	0.2227	0.1999	0.2640	5.659E-4	6.725	20.567	191.997
66000000	6.4487	0.1976	0.3067	0.2218	0.1991	0.2724	5.8881E-4	5.621	20.401	181.942
67000000	6.7125	0.1367	0.3123	0.2175	0.2000	0.2702	5.3841E-4	872.379	20.643	191.470
68000000	7.1255	0.1789	0.3066	0.2240	0.1994	0.2700	5.4479E-4	5.144	22.658	197.547
69000000	6.0304	9.2075E-2	0.3072	0.2228	0.2026	0.2675	5.242E-4	54.055	22.208	200.818
70000000	7.4223	0.1032	0.3050	0.2239	0.1964	0.2746	5.206E-4	97.346	22.164	200.861
71000000	6.9005	0.1003	0.3048	0.2262	0.1949	0.2741	5.6525E-4	93.811	20.455	191.198
72000000	6.2601	0.1334	0.3049	0.2192	0.2045	0.2714	5.3649E-4	8.307	21.047	198.332
73000000	6.9025	0.1682	0.3025	0.2312	0.1961	0.2702	4.9736E-4	5.372	23.346	213.004
74000000	6.6434	0.1819	0.3074	0.2200	0.2055	0.2672	5.0843E-4	15.099	21.706	203.890
75000000	6.6184	0.1308	0.3057	0.2226	0.2029	0.2687	5.1706E-4	31.878	21.581	200.851
76000000	6.8255	0.1921	0.3095	0.2199	0.2000	0.2706	5.6723E-4	90.018	20.092	191.240
77000000	6.1834	0.1311	0.3086	0.2198	0.1987	0.2730	5.1231E-4	45.299	20.425	194.377
78000000	6.2441	0.1404	0.3141	0.2146	0.2015	0.2698	5.0435E-4	94.444	23.662	206.518
79000000	6.5809	9.9973E-2	0.3090	0.2226	0.2002	0.2683	5.3465E-4	91.887	21.960	195.979
80000000	7.5179	0.1037	0.3045	0.2191	0.2005	0.2759	5.1674E-4	4.289	21.216	193.042
81000000	6.9312	0.1524	0.3084	0.2255	0.2000	0.2661	4.6613E-4	7.176	23.760	218.248
82000000	6.3681	0.1401	0.3067	0.2176	0.2056	0.2701	5.5288E-4	16.760	20.356	187.904
83000000	6.2733	0.1504	0.3029	0.2234	0.2012	0.2724	5.9089E-4	31.010	18.403	178.786
84000000	6.9134	0.1965	0.2990	0.2267	0.2067	0.2676	5.2113E-4	5.392	21.086	197.003
85000000	6.5560	5.8509E-2	0.3049	0.2208	0.2050	0.2693	5.1964E-4	334.322	22.878	197.623
86000000	6.8424	0.1413	0.3118	0.2215	0.2066	0.2600	4.9951E-4	573.018	23.690	211.044
87000000	5.9863	0.1732	0.3036	0.2244	0.2055	0.2665	5.2712E-4	10.283	20.416	192.370
88000000	6.2390	0.1503	0.3131	0.2213	0.2035	0.2622	4.992E-4	236.911	24.181	216.270
89000000	6.2958	0.1220	0.3157	0.2226	0.1967	0.2650	5.0666E-4	47.935	21.380	198.648
90000000	6.3491	0.1069	0.3056	0.2223	0.2020	0.2701	5.4788E-4	29.078	20.739	196.023
91000000	6.8631	0.1464	0.3129	0.2184	0.2002	0.2685	5.061E-4	98.177	21.235	201.933
92000000	6.3101	0.1129	0.3066	0.2211	0.2016	0.2707	5.3291E-4	34.975	20.806	198.139
93000000	6.4472	0.1037	0.3126	0.2161	0.2070	0.2643	5.5136E-4	19.696	20.377	198.463
94000000	7.1629	0.1543	0.3035	0.2242	0.2047	0.2676	5.4315E-4	8.417	22.378	202.158
95000000	6.5902	8.7472E-2	0.3107	0.2288	0.1987	0.2618	5.5201E-4	4230.131	22.360	193.563
96000000	7.1841	0.1767	0.3045	0.2205	0.1991	0.2759	5.1087E-4	13.141	22.551	205.627
97000000	6.1218	0.1188	0.3079	0.2175	0.2027	0.2719	5.6997E-4	10.831	21.596	190.190
98000000	7.6186	0.1066	0.3049	0.2198	0.2031	0.2722	5.175E-4	4.529	21.743	205.274
99000000	7.4113	0.1080	0.3065	0.2201	0.1995	0.2739	5.7374E-4	21.801	21.263	186.240
100000000	6.6996	9.0979E-2	0.3090	0.2178	0.2028	0.2703	5.6768E-4	15.695	20.192	184.784
101000000	6.6576	0.1034	0.3054	0.2223	0.2023	0.2700	5.5787E-4	11.785	20.267	190.460
102000000	6.8970	0.1332	0.3035	0.2190	0.2060	0.2715	5.6029E-4	2.819	19.671	182.138
103000000	6.5581	0.1690	0.3106	0.2177	0.1989	0.2728	5.425E-4	12.388	19.218	182.330
104000000	6.5666	0.1804	0.3074	0.2179	0.2057	0.2690	5.7566E-4	12.010	19.333	178.490
