state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	6.8492	7.9613E-2	0.3096	0.2179	0.1993	0.2732	5.2612E-4	7.590	22.985	201.288
2000000	6.8352	0.1162	0.3096	0.2214	0.1978	0.2713	5.3328E-4	16.872	20.816	189.205
3000000	7.3152	0.1474	0.3061	0.2290	0.1953	0.2695	5.6527E-4	18.346	21.298	187.591
4000000	6.8290	0.1214	0.3052	0.2189	0.2028	0.2731	6.1576E-4	53.418	18.453	174.732
5000000	6.6818	0.1970	0.3051	0.2193	0.2029	0.2727	5.3859E-4	57.544	21.070	192.879
6000000	6.8990	0.1479	0.3019	0.2231	0.2042	0.2708	5.5322E-4	65.148	20.853	191.076
7000000	7.4218	0.1213	0.3142	0.2178	0.2012	0.2668	5.1391E-4	14.657	22.588	204.336
8000000	6.9336	0.1185	0.3051	0.2208	0.2065	0.2676	5.1441E-4	84.403	24.293	206.982
9000000	6.7571	0.1601	0.3071	0.2243	0.2003	0.2683	5.2826E-4	195.360	22.282	196.358
10000000	6.5487	0.1364	0.3098	0.2177	0.2017	0.2708	5.4197E-4	83.219	22.117	192.032
11000000	6.8792	0.1652	0.3122	0.2193	0.2008	0.2677	5.3437E-4	43.151	22.265	197.293
12000000	6.0133	0.1002	0.3035	0.2239	0.1973	0.2754	4.9499E-4	82.446	23.159	210.584
13000000	6.4766	0.1363	0.3097	0.2155	0.2042	0.2705	5.6205E-4	13.453	20.199	188.314
14000000	6.9379	7.8849E-2	0.3087	0.2252	0.2027	0.2634	5.0582E-4	12.676	21.718	201.769
15000000	7.1265	0.1492	0.3097	0.2205	0.2036	0.2661	5.4572E-4	328.703	21.707	199.376
16000000	6.4520	0.1358	0.3056	0.2194	0.2064	0.2687	5.6667E-4	37.781	20.760	188.862
17000000	6.9686	0.1807	0.3087	0.2189	0.2027	0.2696	5.4952E-4	106.453	19.986	193.398
18000000	7.1279	0.1089	0.3084	0.2196	0.1976	0.2744	5.0783E-4	44.750	23.423	201.402
19000000	7.0815	0.1244	0.3103	0.2179	0.2009	0.2709	5.4706E-4	27.329	21.707	195.768
20000000	6.9937	0.1298	0.3045	0.2224	0.1971	0.2760	5.3322E-4	20.978	19.648	192.062
21000000	6.8793	0.1094	0.3051	0.2210	0.2016	0.2723	5.4713E-4	121.259	21.936	193.100
22000000	6.4820	0.1177	0.3114	0.2221	0.2019	0.2645	5.3285E-4	4.523	21.445	192.919
23000000	6.7433	0.1310	0.3121	0.2194	0.1964	0.2721	5.1402E-4	23.215	23.348	205.855
24000000	6.4760	0.1752	0.3092	0.2220	0.2020	0.2668	5.3402E-4	29.762	21.841	197.561
25000000	6.7131	0.1715	0.3034	0.2207	0.2069	0.2690	5.5916E-4	58.214	22.180	186.608
26000000	6.9022	0.1181	0.3103	0.2173	0.2029	0.2695	5.3799E-4	12.857	20.563	191.667
27000000	7.0484	0.1622	0.3089	0.2279	0.1986	0.2647	5.4445E-4	19.569	20.945	189.621
28000000	6.4949	0.1284	0.3139	0.2218	0.1972	0.2671	5.1993E-4	316.958	20.382	192.729
29000000	6.6180	0.1318	0.3129	0.2212	0.2040	0.2619	5.6911E-4	43.170	18.737	187.631
30000000	7.1287	0.1235	0.3034	0.2254	0.2038	0.2674	5.2948E-4	3.587	20.574	192.725
31000000	6.8146	0.1018	0.3095	0.2202	0.2001	0.2701	5.7005E-4	31.999	19.179	182.447
32000000	6.6340	0.1290	0.3082	0.2235	0.2008	0.2675	5.4015E-4	97.493	22.313	200.704
33000000	7.0867	0.1270	0.3154	0.2197	0.1971	0.2678	4.9067E-4	12.560	22.300	207.167
34000000	7.1728	8.2036E-2	0.3092	0.2217	0.2011	0.2680	5.5934E-4	13.949	22.371	195.450
