state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
67000000	0.1132	2.4915	0.1907	7.2926E-2	3.0628	6.8903E-2	0.3796	0.2979	0.2029	0.2256	0.2736	7.9464E-4	7.8863E-5	7.9652E-4	0.0993	4.0677E-2	4.892	1094.510	21616.505
68000000	0.1089	2.4901	0.1876	7.1558E-2	3.0715	7.0416E-2	0.3791	0.2972	0.2027	0.2218	0.2784	8.0047E-4	8.9079E-5	7.9394E-4	0.1100	-3.3075E-2	15.090	1059.020	21793.230
69000000	0.1107	2.4948	0.1897	7.1547E-2	3.0673	6.5964E-2	0.3863	0.2966	0.2039	0.2237	0.2758	8.0737E-4	8.727E-5	8.0731E-4	0.1065	-9.8586E-5	12.151	1065.179	21458.215
70000000	0.1133	2.5363	0.1866	7.6784E-2	3.0194	6.7737E-2	0.3879	0.2956	0.2057	0.2195	0.2792	7.4053E-4	7.3113E-5	7.3454E-4	0.0994	1.7582E-2	13.012	1198.625	23754.216
71000000	0.1097	2.5260	0.1852	7.4513E-2	3.0410	6.3644E-2	0.3813	0.2952	0.2047	0.2217	0.2784	7.6076E-4	8.7054E-5	7.575E-4	0.1148	-9.9603E-3	9.923	1213.242	22980.312
72000000	0.1107	2.5317	0.1897	7.2091E-2	3.0264	6.9481E-2	0.3924	0.2962	0.2055	0.2208	0.2775	7.6919E-4	7.7541E-5	7.6387E-4	0.0958	-4.1286E-2	5.864	1191.924	22950.950
73000000	0.1086	2.5282	0.1933	7.764E-2	3.0258	6.64E-2	0.3851	0.2971	0.2044	0.2194	0.2791	7.5849E-4	8.9243E-5	7.5452E-4	0.1144	-2.325E-2	15.741	1116.170	22804.252
74000000	0.1143	2.5133	0.1984	6.8813E-2	3.0389	6.6299E-2	0.3845	0.2961	0.2058	0.2219	0.2762	7.8694E-4	8.2333E-5	7.9688E-4	0.0994	-1.3129E-2	9.364	1026.634	21812.317
75000000	0.1099	2.5387	0.1867	7.3626E-2	3.0200	7.1139E-2	0.3865	0.2964	0.2076	0.2175	0.2785	7.9129E-4	8.6052E-5	7.9407E-4	0.1066	-1.6828E-2	19.254	1072.317	21951.566
76000000	0.1115	2.5238	0.1877	7.1787E-2	3.0381	6.7173E-2	0.3783	0.2982	0.2057	0.2211	0.2750	7.6027E-4	8.8531E-5	7.5869E-4	0.1162	-9.6402E-2	25.707	1227.711	22882.381
77000000	0.1124	2.5429	0.1914	6.8959E-2	3.0161	6.8241E-2	0.3855	0.2962	0.2085	0.2186	0.2767	8.1754E-4	8.855E-5	8.0984E-4	0.1099	-4.8052E-3	7.835	1124.540	21902.046
78000000	0.1096	2.5507	0.1872	7.4068E-2	3.0138	6.4617E-2	0.3819	0.2940	0.2056	0.2212	0.2793	7.7104E-4	8.1012E-5	7.6866E-4	0.1049	-6.9262E-3	13.179	1199.475	22705.479
79000000	0.1039	2.5736	0.1909	7.261E-2	2.9878	7.1117E-2	0.3761	0.2968	0.2058	0.2160	0.2814	7.6112E-4	8.0368E-5	7.6745E-4	0.1067	-4.2475E-2	16.365	1167.414	22593.216
80000000	0.1138	2.4983	0.1903	6.6569E-2	3.0580	7.3017E-2	0.3756	0.2967	0.2047	0.2237	0.2749	7.6665E-4	9.4275E-5	7.6762E-4	0.1179	-8.2469E-3	8.891	1014.985	22317.584
81000000	0.1087	2.5306	0.1888	7.5846E-2	3.0299	6.6129E-2	0.3748	0.2949	0.2059	0.2200	0.2791	7.6908E-4	9.4308E-5	7.6814E-4	0.1184	-3.4802E-4	18.350	1218.183	22515.858
