state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1130	2.5191	0.1940	7.016E-2	3.0384	6.5322E-2	0.3883	0.2980	0.2066	0.2214	0.2740	7.688E-4	9.9603E-5	7.5451E-4	0.1186	-4.3235E-2	9.190	1241.861	23341.131
2000000	0.1124	2.4878	0.1883	7.1189E-2	3.0752	6.51E-2	0.3724	0.3012	0.2003	0.2206	0.2779	7.3971E-4	1.0691E-4	7.3975E-4	0.1369	4.7094E-3	13.467	1235.261	23285.083
3000000	0.1141	2.5301	0.1852	7.3279E-2	3.0294	6.7824E-2	0.3822	0.2948	0.2053	0.2222	0.2777	7.5699E-4	8.6415E-5	7.6439E-4	0.1144	2.5494E-2	35.602	1121.589	22600.469
4000000	0.1106	2.5075	0.1932	7.094E-2	3.0475	7.0194E-2	0.3762	0.2991	0.2028	0.2211	0.2769	7.8567E-4	9.8883E-5	7.8371E-4	0.1260	4.2594E-2	20.251	1132.848	22022.249
5000000	0.1077	2.5087	0.1885	7.3563E-2	3.0554	6.6148E-2	0.3878	0.2992	0.2026	0.2210	0.2771	8.0264E-4	1.2516E-4	7.9851E-4	0.1527	-9.1896E-2	5.233	1126.773	21913.602
6000000	0.1142	2.4955	0.1866	7.3954E-2	3.0599	6.9905E-2	0.3863	0.3009	0.2035	0.2236	0.2719	7.8523E-4	1.0589E-4	7.7292E-4	0.1322	3.0577E-2	23.267	1132.653	22400.827
7000000	0.1085	2.5708	0.1929	7.4086E-2	2.9831	7.0569E-2	0.3812	0.2952	0.2089	0.2169	0.2790	8.2105E-4	1.1314E-4	8.0079E-4	0.1377	-1.1823E-3	24.871	1171.657	21506.473
8000000	0.1115	2.4392	0.1911	7.9204E-2	3.1144	6.4597E-2	0.3907	0.3027	0.2008	0.2266	0.2700	8.0262E-4	1.0257E-4	8.1615E-4	0.1221	-1.1298E-2	11.418	1140.469	21405.115
9000000	0.1126	2.5012	0.1895	7.8369E-2	3.0452	7.3127E-2	0.3813	0.2994	0.2034	0.2227	0.2745	7.6851E-4	1.0887E-4	7.6795E-4	0.1351	-1.6854E-2	23.979	1099.156	22330.936
10000000	0.1069	2.5591	0.1927	7.388E-2	2.9983	6.9141E-2	0.3874	0.2951	0.2088	0.2175	0.2786	7.6495E-4	1.0581E-4	7.5658E-4	0.1414	-5.6198E-2	21.606	1240.182	22774.762
11000000	0.1073	2.5169	0.1928	7.5947E-2	3.0384	6.8683E-2	0.3787	0.2973	0.2044	0.2224	0.2759	7.8802E-4	9.7034E-5	7.9304E-4	0.1194	-4.0668E-2	27.661	1012.339	21856.375
