state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1146	2.4775	0.1791	7.7734E-2	3.0875	6.3483E-2	0.3835	0.3001	0.2022	0.2226	0.2751	7.6262E-4	1.0529E-4	7.5507E-4	0.1354	-3.4555E-2	9.406	1174.884	23239.263
2000000	0.1083	2.5318	0.1880	7.1588E-2	3.0348	6.554E-2	0.3879	0.2993	0.2037	0.2184	0.2787	7.9969E-4	1.1274E-4	8.0457E-4	0.1388	-7.6188E-3	13.763	1103.913	21706.751
3000000	0.1110	2.4927	0.1916	7.1802E-2	3.0663	6.6588E-2	0.3853	0.3001	0.2053	0.2213	0.2733	7.9537E-4	1.126E-4	7.8641E-4	0.1366	-7.1656E-4	5.913	1076.610	21931.528
4000000	0.1165	2.4492	0.1878	7.5446E-2	3.1042	6.6801E-2	0.3799	0.3005	0.2002	0.2271	0.2722	7.7128E-4	1.0573E-4	7.4548E-4	0.1318	2.1077E-2	18.574	1268.776	23091.112
5000000	0.1084	2.5121	0.1894	7.4745E-2	3.0464	6.8874E-2	0.3764	0.2998	0.2031	0.2215	0.2756	7.7072E-4	9.8623E-5	7.7027E-4	0.1285	5.5128E-3	18.967	1087.834	22444.607
6000000	0.1100	2.4986	0.1873	7.104E-2	3.0636	6.9382E-2	0.3807	0.2982	0.2042	0.2227	0.2749	7.3412E-4	9.731E-5	7.439E-4	0.1360	-8.7393E-3	11.611	1078.787	23570.701
7000000	0.1129	2.5216	0.1868	7.1928E-2	3.0404	6.6386E-2	0.3754	0.2982	0.2047	0.2208	0.2763	7.285E-4	9.3418E-5	7.3453E-4	0.1237	-1.5408E-2	16.022	1155.673	23739.790
8000000	0.1114	2.5410	0.1931	7.6711E-2	3.0081	6.9675E-2	0.3787	0.2959	0.2079	0.2197	0.2765	8.1295E-4	1.1068E-4	8.0059E-4	0.1289	1.629E-2	19.093	1058.756	21723.629
9000000	0.1100	2.4804	0.1887	7.6706E-2	3.0751	6.9086E-2	0.3881	0.3049	0.2024	0.2214	0.2713	7.8136E-4	1.0572E-4	7.7186E-4	0.1357	-6.1737E-2	3.585	1114.842	22531.438
10000000	0.1115	2.5670	0.1916	7.4022E-2	2.9844	7.1538E-2	0.3801	0.2948	0.2067	0.2180	0.2805	7.8827E-4	1.0246E-4	7.8112E-4	0.1263	2.2265E-2	20.363	1109.347	22315.217
