state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1085	2.4866	0.1947	7.4295E-2	3.0668	6.8977E-2	0.3799	0.3013	0.2017	0.2228	0.2742	7.9323E-4	1.2194E-4	7.9731E-4	0.1570	-8.2611E-3	7.135	982.608	21759.585
2000000	0.1118	2.5059	0.1900	7.8329E-2	3.0494	6.462E-2	0.3731	0.2977	0.2039	0.2224	0.2761	7.6741E-4	9.4188E-5	7.7286E-4	0.1220	-1.4452E-2	25.031	1144.804	22300.983
3000000	0.1081	2.5240	0.1925	7.3944E-2	3.0333	6.8085E-2	0.3766	0.2969	0.2068	0.2190	0.2772	8.009E-4	1.1325E-4	7.9869E-4	0.1351	2.868E-3	12.868	1055.717	21661.736
4000000	0.1068	2.4980	0.1963	7.4432E-2	3.0587	6.5679E-2	0.3834	0.2981	0.2033	0.2231	0.2754	8.0132E-4	1.002E-4	8.0483E-4	0.1218	1.4112E-2	6.130	1003.690	21641.264
5000000	0.1118	2.5125	0.1964	7.5037E-2	3.0407	6.3533E-2	0.3827	0.2979	0.2058	0.2214	0.2749	8.0159E-4	1.0561E-4	8.1218E-4	0.1353	2.0333E-2	7.568	952.588	21336.668
6000000	0.1084	2.5283	0.1919	7.1445E-2	3.0353	6.4647E-2	0.3819	0.2949	0.2057	0.2217	0.2777	7.4944E-4	1.0109E-4	7.5317E-4	0.1322	-5.1097E-2	38.458	1109.116	22885.905
7000000	0.1111	2.5819	0.1894	7.6967E-2	2.9737	6.6986E-2	0.3842	0.2931	0.2088	0.2191	0.2790	8.0068E-4	1.0721E-4	7.845E-4	0.1274	4.778E-2	12.603	1218.702	22046.469
8000000	0.1074	2.4963	0.1914	7.7948E-2	3.0618	6.5218E-2	0.3787	0.3005	0.2043	0.2227	0.2725	7.6549E-4	1.1404E-4	7.6631E-4	0.1472	-2.5133E-2	26.445	1116.680	22785.717
9000000	0.1063	2.5254	0.1885	7.3151E-2	3.0413	6.5346E-2	0.3769	0.2978	0.2074	0.2184	0.2763	7.5185E-4	9.1614E-5	7.523E-4	0.1192	-1.4528E-4	15.508	1188.620	22944.076
10000000	0.1125	2.5092	0.1882	7.2727E-2	3.0472	7.0152E-2	0.3821	0.2973	0.2056	0.2219	0.2752	7.8558E-4	1.054E-4	7.797E-4	0.1254	-3.7201E-2	16.417	1065.014	22168.285
11000000	0.1153	2.5333	0.1954	7.3317E-2	3.0171	6.5676E-2	0.3839	0.2970	0.2020	0.2234	0.2776	7.8504E-4	1.2342E-4	7.7354E-4	0.1598	-8.9079E-3	36.714	1117.518	22163.801
