state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1139	2.5303	0.1935	7.5169E-2	3.0209	6.6228E-2	0.3792	0.2953	0.2045	0.2208	0.2793	7.5944E-4	9.6356E-5	7.5828E-4	0.1221	-1.4854E-3	9.086	1145.905	22631.437
2000000	0.1082	2.5210	0.1959	7.587E-2	3.0306	6.8406E-2	0.3912	0.3003	0.2052	0.2194	0.2751	8.0453E-4	1.0974E-4	7.9782E-4	0.1337	-3.8116E-2	14.038	1098.253	21903.006
3000000	0.1046	2.5118	0.1937	7.2472E-2	3.0457	7.1686E-2	0.3799	0.2973	0.2061	0.2213	0.2754	8.1912E-4	9.8923E-5	8.3339E-4	0.1238	-3.2257E-2	7.206	1067.844	21133.796
4000000	0.1112	2.5057	0.1901	7.0025E-2	3.0560	6.6983E-2	0.3901	0.2957	0.2054	0.2228	0.2762	8.2016E-4	1.0256E-4	8.1789E-4	0.1268	-3.3736E-3	11.947	1114.700	21337.182
5000000	0.1171	2.4918	0.1889	7.0476E-2	3.0671	6.4575E-2	0.3800	0.3014	0.2009	0.2249	0.2727	8.1593E-4	9.6834E-5	8.2231E-4	0.1174	1.7294E-2	18.202	989.596	20908.001
6000000	0.1116	2.5094	0.1875	7.4356E-2	3.0527	6.431E-2	0.3713	0.2971	0.2026	0.2221	0.2783	7.3162E-4	1.0217E-4	7.122E-4	0.1329	2.3667E-2	12.140	1237.794	24087.040
7000000	0.1133	2.5282	0.1922	8.0093E-2	3.0193	6.6931E-2	0.3791	0.2988	0.2035	0.2204	0.2773	8.1744E-4	1.1782E-4	8.1088E-4	0.1369	-1.3121E-2	9.458	973.434	21178.313
8000000	0.1129	2.4918	0.1844	7.8812E-2	3.0652	6.6845E-2	0.3819	0.3021	0.2015	0.2222	0.2742	8.1028E-4	1.2573E-4	8.1172E-4	0.1460	7.21E-2	3.040	1011.093	21287.955
9000000	0.1095	2.5115	0.1867	7.6563E-2	3.0494	6.6338E-2	0.3827	0.2972	0.2035	0.2209	0.2783	8.0845E-4	1.023E-4	8.138E-4	0.1251	-4.4095E-2	9.649	1065.361	21121.965
10000000	0.1105	2.4751	0.1908	7.4014E-2	3.0836	6.6019E-2	0.3890	0.3005	0.2034	0.2224	0.2737	8.2776E-4	1.0987E-4	8.0902E-4	0.1321	7.3586E-3	11.185	1166.664	21518.054
11000000	0.1103	2.5293	0.1969	7.1533E-2	3.0269	6.5065E-2	0.3921	0.2955	0.2069	0.2190	0.2785	8.1903E-4	1.001E-4	8.2345E-4	0.1242	-2.0189E-2	14.116	1009.402	21317.523
12000000	0.1105	2.5378	0.1882	7.6819E-2	3.0186	6.817E-2	0.3793	0.2974	0.2062	0.2212	0.2752	7.8009E-4	1.0745E-4	7.7671E-4	0.1346	-2.6829E-2	9.720	1172.944	22296.057
13000000	0.1127	2.4985	0.1882	7.0901E-2	3.0601	6.9575E-2	0.3779	0.2983	0.2057	0.2202	0.2759	7.7998E-4	1.0255E-4	7.8003E-4	0.1298	6.3324E-3	9.497	1097.102	22133.521
14000000	0.1088	2.5402	0.1881	7.0172E-2	3.0234	6.94E-2	0.3801	0.2994	0.2037	0.2196	0.2773	7.5053E-4	9.1515E-5	7.3677E-4	0.1197	-6.082E-3	37.736	1382.787	23857.786
15000000	0.1101	2.5065	0.1904	7.2171E-2	3.0514	6.9328E-2	0.3790	0.2978	0.2048	0.2223	0.2750	7.5037E-4	1.1893E-4	7.3755E-4	0.1500	-3.212E-2	18.151	1165.091	23358.043
16000000	0.1061	2.4968	0.1928	7.2116E-2	3.0642	6.7913E-2	0.3728	0.3020	0.2058	0.2182	0.2740	7.5887E-4	1.0205E-4	7.5489E-4	0.1274	-2.1839E-2	9.876	1218.372	23070.830
17000000	0.1081	2.5013	0.1880	7.503E-2	3.0567	7.095E-2	0.3834	0.2989	0.2051	0.2208	0.2752	7.7883E-4	1.0789E-4	7.6936E-4	0.1363	-5.1532E-4	14.414	1134.301	22725.581
18000000	0.1151	2.5140	0.1912	7.606E-2	3.0319	7.1769E-2	0.3840	0.2975	0.2057	0.2210	0.2758	7.439E-4	1.0041E-4	7.3259E-4	0.1310	-2.1252E-2	8.075	1270.895	23454.047
