pers0.025	pers0.05	pers0.1	pers0.2
run01	-66669.986	-66545.451	-66506.036	-66589.015
run02	-66602.406	-66572.346	-66540.903	-66714.011
run03	-66618.573	-66483.543	-66453.56	-66635.707
run04	-66620.089	-66547.271	-66567.008	-66572.86
run05	-66620.003	-66541.987	-66523.341	-66613.481
