state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	6.112	9.172	0.3923	0.1669	0.2103	0.2305	0.3483	0.1926	0.1829	0.2762	0.6182	1.7637	4.3696E-3	15.970	12.514	710.278
2000000	6.868	7.941	0.3971	0.1717	0.2097	0.2215	0.3477	0.1936	0.1768	0.2819	0.6168	1.7663	4.4833E-3	16.038	12.522	721.902
3000000	5.540	8.610	0.3860	0.1676	0.2274	0.2190	0.3558	0.1992	0.1590	0.2860	0.6105	1.7790	4.3692E-3	16.642	12.529	730.454
4000000	6.236	9.042	0.3814	0.1769	0.2020	0.2397	0.3518	0.1937	0.1776	0.2768	0.6209	1.7581	4.4539E-3	16.848	12.236	726.331
5000000	6.933	8.959	0.3893	0.1635	0.2102	0.2370	0.3457	0.1928	0.1823	0.2793	0.6260	1.7480	4.547E-3	15.326	12.448	712.194
6000000	6.713	9.490	0.3888	0.1793	0.2154	0.2165	0.3525	0.1930	0.1854	0.2691	0.6212	1.7576	4.4961E-3	15.222	12.662	709.058
7000000	5.754	8.545	0.3982	0.1705	0.2159	0.2154	0.3476	0.1879	0.1785	0.2859	0.6148	1.7705	4.686E-3	15.191	11.938	688.056
8000000	6.689	9.242	0.3959	0.1675	0.2111	0.2254	0.3529	0.1929	0.1748	0.2794	0.6495	1.7010	4.5652E-3	16.103	11.767	708.066
9000000	6.322	9.326	0.3851	0.1736	0.2101	0.2311	0.3634	0.1900	0.1760	0.2706	0.6303	1.7395	4.6637E-3	15.262	12.337	688.710
10000000	6.840	8.961	0.3868	0.1722	0.2067	0.2343	0.3347	0.1981	0.1835	0.2838	0.6130	1.7741	4.4903E-3	16.085	12.171	713.272
11000000	7.115	8.953	0.4039	0.1749	0.2080	0.2133	0.3567	0.1829	0.1807	0.2798	0.6273	1.7454	4.3687E-3	15.607	12.466	715.374
12000000	6.277	9.613	0.3985	0.1653	0.2103	0.2259	0.3588	0.1924	0.1792	0.2696	0.6228	1.7545	4.4672E-3	16.115	12.610	720.759
13000000	6.537	8.631	0.4005	0.1734	0.2060	0.2201	0.3611	0.1937	0.1810	0.2642	0.6177	1.7645	4.2934E-3	16.832	12.689	727.124
14000000	6.218	8.553	0.4093	0.1715	0.2095	0.2097	0.3553	0.1912	0.1854	0.2681	0.6289	1.7422	4.3883E-3	17.096	12.261	730.897
15000000	6.239	8.776	0.3867	0.1566	0.2241	0.2326	0.3585	0.1887	0.1752	0.2776	0.6177	1.7645	4.1958E-3	16.642	12.379	736.805
16000000	6.163	8.751	0.3895	0.1661	0.2098	0.2346	0.3380	0.1896	0.1841	0.2883	0.5926	1.8149	4.3632E-3	16.408	12.850	727.043
17000000	6.536	8.889	0.3971	0.1709	0.2166	0.2154	0.3637	0.1943	0.1749	0.2670	0.6268	1.7465	4.3344E-3	16.068	12.327	722.224
18000000	6.773	8.306	0.4085	0.1659	0.2037	0.2218	0.3497	0.2006	0.1827	0.2670	0.6276	1.7448	4.3511E-3	16.026	12.894	708.749
19000000	6.112	8.840	0.3961	0.1735	0.2214	0.2090	0.3669	0.1922	0.1703	0.2707	0.6364	1.7272	4.3431E-3	16.304	13.058	723.666
20000000	6.564	9.913	0.3875	0.1672	0.2162	0.2292	0.3467	0.2004	0.1763	0.2765	0.6313	1.7374	4.5202E-3	16.637	12.261	715.627
21000000	6.189	8.961	0.3727	0.1714	0.2356	0.2203	0.3525	0.2023	0.1683	0.2769	0.6153	1.7694	4.5722E-3	15.840	12.521	705.944
22000000	6.672	8.748	0.3807	0.1725	0.2162	0.2305	0.3570	0.1935	0.1720	0.2775	0.6230	1.7540	4.4131E-3	16.727	12.136	721.343
23000000	6.651	9.065	0.4049	0.1674	0.2013	0.2264	0.3464	0.1787	0.1827	0.2921	0.6012	1.7976	4.3629E-3	16.901	12.175	719.034
24000000	6.582	8.958	0.3904	0.1676	0.2128	0.2292	0.3741	0.1771	0.1798	0.2690	0.6362	1.7275	4.5578E-3	16.392	12.518	712.203
25000000	6.793	9.570	0.3956	0.1595	0.2304	0.2144	0.3593	0.1839	0.1672	0.2895	0.6224	1.7553	4.2943E-3	17.315	12.204	732.388
26000000	6.508	8.686	0.4015	0.1625	0.2114	0.2246	0.3547	0.1841	0.1832	0.2779	0.6221	1.7557	4.3931E-3	15.539	12.058	709.075
27000000	5.596	8.945	0.3966	0.1655	0.2249	0.2130	0.3412	0.1928	0.1830	0.2831	0.6099	1.7802	4.3227E-3	16.295	12.466	726.824
28000000	6.335	8.666	0.3958	0.1647	0.2185	0.2210	0.3598	0.2019	0.1735	0.2648	0.6099	1.7803	4.3621E-3	16.955	12.117	731.239
29000000	6.644	8.669	0.4094	0.1773	0.2020	0.2112	0.3574	0.1889	0.1798	0.2739	0.6159	1.7683	4.2048E-3	18.017	12.569	744.013
30000000	6.261	10.088	0.3888	0.1721	0.2174	0.2216	0.3432	0.1992	0.1851	0.2726	0.6232	1.7536	4.3363E-3	16.728	12.664	749.246
31000000	6.647	8.505	0.3929	0.1652	0.2199	0.2220	0.3567	0.1903	0.1900	0.2630	0.6145	1.7710	4.2283E-3	17.599	12.522	741.640
32000000	6.838	9.396	0.3916	0.1720	0.2136	0.2228	0.3525	0.1876	0.1842	0.2757	0.6086	1.7828	4.3341E-3	16.903	12.541	738.604
33000000	6.680	9.063	0.4035	0.1698	0.2177	0.2091	0.3624	0.1868	0.1791	0.2717	0.6286	1.7429	4.2105E-3	17.273	12.731	749.304
34000000	6.263	9.113	0.3923	0.1589	0.2173	0.2315	0.3584	0.1917	0.1740	0.2759	0.6216	1.7567	4.362E-3	16.209	12.262	705.627
35000000	6.448	8.774	0.4020	0.1595	0.2158	0.2227	0.3538	0.1960	0.1784	0.2718	0.6200	1.7601	4.4211E-3	15.779	12.344	711.373
36000000	6.311	8.730	0.3934	0.1642	0.2100	0.2324	0.3535	0.1910	0.1863	0.2692	0.6183	1.7634	4.2939E-3	16.338	12.517	719.107
