state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
199000000	5.792	9.685	0.3994	0.1545	0.2126	0.2335	0.3465	0.1794	0.1786	0.2955	0.6214	1.7572	4.3299E-3	16.830	12.515	721.938
200000000	6.765	8.781	0.3941	0.1755	0.2099	0.2205	0.3550	0.1812	0.1838	0.2800	0.6282	1.7435	4.3332E-3	16.333	12.751	718.883
201000000	5.943	9.262	0.3946	0.1597	0.2286	0.2171	0.3748	0.1893	0.1662	0.2697	0.6334	1.7332	4.4319E-3	17.045	12.402	729.553
202000000	5.622	9.341	0.3915	0.1684	0.2191	0.2209	0.3403	0.1927	0.1832	0.2839	0.6329	1.7342	4.2112E-3	18.229	12.282	754.847
203000000	6.576	8.580	0.3836	0.1676	0.2160	0.2329	0.3451	0.1830	0.1856	0.2862	0.6319	1.7361	4.2178E-3	17.060	12.382	743.464
204000000	6.296	8.433	0.3994	0.1703	0.2247	0.2056	0.3390	0.1924	0.1955	0.2732	0.6142	1.7715	4.3081E-3	17.063	12.550	738.187
205000000	6.517	8.746	0.4047	0.1730	0.2094	0.2129	0.3682	0.1795	0.1758	0.2765	0.6170	1.7660	4.1851E-3	18.165	12.572	750.900
206000000	6.623	9.126	0.3992	0.1651	0.2167	0.2190	0.3364	0.1876	0.1989	0.2770	0.6214	1.7571	4.2308E-3	17.048	12.699	740.739
207000000	6.207	8.921	0.3921	0.1785	0.2095	0.2199	0.3465	0.1805	0.1843	0.2887	0.6405	1.7190	4.2536E-3	18.290	12.522	744.953
208000000	5.675	8.746	0.3902	0.1673	0.2153	0.2272	0.3478	0.1856	0.1836	0.2831	0.6059	1.7882	4.3973E-3	16.273	12.516	720.941
209000000	6.499	8.423	0.3938	0.1693	0.2136	0.2232	0.3533	0.1969	0.1837	0.2661	0.6217	1.7566	4.2288E-3	16.955	12.414	733.534
210000000	6.384	8.054	0.4126	0.1616	0.2097	0.2161	0.3596	0.1845	0.1760	0.2799	0.6200	1.7601	4.276E-3	17.325	12.669	737.747
211000000	6.591	9.013	0.3774	0.1823	0.2068	0.2334	0.3366	0.1983	0.1871	0.2780	0.6148	1.7704	4.2248E-3	17.929	12.466	746.093
212000000	6.404	9.226	0.4099	0.1764	0.1950	0.2188	0.3612	0.1971	0.1678	0.2739	0.6054	1.7892	4.3722E-3	15.928	13.193	722.981
213000000	6.268	8.550	0.3816	0.1660	0.2244	0.2279	0.3598	0.1785	0.1824	0.2794	0.6182	1.7636	4.1797E-3	16.862	12.624	747.196
214000000	6.433	9.621	0.3970	0.1644	0.2246	0.2140	0.3511	0.1968	0.1792	0.2729	0.5779	1.8441	4.4312E-3	16.502	12.303	716.759
215000000	6.760	8.955	0.3998	0.1574	0.2162	0.2265	0.3534	0.1833	0.1823	0.2811	0.6294	1.7411	4.3784E-3	16.341	12.801	702.911
216000000	5.890	8.498	0.3881	0.1725	0.2171	0.2224	0.3568	0.1946	0.1751	0.2735	0.6027	1.7947	4.4126E-3	16.469	12.989	719.423
217000000	6.290	9.621	0.3905	0.1679	0.2094	0.2321	0.3589	0.1906	0.1723	0.2782	0.5936	1.8129	4.3514E-3	16.234	12.809	717.179
218000000	6.450	8.910	0.3919	0.1651	0.2174	0.2257	0.3426	0.1935	0.1894	0.2745	0.6182	1.7636	4.2335E-3	17.264	12.610	743.374
