state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	6.425	9.026	0.3904	0.1636	0.2218	0.2243	0.3609	0.1941	0.1729	0.2721	0.6225	1.7549	4.3427E-3	16.017	12.308	704.328
2000000	5.859	8.998	0.3852	0.1712	0.2305	0.2132	0.3507	0.1915	0.1700	0.2878	0.6301	1.7398	4.3931E-3	17.076	12.764	729.582
3000000	6.247	9.803	0.4014	0.1747	0.2053	0.2185	0.3835	0.1920	0.1690	0.2555	0.6313	1.7374	4.45E-3	16.014	12.294	716.628
4000000	6.225	8.845	0.3968	0.1681	0.2185	0.2167	0.3746	0.1918	0.1782	0.2554	0.6312	1.7377	4.5347E-3	16.302	12.732	722.812
5000000	6.710	9.090	0.3881	0.1715	0.2114	0.2290	0.3421	0.1913	0.1837	0.2828	0.6156	1.7688	4.1683E-3	17.176	12.759	753.584
6000000	6.666	8.853	0.3908	0.1611	0.2283	0.2198	0.3615	0.1969	0.1751	0.2665	0.6115	1.7770	4.4086E-3	16.981	12.531	721.367
7000000	6.246	8.298	0.3975	0.1580	0.2183	0.2262	0.3710	0.1831	0.1877	0.2582	0.6082	1.7836	4.4143E-3	15.965	12.235	719.569
8000000	6.226	9.237	0.4132	0.1694	0.1940	0.2235	0.3427	0.1911	0.1895	0.2767	0.5961	1.8078	4.419E-3	16.296	12.540	710.702
9000000	5.635	9.130	0.4003	0.1630	0.2130	0.2237	0.3637	0.1914	0.1720	0.2728	0.6141	1.7718	4.5104E-3	16.124	12.900	705.004
10000000	6.543	9.351	0.3914	0.1729	0.2086	0.2272	0.3572	0.1918	0.1720	0.2790	0.6296	1.7407	4.2784E-3	16.503	12.432	716.477
11000000	6.014	8.528	0.3885	0.1756	0.2240	0.2119	0.3398	0.2025	0.1915	0.2663	0.6113	1.7773	4.4633E-3	16.658	12.235	721.414
12000000	6.324	8.357	0.3981	0.1786	0.2035	0.2198	0.3546	0.1856	0.1794	0.2804	0.6423	1.7153	4.4202E-3	15.539	12.514	717.363
13000000	6.517	8.647	0.3699	0.1694	0.2253	0.2354	0.3663	0.1896	0.1777	0.2664	0.6171	1.7657	4.2662E-3	16.121	12.048	728.290
14000000	6.757	9.082	0.3920	0.1693	0.2092	0.2295	0.3492	0.1933	0.1677	0.2897	0.6230	1.7539	4.3139E-3	15.772	12.256	709.139
15000000	5.970	8.436	0.4016	0.1651	0.2088	0.2246	0.3566	0.1871	0.1832	0.2731	0.5993	1.8014	4.2587E-3	17.163	12.501	741.849
16000000	6.360	9.147	0.3837	0.1752	0.2204	0.2208	0.3522	0.1946	0.1764	0.2769	0.6157	1.7686	4.4425E-3	16.377	12.312	722.871
17000000	6.057	8.537	0.4000	0.1658	0.2074	0.2268	0.3620	0.1851	0.1733	0.2796	0.6317	1.7366	4.2726E-3	15.953	12.809	732.218
18000000	6.493	8.993	0.4104	0.1694	0.2085	0.2118	0.3595	0.1848	0.1724	0.2832	0.6243	1.7515	4.286E-3	18.228	12.625	734.935
19000000	6.476	9.590	0.3887	0.1716	0.2177	0.2221	0.3512	0.2046	0.1815	0.2626	0.6104	1.7792	4.5041E-3	16.101	12.418	707.475
20000000	6.941	9.597	0.3827	0.1612	0.2168	0.2393	0.3535	0.2007	0.1766	0.2692	0.6279	1.7442	4.3949E-3	15.240	12.777	720.490
21000000	6.539	8.739	0.3870	0.1705	0.2175	0.2249	0.3629	0.1975	0.1815	0.2580	0.6239	1.7521	4.312E-3	17.677	12.207	728.662
22000000	6.239	8.884	0.3925	0.1687	0.2219	0.2168	0.3415	0.1915	0.1869	0.2801	0.6302	1.7396	4.3664E-3	16.171	12.297	719.124
23000000	6.240	8.987	0.3831	0.1612	0.2211	0.2346	0.3644	0.1772	0.1814	0.2769	0.6128	1.7744	4.2602E-3	17.274	12.441	732.360
24000000	6.018	9.443	0.4082	0.1609	0.2152	0.2157	0.3563	0.1954	0.1807	0.2675	0.6028	1.7943	4.4076E-3	16.084	12.768	722.482
25000000	6.723	9.004	0.3841	0.1660	0.2246	0.2253	0.3661	0.1858	0.1793	0.2688	0.6599	1.6801	4.4246E-3	16.412	12.160	714.869
26000000	6.368	8.567	0.3887	0.1747	0.2140	0.2226	0.3426	0.1866	0.1809	0.2900	0.6195	1.7610	4.4133E-3	16.259	12.720	711.919
27000000	6.273	8.781	0.3887	0.1672	0.2115	0.2325	0.3394	0.1921	0.1849	0.2836	0.6020	1.7961	4.3787E-3	16.996	12.772	734.593
28000000	6.306	8.784	0.3987	0.1712	0.2243	0.2057	0.3567	0.1967	0.1785	0.2681	0.6155	1.7690	4.505E-3	16.386	12.263	703.832
29000000	6.910	8.798	0.3986	0.1696	0.2102	0.2216	0.3571	0.1916	0.1744	0.2769	0.6235	1.7529	4.4227E-3	16.289	12.559	722.001
30000000	6.364	8.864	0.3860	0.1671	0.2155	0.2314	0.3432	0.1876	0.1859	0.2832	0.6302	1.7395	4.3393E-3	16.828	12.373	736.560
31000000	6.356	8.732	0.3973	0.1798	0.2072	0.2158	0.3647	0.1813	0.1871	0.2669	0.6212	1.7576	4.515E-3	15.347	12.626	709.210
32000000	6.728	8.590	0.3859	0.1748	0.2103	0.2290	0.3467	0.1910	0.1854	0.2769	0.6353	1.7294	4.2895E-3	16.327	12.369	726.487
33000000	6.553	8.957	0.3838	0.1694	0.2207	0.2262	0.3386	0.1986	0.1839	0.2789	0.6104	1.7793	4.3163E-3	17.368	13.079	741.673
34000000	6.769	9.951	0.4032	0.1593	0.2066	0.2309	0.3696	0.1886	0.1631	0.2788	0.6210	1.7580	4.3901E-3	16.574	12.395	715.107
35000000	6.545	9.160	0.3926	0.1813	0.2121	0.2140	0.3411	0.1982	0.1749	0.2858	0.6064	1.7872	4.3825E-3	15.626	12.425	719.897
36000000	6.198	8.997	0.3845	0.1644	0.2229	0.2282	0.3429	0.2077	0.1828	0.2667	0.6340	1.7321	4.4813E-3	15.824	12.369	721.884
37000000	6.500	8.857	0.4058	0.1652	0.2151	0.2138	0.3484	0.1831	0.1833	0.2853	0.6284	1.7432	4.4997E-3	15.966	12.228	719.025
38000000	6.369	9.744	0.3981	0.1583	0.2294	0.2142	0.3754	0.1754	0.1731	0.2761	0.6362	1.7276	4.2633E-3	16.270	12.416	724.410
39000000	6.844	8.827	0.4091	0.1654	0.2111	0.2144	0.3481	0.2031	0.1771	0.2717	0.6063	1.7873	4.5294E-3	15.352	12.420	700.850
40000000	6.522	8.757	0.3953	0.1605	0.2189	0.2253	0.3512	0.1794	0.1813	0.2881	0.6258	1.7484	4.5029E-3	16.478	12.027	700.789
41000000	6.297	8.320	0.4003	0.1614	0.2086	0.2297	0.3478	0.1783	0.1818	0.2921	0.6185	1.7630	4.3788E-3	16.717	12.398	719.768
42000000	6.450	8.747	0.3887	0.1733	0.2057	0.2322	0.3551	0.1965	0.1761	0.2723	0.6171	1.7658	4.4754E-3	15.572	12.679	700.391
43000000	6.550	8.527	0.3917	0.1687	0.2194	0.2202	0.3550	0.1908	0.1810	0.2732	0.6206	1.7588	4.4821E-3	15.222	12.734	714.320
