taxon	date
FJ151394_1999_USA_NY_NewYork_-73.9874_40.7661	1999-01-01
GQ507468_2005.5863_USA_TX_ElPaso_-106.561_31.8156	2005-08-03
GQ507469_2005.6658_USA_NM_DonaAna_-106.737_32.2825	2005-09-01
GQ507470_2006.6603_USA_TX_ElPaso_-106.4972_31.784	2006-08-30
GQ507471_2007.474_USA_TX_ElPaso_-106.5311_31.8385	2007-06-23
GQ507472_2003.5315_USA_CA_Orange_-117.8277_33.8143	2003-07-14
GQ507473_2004.5601_USA_CA_LosAngeles_-118.4446_34.2243	2004-07-24
GQ507474_2004.653_USA_CA_SanBernardino_-117.1532_34.1353	2004-08-27
GQ507475_2005.4849_USA_CA_SanBernardino_-117.0172_34.036	2005-06-27
GQ507476_2005.5671_USA_CA_SanBernardino_-117.7322_33.9508	2005-07-27
GQ507478_2005.6493_USA_CA_LosAngeles_-118.0797_33.8404	2005-08-26
GQ507479_2005.6877_USA_AZ_Pima_-111.2105_32.312	2005-09-09
GQ507480_2005.7562_USA_CA_LosAngeles_-118.202_33.949	2005-10-04
GQ507481_2006.6384_USA_NE_Douglas_-96.1193_41.2628	2006-08-22
GQ507482_2006.6712_USA_AZ_Pima_-110.9238_32.2436	2006-09-03
GQ507483_2007.5836_USA_CA_LosAngeles_-117.9068_34.0976	2007-08-02
GU827999_2003_USA_TX_Montgomery_-95.5054_30.3011	2003-01-01
GU828000_2003_USA_TX_Harris_-95.3983_29.8591	2003-01-01
GU828001_2003_USA_TX_Harris_-95.3983_29.8591	2003-01-01
GU828002_2003_USA_TX_Harris_-95.3983_29.8591	2003-01-01
GU828003_2003_USA_TX_Jefferson_-94.1634_29.8837	2003-01-01
GU828004_2003_USA_TX_Montgomery_-95.5054_30.3011	2003-01-01
HM488117_2005.6384_USA_CT_Fairfield_-73.1297_41.2044	2005-08-22
HM488121_2005.7315_USA_CT_Fairfield_-73.1297_41.2044	2005-09-25
HM488125_1999.7425_USA_CT_Fairfield_-73.1297_41.2044	1999-09-29
HM488128_1999.737_USA_CT_Fairfield_-73.1297_41.2044	1999-09-27
HM488129_2000.7213_USA_CT_NewHaven_-73.0597_41.2242	2000-09-21
HM488130_2000.7131_USA_CT_NewHaven_-73.0597_41.2242	2000-09-18
HM488131_2000.7213_USA_CT_NewHaven_-73.0597_41.2242	2000-09-21
HM488132_2000.7186_USA_CT_Fairfield_-73.1381_41.3042	2000-09-20
HM488135_2001.6795_USA_CT_Fairfield_-73.1297_41.2044	2001-09-06
HM488136_2001.6822_USA_CT_Fairfield_-73.1297_41.2044	2001-09-07
HM488137_2002.6329_USA_CT_Fairfield_-73.1297_41.2044	2002-08-20
HM488138_2003.6274_USA_CT_Fairfield_-73.1297_41.2044	2003-08-18
HM488139_2003.7644_USA_CT_Fairfield_-73.1297_41.2044	2003-10-07
HM488140_2003.611_USA_CT_Fairfield_-73.1297_41.2044	2003-08-12
HM488142_2004.5273_USA_CT_Fairfield_-73.1297_41.2044	2004-07-12
HM488143_2004.6038_USA_CT_Fairfield_-73.1297_41.2044	2004-08-09
HM488147_2004.6995_USA_CT_Fairfield_-73.1297_41.2044	2004-09-13
HM488148_2004.7568_USA_CT_Fairfield_-73.1297_41.2044	2004-10-04
HM488155_2006.663_USA_CT_Fairfield_-73.1297_41.2044	2006-08-31
HM488157_2006.7123_USA_CT_Fairfield_-73.1297_41.2044	2006-09-18
HM488159_2006.6164_USA_CT_Fairfield_-73.1297_41.2044	2006-08-14
HM488160_2006.7315_USA_CT_Fairfield_-73.1297_41.2044	2006-09-25
HM488162_2007.674_USA_CT_Fairfield_-73.1297_41.2044	2007-09-04
HM488164_2007.6603_USA_CT_Fairfield_-73.1297_41.2044	2007-08-30
HM488165_2007.6603_USA_CT_Fairfield_-73.1297_41.2044	2007-08-30
HM488170_2008.7077_USA_CT_Fairfield_-73.1297_41.2044	2008-09-16
HM488171_2003.5151_USA_CT_Fairfield_-73.3928_41.3044	2003-07-08
HM488173_2003.611_USA_CT_NewHaven_-72.9322_41.411	2003-08-12
HM488174_2003.611_USA_CT_NewHaven_-72.9678_41.2739	2003-08-12
HM488175_2003.6301_USA_CT_Hartford_-72.5447_41.6869	2003-08-19
HM488208_2002.6301_USA_CT_Fairfield_-73.1297_41.2044	2002-08-19
HM488209_2003.6164_USA_CT_Fairfield_-73.2258_41.3361	2003-08-14
HM488210_2003.6274_USA_CT_NewHaven_-72.9925_41.4256	2003-08-18
HM488212_2003.6301_USA_CT_NewHaven_-72.9236_41.31	2003-08-19
HM488213_2003.6329_USA_CT_Fairfield_-73.4792_41.0511	2003-08-20
HM488214_2003.6329_USA_CT_Fairfield_-73.2719_41.1758	2003-08-20
HM488215_2003.6329_USA_CT_Fairfield_-73.2719_41.1758	2003-08-20
HM488216_2003.6329_USA_CT_Windham_-71.8333_41.5833	2003-08-20
HM488218_2003.6466_USA_CT_Fairfield_-73.4711_41.4022	2003-08-25
HM488219_2003.6466_USA_CT_Hartford_-72.8792_41.605	2003-08-25
HM488220_2003.6466_USA_CT_NewHaven_-72.9678_41.2739	2003-08-25
HM488221_2003.6712_USA_CT_NewLondon_-72.015_41.4397	2003-09-03
HM488222_2003.6877_USA_CT_NewLondon_-71.9067_41.365	2003-09-09
HM488224_2003.6932_USA_CT_Fairfield_-73.2719_41.1758	2003-09-11
HM488226_2003.7041_USA_CT_NewHaven_-72.9236_41.31	2003-09-15
HM488228_2003.7041_USA_CT_NewHaven_-72.9236_41.31	2003-09-15
HM488230_2003.7068_USA_CT_Windham_-71.9_41.7	2003-09-16
HM488232_2003.7096_USA_CT_Middlesex_-72.4825_41.4022	2003-09-17
HM488234_2003.7096_USA_CT_NewHaven_-72.7947_41.5367	2003-09-17
HM488235_2003.7288_USA_CT_Fairfield_-73.4792_41.0511	2003-09-24
HM488236_2003.7863_USA_CT_Middlesex_-72.5764_41.3806	2003-10-15
HM756648_2002.7288_USA_CT_Fairfield_-73.1297_41.2044	2002-09-24
HM756651_2003.6466_USA_CT_Fairfield_-73.4197_41.0939	2003-08-25
HM756652_2003.6493_USA_CT_Middlesex_-72.5764_41.3806	2003-08-26
HM756653_2003.6493_USA_CT_Middlesex_-72.5764_41.3806	2003-08-26
HM756654_2003.6877_USA_CT_Fairfield_-73.6136_41.0389	2003-09-09
HM756656_2003.7096_USA_CT_NewLondon_-72.015_41.4397	2003-09-17
HM756657_2003.7479_USA_CT_Fairfield_-73.1956_41.1864	2003-10-01
HM756658_2003.7644_USA_CT_NewLondon_-71.9067_41.365	2003-10-07
