pers0.025	pers0.05	pers0.1	pers0.2
run01	-114845.424	-114802.891	-114838.539	-114831.568
run02	-114795.268	-114756.965674208	-114749.53	-114930.665
run03	-114786.479	-114746.371	-114806.762	-114828.917
run04	-114845.891	-114781.611	-114762.071	-114853.254
run05	-114815.506	-114765.921	-114866.734	-114890.399
