state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
376000000	0.1251	1.2119	0.1600	3.2568E-2	4.2941	0.1763	0.2801	0.2788	0.2064	0.2872	0.2276	4.4498E-4	1.4745E-4	4.2844E-4	0.3386	-1.6014E-2	0.188	18.566	2282.793
377000000	0.1207	1.2528	0.1453	3.2422E-2	4.2966	0.1521	0.3022	0.2707	0.2081	0.2877	0.2335	4.6255E-4	1.7272E-4	4.5348E-4	0.3669	-1.5694E-2	0.113	18.281	2158.884
378000000	0.1221	1.2016	0.1542	3.5177E-2	4.3308	0.1561	0.2930	0.2652	0.2089	0.2840	0.2419	4.691E-4	1.6122E-4	4.5049E-4	0.3451	1.4531E-2	0.242	18.283	2122.171
379000000	0.1441	1.3019	0.1518	3.6313E-2	4.2165	0.1494	0.2911	0.2690	0.2102	0.2822	0.2387	4.3927E-4	1.4955E-4	4.3269E-4	0.3312	3.1868E-2	0.146	18.238	2162.484
380000000	0.1108	1.2293	0.1544	3.7892E-2	4.3078	0.1597	0.3014	0.2674	0.2101	0.2862	0.2363	4.5713E-4	1.6441E-4	4.4358E-4	0.3625	-4.1589E-2	0.329	18.634	2189.785
381000000	0.1010	1.2460	0.1573	3.2716E-2	4.3009	0.1621	0.2926	0.2661	0.2091	0.2893	0.2354	4.5533E-4	1.5743E-4	4.485E-4	0.3525	1.2314E-2	0.361	18.891	2176.723
382000000	0.1209	1.2108	0.1518	3.9317E-2	4.3213	0.1559	0.2934	0.2776	0.2031	0.2889	0.2303	4.4874E-4	1.6353E-4	4.3299E-4	0.3695	-2.5128E-2	0.167	18.242	2179.023
383000000	0.1291	1.1676	0.1466	3.4733E-2	4.3458	0.1761	0.2963	0.2734	0.2059	0.2831	0.2376	4.5136E-4	1.5401E-4	4.4733E-4	0.3331	-1.7837E-2	0.232	18.364	2169.681
384000000	0.1435	1.3135	0.1601	3.0264E-2	4.1999	0.1528	0.2824	0.2665	0.2108	0.2833	0.2394	4.2595E-4	1.3794E-4	4.2134E-4	0.3129	3.3045E-2	0.164	18.242	2269.072
385000000	0.1210	1.2072	0.1375	3.614E-2	4.3491	0.1490	0.2904	0.2785	0.2082	0.2858	0.2275	4.2803E-4	1.3644E-4	4.1426E-4	0.3227	8.2071E-3	0.224	18.297	2232.751
386000000	0.1345	1.2560	0.1528	3.9184E-2	4.2553	0.1622	0.2895	0.2730	0.2034	0.2884	0.2353	4.4502E-4	1.564E-4	4.3352E-4	0.3436	-8.4694E-3	0.480	18.755	2209.567
387000000	0.1108	1.3014	0.1542	2.9429E-2	4.2295	0.1747	0.2958	0.2682	0.2106	0.2810	0.2402	4.4982E-4	1.6046E-4	4.3626E-4	0.3499	-7.5225E-3	0.174	18.705	2223.171
388000000	0.1124	1.1346	0.1301	2.9981E-2	4.4228	0.1701	0.2894	0.2757	0.2063	0.2876	0.2303	4.4338E-4	1.6591E-4	4.3169E-4	0.3777	-1.7418E-2	0.520	18.683	2184.916
389000000	0.1380	1.2326	0.1450	3.9764E-2	4.2741	0.1705	0.2850	0.2706	0.2078	0.2877	0.2340	4.5189E-4	1.4807E-4	4.4237E-4	0.3313	-6.3441E-2	0.372	18.918	2169.369
390000000	0.1200	1.2323	0.1423	3.1687E-2	4.3041	0.1696	0.2919	0.2700	0.2053	0.2896	0.2351	4.3547E-4	1.4555E-4	4.2813E-4	0.3315	1.8444E-2	0.134	18.271	2232.277
391000000	0.1393	1.2968	0.1533	3.3037E-2	4.2051	0.1724	0.2780	0.2672	0.2055	0.2854	0.2419	4.2682E-4	1.4333E-4	4.2557E-4	0.3437	8.7003E-3	0.249	18.807	2227.970
392000000	0.1034	1.2401	0.1347	3.0332E-2	4.3136	0.1779	0.2819	0.2734	0.2043	0.2859	0.2365	4.2734E-4	1.3643E-4	4.277E-4	0.3176	2.0405E-2	0.643	18.334	2211.248
393000000	0.1317	1.2562	0.1597	4.091E-2	4.2288	0.1827	0.2852	0.2682	0.2107	0.2820	0.2391	4.6626E-4	1.5396E-4	4.5035E-4	0.3264	-3.8108E-2	0.479	18.478	2142.360
394000000	0.1229	1.1972	0.1538	3.3632E-2	4.3588	0.1336	0.2939	0.2727	0.2056	0.2897	0.2320	4.7975E-4	1.6237E-4	4.5315E-4	0.3273	-2.9525E-2	0.159	18.303	2172.876
395000000	0.1359	1.2505	0.1509	3.8983E-2	4.2602	0.1636	0.2971	0.2717	0.2063	0.2841	0.2379	4.5743E-4	1.6953E-4	4.4949E-4	0.3789	9.5734E-5	0.185	18.280	2146.689
396000000	0.1319	1.3074	0.1479	3.0762E-2	4.2105	0.1716	0.2969	0.2665	0.2060	0.2843	0.2432	4.3558E-4	1.4576E-4	4.3177E-4	0.3466	-2.1278E-2	0.322	18.426	2199.412
397000000	0.1135	1.2438	0.1511	4.4755E-2	4.2807	0.1662	0.2762	0.2670	0.2163	0.2807	0.2360	4.4428E-4	1.4686E-4	4.2882E-4	0.3320	-6.6368E-3	0.266	18.514	2232.106
398000000	0.1185	1.2275	0.1527	3.3812E-2	4.2933	0.1742	0.2875	0.2713	0.2051	0.2877	0.2359	4.5349E-4	1.5362E-4	4.4289E-4	0.3376	1.0975E-2	0.279	20.280	2182.223
399000000	0.1299	1.2201	0.1532	3.5703E-2	4.2981	0.1630	0.2867	0.2739	0.2079	0.2807	0.2375	4.5576E-4	1.5701E-4	4.4291E-4	0.3488	-1.5603E-2	0.188	18.900	2205.951
400000000	0.1123	1.2342	0.1385	3.5413E-2	4.3244	0.1552	0.2839	0.2691	0.2058	0.2877	0.2374	4.5989E-4	1.5921E-4	4.4293E-4	0.3427	5.9102E-3	0.285	18.461	2206.600
401000000	0.1245	1.3274	0.1379	3.9251E-2	4.1886	0.1824	0.2923	0.2709	0.2154	0.2758	0.2380	4.5257E-4	1.6122E-4	4.4078E-4	0.3529	1.8989E-2	0.293	18.359	2174.118
402000000	0.1138	1.2432	0.1597	3.8925E-2	4.2844	0.1600	0.2895	0.2697	0.2120	0.2822	0.2361	4.5793E-4	1.5652E-4	4.4528E-4	0.3332	1.9402E-3	0.578	18.271	2166.255
403000000	0.1032	1.2237	0.1590	3.6427E-2	4.3159	0.1617	0.3093	0.2698	0.2060	0.2877	0.2365	4.5373E-4	1.5821E-4	4.4314E-4	0.3404	-3.8244E-2	0.219	18.240	2173.119
404000000	0.1225	1.2187	0.1323	3.8294E-2	4.3391	0.1491	0.2992	0.2704	0.2017	0.2913	0.2367	4.545E-4	1.6074E-4	4.4996E-4	0.3510	1.7515E-2	0.193	18.246	2147.200
405000000	0.1117	1.2201	0.1650	4.1033E-2	4.2964	0.1658	0.2819	0.2737	0.2047	0.2902	0.2314	4.5478E-4	1.6864E-4	4.3918E-4	0.3802	1.562E-2	0.385	18.441	2141.222
406000000	0.1256	1.2410	0.1502	2.359E-2	4.2946	0.1650	0.2981	0.2737	0.2044	0.2866	0.2353	4.6659E-4	1.6995E-4	4.5135E-4	0.3535	9.4877E-3	0.197	18.841	2148.185
407000000	0.1217	1.2304	0.1512	3.6366E-2	4.3049	0.1553	0.2977	0.2750	0.2076	0.2887	0.2286	4.518E-4	1.6579E-4	4.4197E-4	0.3654	4.0752E-2	0.225	18.618	2178.073
408000000	0.1133	1.2327	0.1407	3.9474E-2	4.3146	0.1593	0.2793	0.2666	0.2064	0.2928	0.2342	4.4126E-4	1.5684E-4	4.3453E-4	0.3592	-5.4436E-2	0.329	18.302	2160.496
409000000	0.1207	1.2396	0.1382	3.5037E-2	4.3042	0.1622	0.3065	0.2793	0.2030	0.2821	0.2357	4.6718E-4	1.759E-4	4.586E-4	0.3754	4.5735E-2	0.176	18.438	2157.352
410000000	0.1169	1.2046	0.1408	4.07E-2	4.3270	0.1700	0.3017	0.2736	0.2060	0.2853	0.2350	4.6195E-4	1.5423E-4	4.4295E-4	0.3304	2.7964E-2	0.193	18.356	2154.894
411000000	0.1245	1.2637	0.1645	3.4326E-2	4.2551	0.1579	0.2841	0.2700	0.2064	0.2870	0.2366	4.5326E-4	1.7967E-4	4.4087E-4	0.3941	-1.1244E-2	0.113	18.269	2177.007
412000000	0.1363	1.2269	0.1649	3.9642E-2	4.2700	0.1623	0.2774	0.2675	0.2105	0.2864	0.2356	4.3123E-4	1.6777E-4	4.2366E-4	0.3924	2.246E-2	0.268	18.481	2197.178
