state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1185	1.2114	0.1604	3.1766E-2	4.3075	0.1705	0.2766	0.2709	0.2097	0.2841	0.2353	4.5321E-4	1.5615E-4	4.4012E-4	0.3526	-3.5858E-2	0.451	18.559	2203.054
2000000	0.1251	1.1962	0.1482	3.7635E-2	4.3378	0.1551	0.2947	0.2710	0.2028	0.2913	0.2349	4.4446E-4	1.5905E-4	4.3474E-4	0.3619	1.1424E-2	0.396	18.668	2203.609
3000000	0.1324	1.2904	0.1366	3.8599E-2	4.2380	0.1640	0.2846	0.2659	0.2054	0.2881	0.2406	4.4704E-4	1.4652E-4	4.355E-4	0.3323	2.328E-2	0.322	18.519	2202.412
4000000	0.1239	1.2040	0.1481	3.5879E-2	4.3328	0.1552	0.2787	0.2746	0.2010	0.2915	0.2329	4.4458E-4	1.647E-4	4.3501E-4	0.3655	-3.1851E-2	0.302	18.788	2162.531
5000000	0.1169	1.2252	0.1472	4.1862E-2	4.3176	0.1513	0.3054	0.2709	0.2034	0.2886	0.2371	4.6951E-4	1.6407E-4	4.5444E-4	0.3438	-2.4285E-3	0.358	18.365	2143.413
6000000	0.1238	1.2787	0.1407	3.1914E-2	4.2747	0.1502	0.2912	0.2702	0.2065	0.2893	0.2340	4.5717E-4	1.5172E-4	4.3871E-4	0.3294	-4.0558E-2	0.151	18.447	2172.393
7000000	0.1162	1.2232	0.1384	3.8896E-2	4.3321	0.1512	0.2823	0.2752	0.2024	0.2854	0.2370	4.3598E-4	1.4815E-4	4.2914E-4	0.3329	9.7565E-5	0.152	18.974	2185.542
8000000	0.1259	1.2347	0.1373	3.6308E-2	4.3012	0.1646	0.2921	0.2739	0.2089	0.2836	0.2336	4.4271E-4	1.4398E-4	4.3163E-4	0.3242	2.6377E-2	0.262	18.337	2189.284
9000000	0.1075	1.2586	0.1736	3.5044E-2	4.2559	0.1694	0.2900	0.2687	0.2136	0.2861	0.2315	4.5981E-4	1.6112E-4	4.4596E-4	0.3435	-7.1638E-2	0.343	18.409	2181.743
10000000	0.1205	1.2807	0.1559	3.3055E-2	4.2395	0.1704	0.2713	0.2651	0.2132	0.2886	0.2330	4.599E-4	1.7197E-4	4.475E-4	0.3613	-6.6461E-3	0.148	18.382	2133.344
11000000	0.1264	1.1684	0.1572	3.9876E-2	4.3556	0.1525	0.2880	0.2743	0.2058	0.2895	0.2304	4.5915E-4	1.639E-4	4.4014E-4	0.3504	1.0331E-2	0.197	18.441	2115.657
12000000	0.1214	1.2285	0.1595	3.2363E-2	4.3132	0.1451	0.2902	0.2718	0.2108	0.2873	0.2301	4.5213E-4	1.4769E-4	4.4565E-4	0.3298	-3.0086E-2	0.266	18.515	2174.137
13000000	0.1283	1.2579	0.1406	3.3003E-2	4.2849	0.1553	0.2907	0.2692	0.2055	0.2867	0.2386	4.4343E-4	1.5995E-4	4.3573E-4	0.3622	-4.9275E-3	0.289	18.585	2180.879
